,BRANCH,CIRCULATION_2019,COMPUTER SESSIONS_2019,VISITORS_2019,AVG COMPUTER SESSIONS PER VISITOR_2019,AVG CIRCULATION PER VISITOR_2019,CIRCULATION_2021,COMPUTER SESSIONS_2021,VISITORS_2021,AVG COMPUTER SESSIONS PER VISITOR_2021,AVG CIRCULATION PER VISITOR_2021,AVG WALKING TIME (MIN)
0,Albany Park,93009.0,23279.0,130255.0,0.1787186672296649,0.7140532033319258,61634.0,8838.0,62840.0,0.14064290260980267,0.9808084022915341,13.228100841044302
1,Altgeld,4014.0,5226.0,28196.0,0.18534543906937154,0.1423606185274507,1934.0,6719.0,10760.0,0.6244423791821562,0.17973977695167287,18.83380306644516
2,Archer Heights,58025.0,17466.0,86593.0,0.20170221611446654,0.6700888062545471,26320.0,7223.0,34665.0,0.20836578681667386,0.7592672724650223,15.424347466717318
3,Austin,11328.0,16288.0,77480.0,0.21022199277232834,0.14620547237996903,7108.0,8554.0,35321.0,0.24217887375782113,0.20124005549106763,14.815993093097235
4,Austin-Irving,119100.0,16115.0,109080.0,0.14773560689402274,1.0918591859185918,62934.0,5423.0,48720.0,0.1113095238095238,1.2917487684729063,13.433196743054214
5,Avalon,36480.0,34603.0,104662.0,0.3306166516978464,0.348550572318511,16003.0,12882.0,46853.0,0.27494504087251614,0.341557637717969,16.06768989542214
6,Back of the Yards,24465.0,13715.0,44989.0,0.30485229722821133,0.5437995954566672,12416.0,4957.0,25385.0,0.1952727988969864,0.4891077407918062,12.5757544563906
7,Beverly,49151.0,14373.0,76336.0,0.188285998742402,0.6438770697966884,35849.0,6503.0,23456.0,0.2772424965893588,1.5283509549795362,14.9555131312343
8,Bezazian,98356.0,28234.0,121571.0,0.23224288687269168,0.8090416299939953,55646.0,8997.0,43661.0,0.20606490918668835,1.2745012711573258,11.703381535903237
9,Blackstone,99833.0,18008.0,94358.0,0.19084762288306237,1.0580236969838275,80757.0,8963.0,61010.0,0.14691034256679233,1.323668251106376,15.306677835978446
10,Brainerd,9204.0,10816.0,60027.0,0.18018558315424726,0.1533310010495277,3236.0,3337.0,7313.0,0.4563106796116505,0.44249965814303294,14.913877727009412
11,Brighton Park,45008.0,10598.0,55686.0,0.19031713536616027,0.8082462378335667,14931.0,4010.0,16216.0,0.24728663048840652,0.9207572767636902,12.841280390691264
12,Bucktown-Wicker Park,109420.0,11122.0,128142.0,0.08679433753180066,0.8538964586162227,89707.0,6219.0,66986.0,0.09284029498701221,1.3391902785656704,11.331655454237575
13,Budlong Woods,95599.0,15503.0,125049.0,0.12397540164255612,0.7644923190109477,69886.0,8152.0,70683.0,0.11533183367995133,0.9887243042881598,13.225298493158844
14,Canaryville,20111.0,5991.0,38923.0,0.15391927652030932,0.5166867918711302,4887.0,1254.0,7911.0,0.15851346226772847,0.6177474402730375,12.996757279546031
15,Chicago Bee,10925.0,9523.0,23708.0,0.4016787582250717,0.4608149147966931,7891.0,4898.0,10188.0,0.4807616804083235,0.7745386729485669,10.623133613834552
16,Chicago Lawn,25117.0,11511.0,54371.0,0.21171212594949512,0.4619558220374832,17555.0,9128.0,42869.0,0.21292775665399238,0.4095033707340969,13.4917744435074
17,Chinatown,97309.0,28912.0,271514.0,0.10648438017929093,0.3583940422961615,54354.0,11471.0,93783.0,0.12231427870722839,0.5795719906592879,13.329863530978235
18,Clearing,27959.0,7267.0,51668.0,0.14064798327785089,0.5411279708910738,18159.0,4203.0,10677.0,0.39364990165776903,1.7007586400674346,16.9333425129939
19,Coleman,23180.0,25345.0,74397.0,0.34067233893839804,0.31157170316007365,11157.0,11371.0,36281.0,0.31341473498525396,0.3075163308618836,14.097642054749882
20,"Daley, Richard J. - Bridgeport",61689.0,12425.0,60663.0,0.20482007154278556,1.01691311013303,26402.0,3947.0,23096.0,0.17089539314166954,1.1431416695531693,12.260073814638272
21,"Daley, Richard M. - W. Humboldt",31014.0,28658.0,116161.0,0.24670930863198492,0.2669915031723212,16283.0,10751.0,64108.0,0.16770137892306733,0.2539932613714357,14.240372929840952
22,Dunning,48246.0,10968.0,104259.0,0.1051995511178891,0.4627514171438437,38197.0,7445.0,71053.0,0.10478093817291317,0.5375846199316003,15.314922472309084
23,Edgebrook,104803.0,7694.0,97005.0,0.07931549920107211,1.08038760888614,76668.0,3268.0,52883.0,0.06179679670215381,1.4497664655938582,17.10329071305101
24,Edgewater,171399.0,42300.0,197045.0,0.21467177548275776,0.8698469892664112,127737.0,17329.0,94307.0,0.1837509410754239,1.354480579384351,10.976248896282366
25,Gage Park,14102.0,5406.0,29706.0,0.18198343768935568,0.4747189120043089,2755.0,590.0,4819.0,0.12243203984229094,0.5716953724839178,11.720909288219444
26,Garfield Ridge,53187.0,9390.0,70128.0,0.13389801505817933,0.758427446954141,33727.0,5206.0,37071.0,0.14043322273475223,0.9097947182433709,16.97032610449729
27,Greater Grand Crossing,17264.0,19219.0,69998.0,0.27456498757107345,0.24663561816051888,4865.0,5134.0,13610.0,0.3772226304188097,0.35745775165319615,15.12709643653748
