,Branch,Percent of People with Internet Access,Percent of People without Internet Access,Percent of People with Computers,Percent of People without Computers,Percent of People with Computers and Internet,Percent Population in Labor Force 16+: Employed,Percent Population in Labor Force 16+: Unemployed,"Percent Households: Less Than $10,000","Percent Households: $10,000 to $14,999","Percent Households: $15,000 to $19,999","Percent Households: $20,000 to $24,999","Percent Households: $25,000 to $29,999","Percent Households: $30,000 to $34,999","Percent Households: $35,000 to $39,999","Percent Households: $40,000 to $44,999","Percent Households: $45,000 to $49,999","Percent Households: $50,000 to $59,999","Percent Households: $60,000 to $74,999","Percent Households: $75,000 to $99,999","Percent Households: $100,000 to $124,999","Percent Households: $125,000 to $149,999","Percent Households: $150,000 to $199,999","Percent Households: $200,000 or more",Percent Ages 18-64: Living in Poverty,Percent Ages 18-64: At or Above Poverty Level,Percent Households: With Public Assistance Income,Percent Households: No Public Assistance Income,Percent Owner and Renter Occupied Housing: No Vehicles,Percent Owner and Renter Occupied Housing: 1 Vehicle,Percent Owner and Renter Occupied Housing: 2 Vehicles,Percent Owner and Renter Occupied Housing: 3 Vehicles,Percent Owner and Renter Occupied Housing: 4 Vehicles,Percent Owner and Renter Occupied Housing: 5 or More Vehicles,Percent Renter-Occupied Housing: No Vehicles,Percent Renter-Occupied Housing: 1 Vehicle,Percent Renter-Occupied Housing: 2 Vehicles,Percent Renter-Occupied Housing: 3 Vehicles,Percent Renter-Occupied Housing: 4 Vehicles,Percent Renter-Occupied Housing: 5 or More Vehicles,"Percent Workers 16+: Car, Truck, or Van ",Percent Workers 16+: Drove Alone,Percent Workers 16+: Carpooled,Percent Workers 16+: Public Transportation (Includes Taxi),Percent Workers 16+: Motorcycle,Percent Workers 16+: Bicycle,Percent Workers 16+: Walked,Percent Workers 16+: Other Means,Percent: White Alone,Percent: Black or African American Alone,Percent: American Indian and Alaska Native Alone,Percent: Asian Alone,Percent: Native Hawaiian and Other Pacific Islander Alone,Percent: Some Other Race Alone,Percent: Two or More Races,Percent: under 5 years,Percent: 5 to 9 years,Percent: 10 to 14 years,Percent: 15 to 19 years,Percent: 20 to 24 years,Percent: 25 to 29 years,Percent: 30 to 34 years,Percent: 35 to 39 years,Percent: 50 to 54 years,Percent: 55 to 59 years,Percent: 60 to 64 years,Percent: 65 to 69 years,Percent: 70 to 74 years,Percent: 75 to 79 years,Percent: 80 to 84 years,Percent: 85 years and over,Percent: 25+ Less Than High School,Percent: 25+ High School or More,Percent: 25+ Some College or More,Percent: 25+ Bachelor's Degree or More,Percent: 25+ Master's Degree or More,Percent: 25+ Professional School Degree or More,Percent: 25+ Doctorate Degree
0,Albany Park,0.9111091033497669,0.08889089665023313,0.9542333822029453,0.04576661779705456,0.8527774553910105,0.9438936636760418,0.05610633632395832,0.05548263014098596,0.025995983393320016,0.032619760902746035,0.029764635178840374,0.043016928925607864,0.033626554742957504,0.05836801451199062,0.040909630623082824,0.03760505998528595,0.08412225674963741,0.0957830686388972,0.12919225150694122,0.11057280206339956,0.07572726417191475,0.07774563530736396,0.06946752315702807,0.12044968509043615,0.8795503149095643,0.03076659216921112,0.9692334078307887,0.18991649755361859,0.4852636057504832,0.26058131658108363,0.046287950509086455,0.011347564234228546,0.006603065371499522,0.2600292435564149,0.47855056511468125,0.22440190007158542,0.02997211039628522,0.004762827550893336,0.0022833533101397595,0.5531242787203632,0.462301139011654,0.09082313970870916,0.24009764074686638,0.0,0.008678316084827548,0.06877648338501495,0.01030893804524895,0.49539259213518544,0.044974609829504665,0.005397158876271981,0.1904834688581807,0.0,0.1413497466675465,0.12240242363331054,0.06263025693679056,0.05794716831969399,0.04960434122931572,0.07884915872687616,0.08499114511563549,0.0813886788821374,0.09381582594843316,0.08564928319843441,0.06293040151291007,0.05402178350379591,0.055011454318716374,0.04324326742512757,0.0249100743794551,0.01873841936336015,0.012501512379506375,0.014624119247223113,0.19883055410294379,0.8011694458970563,0.6103415781589423,0.42458608249584934,0.15454863122033796,0.039778567392374876,0.016640721407050998
1,Altgeld,0.8592180106794364,0.1407819893205636,0.9199086393918818,0.08009136060811811,0.8414963788544618,0.7592433056954749,0.2407566943045249,0.35452924500873617,0.07397037890699168,0.07480036269361627,0.05754643322381264,0.08436382792898751,0.05123127394945036,0.03350349317747994,0.04995167560576201,0.03845800950515694,0.044273343647082,0.027604044146474792,0.018806643264755982,0.05680606097124881,0.008173205735576216,0.017948246369905285,0.008033755864962798,0.4571030409352138,0.5428969590647862,0.10350334691132157,0.8964966530886783,0.4023346310342846,0.4642911805810426,0.10281970759965399,0.022679752286822993,0.007853089488456,2.1639009739735085e-05,0.4294490351736753,0.4603211984632789,0.08773476060662114,0.015382733451101582,0.007112272305323124,0.0,0.6196315185713663,0.5399665479414503,0.07966497062991604,0.2884257269855636,0.0,0.0,0.04467175748057925,0.020447460301233542,0.04163085960190585,0.9223086703987422,0.00010283306963126681,0.0,0.0,0.014519910068149641,0.02143772686157086,0.09911280731833544,0.0873154869933949,0.11772629194622458,0.08205887609748568,0.10665920481973547,0.08535322952237476,0.0852832062150243,0.04212079626522433,0.03786932856434459,0.04411193615914418,0.049927142822818724,0.02303114800246845,0.017925396504570004,0.006495464035339556,0.006305755918209062,0.00986051181990664,0.1317377580739213,0.8682622419260786,0.5147834079509345,0.08132088734925545,0.0351426930540774,0.0013197650268221232,0.000386782738779471
2,Archer Heights,0.8077780184241492,0.19222198157585066,0.8302444020411561,0.1697555979588437,0.7733852912427769,0.8903751584620663,0.10962484153793384,0.03837116591831201,0.03752972757279865,0.023150011304396197,0.11466351025272524,0.0628689287059991,0.04541434276150978,0.04188405905708415,0.04379998532467212,0.03345057415073565,0.07903412458049908,0.10781792765435338,0.10991920311619124,0.08026451587378838,0.049500464315416826,0.08662400183673097,0.04570745757478638,0.07690442907630377,0.9230955709236963,0.03722730470659176,0.9627726952934083,0.16211568923296932,0.3476880945745244,0.3108838634728652,0.12409346812979372,0.043224672058343634,0.011994212531503404,0.3046315252326585,0.4963446138981806,0.14139358773448835,0.04640401014872717,0.011226262985945593,0.0,0.7779824901806468,0.6095374082010157,0.16844508197963087,0.15006808402037036,1.355526232944029e-06,0.001923025003625777,0.034660295091385296,0.00501320921220252,0.5317966718726099,0.018998054414956805,0.016296978882083816,0.04639235668203301,0.00015017688729143436,0.25416112062809115,0.13220464063293372,0.06423736801183011,0.05590239147212867,0.07012378121069514,0.07329944605245334,0.06964320441129965,0.08134363711471619,0.07739050535523939,0.06940551743313093,0.06255608109595517,0.0597992971481237,0.04926827931530033,0.039451854516182626,0.0376461769168461,0.028363113580798613,0.011773684770657315,0.022844636969693313,0.27254469333481096,0.7274553066651891,0.3514272249113757,0.14288026348295674,0.038569539539143695,0.0045592697490051855,0.0025516466038153066
3,Austin,0.8141001780633638,0.18589982193663623,0.8575824068011634,0.1416324164277461,0.7448361411900278,0.866526745633412,0.13347325436658777,0.1409654907028702,0.08738966249977641,0.08479614207486705,0.05263676210011546,0.05294841673582911,0.042489120064429044,0.044462571775859334,0.02734716706672115,0.03896148452173892,0.07392017019023808,0.08044369653187515,0.07139562836680774,0.05543506965483042,0.03711606061760086,0.049131596320752646,0.060560960775687865,0.2283648847199665,0.7716351152800334,0.058471046754639794,0.9415289532453602,0.34415103711063505,0.4105121491022417,0.18758481996217483,0.043052978580486345,0.010750014335147882,0.003949000909314002,0.48643822145928106,0.4004335178107726,0.08979410750327227,0.012382932932098517,0.005867824334922656,0.00508339595965274,0.5765007698442576,0.5090445317398583,0.0674562381043992,0.2664833002881895,0.0,0.0057837512811394695,0.0564710074413583,0.005920397557717496,0.19024382371892767,0.7112008377882034,0.0017735159268815763,0.01216687394150688,1.423883806885151e-05,0.038098662737282296,0.0465020470491291,0.06021855442116313,0.07618481831177712,0.06541461392935746,0.05726233801795471,0.06527857788792332,0.08176322089536957,0.06373261321648602,0.06125290881273327,0.06633888220997275,0.05165971278887891,0.0634046439395367,0.05391001177130779,0.03856747419028267,0.029010351167259227,0.021234524470058826,0.010136781313718556,0.11686042801126086,0.8831395719887389,0.5638358531239813,0.26937360780116737,0.12958585403643963,0.03141020392551163,0.01234976020757174
4,Austin-Irving,0.8576035469238198,0.14239645307618026,0.9238429185010008,0.07615708149899912,0.826491940061678,0.9523415219353404,0.04765847806465955,0.04242561937641795,0.026696195560478315,0.03314485044503544,0.03485866282968281,0.03917185570302061,0.041200563442686855,0.03331633698955777,0.03764592387459193,0.029781212459945715,0.07459150058083164,0.09198238440778554,0.13788858102753865,0.09677514218897153,0.09098758517925501,0.10365444959336419,0.08587913634083538,0.06231930958349668,0.9376806904165033,0.01919619007071637,0.9808038099292836,0.07206444808212366,0.40549308997047423,0.3700443538211162,0.10260278570526382,0.031089629229616864,0.01870569319140494,0.1364795336343576,0.5447525108925455,0.27801494986130076,0.026788889679841665,0.00696663698689685,0.006997478945057365,0.7915774587579801,0.6974769712554852,0.09410048750249492,0.1018729454647809,0.0007594263702189744,0.007182509845517957,0.022070862557252394,0.011234624044496823,0.6720187979787162,0.018956623565424272,0.007247817284068507,0.08025425388212165,0.00012758762156770542,0.14783288803069825,0.07356203163740313,0.058300822543587594,0.040264856688279976,0.07351539405099343,0.06939492902233184,0.04470963506521904,0.049018799809609444,0.07448284405858079,0.09136699387668269,0.06070133775720893,0.06608160445696737,0.07723456276425238,0.05308594361589361,0.042526005748695,0.03172927851546831,0.015800885798616025,0.021996389934091275,0.10352571343391727,0.8964742865660827,0.5996779311486952,0.301219895787062,0.1035621744259241,0.02718232783557016,0.013602916273485189
5,Avalon,0.8164170824424705,0.18358291755752945,0.8645058937049275,0.1354941062950725,0.7772060618752717,0.8817716425175071,0.11822835748249291,0.11757288512277526,0.0403322227399362,0.04756785256991224,0.038062958035520206,0.05566255686653901,0.05095367614046015,0.03192028245525049,0.04718964651238643,0.050123676079515164,0.0844823016473833,0.09482489406857612,0.12608537408485812,0.08628734616157793,0.07553765199053669,0.037089947656217793,0.016306727868554298,0.1668367830444025,0.8331632169555975,0.045083053173995316,0.9549169468260048,0.2361274089262004,0.4928642884090655,0.20870557540039153,0.044262927309848106,0.01741895528590813,0.0006208446685862224,0.372837366163165,0.48330464490827996,0.12495898783575538,0.014918777970388668,0.003980223122410736,0.0,0.6272787573461882,0.5756280675712863,0.051650689774901885,0.2587276308917705,0.0,0.0,0.017059633839276687,0.007793193205505314,0.02161419344651996,0.9502894749149062,0.00011129108407816206,0.004158337535537721,2.8840921523982707e-05,0.008823966641431962,0.014973895456001873,0.05065223925644121,0.04125575894761156,0.06175034382766841,0.055514125964363815,0.05621143096211615,0.08499067078501213,0.04952293758631455,0.052010224427714816,0.0665925720467037,0.08740730286982518,0.06443805668680032,0.045191138113461087,0.048038128822382606,0.045777105405253676,0.02624048629132395,0.03416774232018666,0.08823341672489003,0.91176658327511,0.654398377274285,0.29940247733768943,0.1096760541921385,0.018862872581468227,0.007676042780687298
6,Back of the Yards,0.8236284548159409,0.17637154518405898,0.8506739537708702,0.1493260462291298,0.7609830839513746,0.857645429987958,0.1423545700120419,0.09546515033337546,0.08663174058621047,0.06600929723055485,0.07945304831858908,0.08292997253293143,0.06341122817495584,0.054502967712560926,0.0672974029534078,0.052576580419612724,0.07187712399365545,0.07500036472279431,0.1014189002836165,0.041401190038407254,0.025704069466321425,0.02171248895006623,0.01460847428293948,0.2646094788449942,0.7353905211550057,0.05531275959568231,0.9446872404043176,0.21990100376062083,0.4414705388620999,0.23469881623949942,0.06341122792019643,0.030511837605937595,0.010006575611645552,0.2829298757606017,0.47041508700362344,0.19142694732577858,0.03538798677471687,0.019796116133096425,4.398700218295206e-05,0.6765686105858374,0.5144604919153494,0.16210811867048794,0.20576164222544963,0.00045256154718853583,0.0065382885832790645,0.05128772841794447,0.006595332756242689,0.3514413478321234,0.09672489524258877,0.008854834720142304,0.01601302691438081,0.0019413164999539365,0.4019608746949479,0.12306370409586277,0.07277157066285056,0.07076393588980796,0.10273020790846828,0.07738156102437208,0.07594450045060903,0.0801382138271864,0.06211635816814582,0.06173937527141189,0.0660803588945668,0.05000291212220768,0.031225839631828966,0.03349706405873247,0.029017305577497585,0.026672338581082117,0.006790906076074204,0.00768598070396527,0.38637116046717795,0.6136288395328221,0.25396629297106954,0.08014241732369856,0.024492127114867798,0.0025637370017678094,0.001723193059031804
7,Beverly,0.9363290295956984,0.06367097040430146,0.962291602575804,0.037708397424195794,0.914719675601858,0.9049005148692782,0.09509948513072151,0.04301852098236831,0.02134496816284984,0.026949397955252516,0.012769468299388416,0.01993886807606731,0.03201296468980014,0.031148204779637093,0.012549508663882955,0.011752762744932522,0.05174439821046355,0.051639616049879364,0.14452121260728748,0.13577031162179498,0.07469086149005884,0.13678093930043425,0.19336799636590177,0.10247385708774327,0.8975261429122566,0.034400652660583564,0.9655993473394164,0.0667724426374493,0.35439790182858666,0.4398260137403859,0.11355429907590599,0.017877932946863365,0.007571409770808421,0.28824827179509815,0.4817831146584443,0.18540546277781497,0.042243684026883145,0.0,0.002319466741759351,0.6534946451954925,0.6095540963787804,0.04394054881671199,0.19459398564229655,0.0,0.004039621093387524,0.02925590370801491,0.014442272302902135,0.492584156738746,0.42434825410839533,0.001465062466152572,0.011873184508880903,0.0009383586046375624,0.018404388511798035,0.05038659506138948,0.06314407006294584,0.04391381056623415,0.07478783804802751,0.056667689896094824,0.049686848246574315,0.03977142641508654,0.06267159202877534,0.056915018479942354,0.08380284394576233,0.09301392702571609,0.07495321561605026,0.0637783538051993,0.05139964700013204,0.03280837441517436,0.025038147381496862,0.019995379159758818,0.042502580970713126,0.957497419029287,0.7957007171322631,0.5322328073403301,0.2587712112931043,0.0691545870517972,0.022005406486107548
8,Bezazian,0.9005347541222833,0.09946524587771668,0.8869164593863963,0.05724295929074618,0.8490282099961269,0.9560230870519891,0.04397691294801086,0.08981275920358768,0.059129746544039026,0.03971289117251575,0.03830697702992402,0.04140032112712968,0.03469490302515092,0.03280036819821923,0.033993967628056794,0.03930723748718378,0.07080069243337689,0.0982934355597241,0.1331310645830587,0.07231251676849842,0.0629741571578164,0.06744292278622625,0.08588603929549168,0.1548300976994856,0.8451699023005146,0.029347588961255073,0.9706524110387449,0.3703466750518019,0.4864431985410595,0.12340802999985125,0.011978870571297493,0.006211687261047533,0.0016115385749423522,0.4817115256745639,0.44468071065588144,0.06464077353087128,0.007131059652181005,0.0018359304865023342,0.0,0.37002906368425614,0.3350936885378755,0.03493537514638047,0.36917406256357754,0.0014877579290013094,0.027099152288206144,0.04100401838045656,0.008604581240146783,0.6348883982075391,0.14968724822515164,0.0021240329526346696,0.11500195981183813,2.7242533096208014e-05,0.038786773537601425,0.059484344732138816,0.03914015463770352,0.02740713925979966,0.02610024073372178,0.020431275351617907,0.06797488715151338,0.12585988378498986,0.1169475063450841,0.08974772783843778,0.07157273357681002,0.0781156396006929,0.04853876398573968,0.0379809969323504,0.03304734758480249,0.019700552368899595,0.025368190522673733,0.026799008780886376,0.08518169019765211,0.9148183098023478,0.7990651968951976,0.604570909178806,0.2663536042413226,0.07345479846467122,0.026757328585762744
9,Blackstone,0.9162385034199837,0.08351067942584015,0.8991212837050604,0.05965248985228266,0.8653527133318207,0.9068960448337924,0.0931039551662075,0.13510974733227576,0.060042345379861264,0.04864386002354086,0.031916448871327364,0.040127979160701994,0.04304440402296643,0.04188107129347528,0.041540899151345276,0.02026603968669943,0.06270603882455703,0.07397032634841126,0.10074749553062791,0.07313354099177335,0.05025246002926778,0.06862153987926244,0.10799580347390605,0.26528777283676735,0.7347122271632328,0.016866614139710707,0.9831333858602895,0.3708297639825609,0.4908362575357197,0.1149121903290645,0.01907881041313498,0.003256271035472873,0.001086706704047052,0.5168287682145623,0.42586917834146176,0.05077221647137521,0.0054324592827312305,0.0004818052917495578,0.0006155723981197682,0.3293519303682539,0.29151321679206577,0.037838713576188066,0.2467304288195783,0.0,0.05097432715057413,0.16029747610450926,0.011102872143032341,0.36807401456709804,0.4491223360389454,0.003755956806515236,0.1021423690351065,0.00016238980083712674,0.015562624319097848,0.06118030943239972,0.04556554570649319,0.03596682453981708,0.04579259729309218,0.051322602087925155,0.12189025663282978,0.12217476684323564,0.08075136134196355,0.07001465046016757,0.04792026504648075,0.06249077604078866,0.05777967227156325,0.06103325100071498,0.039066398101325034,0.023996838631844656,0.01722701076595488,0.018516182793543688,0.04488263388383515,0.9551173661161648,0.8547349453350082,0.689627096501147,0.43890031595641676,0.1896894802494577,0.12264085593115023
