,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","MULTIPOLYGON (((-87.73620579538974 41.97773167360838, -87.735884 41.97785, -87.73506050220946 41.9773718399926, -87.735969 41.977266, -87.73620579538974 41.97773167360838)), ((-87.73302589561628 41.97707680850528, -87.7333977500445 41.97724327340523, -87.73167541075188 41.97742932347902, -87.73302589561628 41.97707680850528)), ((-87.70618330095095 41.964378311410606, -87.705976 41.963967, -87.70537315947857 41.96353578360413, -87.70687335203672 41.96241231694893, -87.70788287267756 41.96310150815099, -87.70618330095095 41.964378311410606)), ((-87.719183 41.985579, -87.719521 41.983487, -87.71954101365421 41.983511865449174, -87.719547 41.985645, -87.722084 41.986579, -87.721596 41.987579, -87.715613 41.992278, -87.71463740311667 41.99267994591593, -87.716987 41.990698, -87.7164521300043 41.99017786710305, -87.72005 41.987579, -87.720162 41.986579, -87.719183 41.985579)), ((-87.721613 41.984341, -87.72179091716951 41.98415930843552, -87.721613 41.984418, -87.719917 41.984275, -87.71954705962933 41.983519377115236, -87.720049 41.984143, -87.721613 41.984341)), ((-87.730828 41.978794, -87.73104096794802 41.97784963482905, -87.73132481201219 41.97752083972535, -87.73149078682489 41.9774775155769, -87.731613 41.977973, -87.733253 41.978579, -87.732916 41.978882, -87.730846 41.980812, -87.729613 41.981147, -87.728613 41.982321, -87.725613 41.9842, -87.725156 41.983036, -87.724613 41.982879, -87.7229765235004 41.98294855025124, -87.72298 41.982945, -87.725725 41.982579, -87.721271 41.981921, -87.721463 41.976729, -87.719613 41.976765, -87.719508 41.976474, -87.722327 41.976579, -87.728613 41.980809, -87.729462 41.979579, -87.729613 41.978287, -87.730828 41.978794)))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","MULTIPOLYGON (((-87.602128 41.666198, -87.600838 41.665581, -87.5997 41.664336, -87.599543 41.662494, -87.59907317353078 41.662322098102734, -87.59961 41.662426, -87.599755 41.663282, -87.60054 41.663497, -87.600715 41.665321, -87.60404 41.666198, -87.602838 41.668279, -87.601838 41.668113, -87.601552 41.667485, -87.600729 41.667308, -87.59889171013468 41.66545298708132, -87.599396 41.665641, -87.599838 41.666366, -87.600594 41.666443, -87.600838 41.666945, -87.602128 41.666198)), ((-87.594958 41.666318, -87.594838 41.666686, -87.593838 41.666687, -87.59245991050176 41.664636774826235, -87.593325 41.664712, -87.593838 41.665389, -87.593272 41.663765, -87.592571 41.663466, -87.592673 41.662198, -87.59357 41.661931, -87.593762 41.661122, -87.594838 41.661108, -87.595078 41.662959, -87.595925 41.663112, -87.596137 41.6639, -87.596937 41.6641, -87.59702440013939 41.66433242674432, -87.596068 41.663968, -87.595907 41.66313, -87.595032 41.663005, -87.594838 41.661122, -87.593776 41.661136, -87.593627 41.661987, -87.592714 41.662198, -87.594558 41.664198, -87.594958 41.666318)), ((-87.59231522230606 41.664421517847956, -87.59196690399402 41.66390331422423, -87.592106 41.663931, -87.59231522230606 41.664421517847956)), ((-87.59082177702271 41.66111991118549, -87.58922902067714 41.66099193143861, -87.590838 41.661052, -87.59082177702271 41.66111991118549)), ((-87.586838 41.660429, -87.58769905009324 41.660868996597635, -87.583505 41.660532, -87.583067 41.659198, -87.583523 41.658883, -87.586396 41.659641, -87.58738511075676 41.65957920329708, -87.584639 41.660198, -87.586838 41.660429)), ((-87.590021 41.658016, -87.589838 41.656118, -87.584117 41.65592, -87.58403991129143 41.65555658180242, -87.584224 41.655812, -87.589838 41.656102, -87.590062 41.657975, -87.591945 41.658198, -87.591838 41.659327, -87.59112052038675 41.65934582599568, -87.591838 41.659301, -87.591926 41.658198, -87.590021 41.658016)), ((-87.58401 41.652027, -87.582667 41.652027, -87.58234 41.653198, -87.58363141931132 41.65498981002111, -87.583195 41.654842, -87.581328 41.652198, -87.581838 41.650537, -87.582569 41.651468, -87.583838 41.650573, -87.584165 41.650872, -87.584637 41.653198, -87.585534 41.653503, -87.585838 41.654317, -87.58884069831264 41.65425610130998, -87.588838 41.654305, -87.585715 41.654322, -87.5854 41.653636, -87.584501 41.653198, -87.58401 41.652027)), ((-87.5889186207438 41.65284399481349, -87.5889320171707 41.65204374787818, -87.588961 41.652076, -87.5889186207438 41.65284399481349)), ((-87.58828934209247 41.650434747830985, -87.588051 41.650198, -87.58837565139116 41.64987334860884, -87.58828934209247 41.650434747830985)), ((-87.58850555997434 41.64974344002566, -87.588838 41.649411, -87.59129833671192 41.649479083110315, -87.58850555997434 41.64974344002566)), ((-87.592379 41.649658, -87.59200409410823 41.64949861302198, -87.592524 41.649513, -87.59252998455295 41.65061093529325, -87.592379 41.649658)), ((-87.59253392708713 41.65133423867872, -87.592537 41.651898, -87.592085311847 41.65202040404146, -87.59253392708713 41.65133423867872)), ((-87.593984 41.653344, -87.593838 41.65427, -87.591838 41.654279, -87.591645 41.653392, -87.590723 41.653198, -87.591522 41.652882, -87.59164598373081 41.652692364575216, -87.591598 41.652958, -87.590745 41.653198, -87.591676 41.65336, -87.591838 41.654268, -87.593838 41.654261, -87.593966 41.653326, -87.5988762196417 41.653238013983206, -87.598879 41.653239, -87.593984 41.653344)), ((-87.601838 41.649329, -87.60281286323325 41.64937376412806, -87.601192 41.649552, -87.600922 41.651282, -87.598081 41.651441, -87.598081 41.652956, -87.59887318471611 41.653236937687545, -87.598033 41.653003, -87.598033 41.651394, -87.600905 41.651265, -87.6011 41.64946, -87.601838 41.649329)), ((-87.608608 41.650429, -87.608838 41.651324, -87.610039 41.6504, -87.61079983335577 41.65048172499663, -87.609838 41.650626, -87.608838 41.651366, -87.608539 41.650498, -87.603686 41.650351, -87.603494 41.649543, -87.6028561173763 41.64937575028769, -87.604582 41.649455, -87.604838 41.650385, -87.608608 41.650429)), ((-87.612359 41.657198, -87.611721 41.658198, -87.612346 41.658691, -87.61369102324532 41.65890645613648, -87.613639 41.658999, -87.612189 41.658848, -87.611685 41.658198, -87.612216 41.657198, -87.612297 41.653198, -87.612838 41.652473, -87.61379 41.652198, -87.611838 41.651477, -87.6108489946698 41.65048700566446, -87.611482 41.650555, -87.612046 41.651406, -87.615131 41.650905, -87.615861 41.652198, -87.613838 41.653292, -87.612741 41.653101, -87.612359 41.657198)), ((-87.615097 41.659198, -87.61410872276107 41.65876391158608, -87.615838 41.657703, -87.617057 41.659198, -87.615838 41.660091, -87.612714 41.660074, -87.612187 41.662547, -87.611838 41.662721, -87.610838 41.661829, -87.609027 41.661198, -87.610838 41.660568, -87.610838 41.660061, -87.608838 41.660088, -87.608812 41.661198, -87.60849949733894 41.66133596318712, -87.608838 41.660056, -87.611002 41.660034, -87.611139 41.661198, -87.611838 41.661626, -87.612641 41.660001, -87.615097 41.659198)), ((-87.606838 41.659787, -87.60760012563252 41.66148958866303, -87.607099 41.661198, -87.606838 41.659939, -87.60625956717804 41.65995460804805, -87.606838 41.659787)), ((-87.60001615150006 41.6601230762403, -87.59883659871117 41.66015490451127, -87.598838 41.660127, -87.60001615150006 41.6601230762403)), ((-87.59878474575027 41.661187476453904, -87.59877356217804 41.66221247516032, -87.598734 41.662198, -87.59878474575027 41.661187476453904)))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","MULTIPOLYGON (((-87.743777 41.794815, -87.745631 41.795108, -87.745011 41.796108, -87.745359 41.797233, -87.747781 41.797405, -87.748484 41.796798, -87.749766 41.798108, -87.748441 41.799108, -87.747431 41.801108, -87.741187 41.806108, -87.74082 41.807108, -87.741441 41.808108, -87.739484 41.809184, -87.738484 41.80884, -87.737484 41.810994, -87.734286 41.81191, -87.734399 41.813108, -87.731484 41.815573, -87.730484 41.815991, -87.729484 41.815597, -87.72707 41.816108, -87.726598 41.817108, -87.725484 41.817679, -87.723484 41.817647, -87.721484 41.815359, -87.719484 41.814486, -87.718484 41.815883, -87.717062 41.81453, -87.716906 41.814108, -87.71761682073607 41.81321500912554, -87.718199 41.814108, -87.718484 41.814306, -87.718993 41.813617, -87.719343 41.811968, -87.720484 41.811923, -87.720716 41.81234, -87.720074 41.813108, -87.720633 41.814108, -87.721938 41.814654, -87.723484 41.816057, -87.724484 41.815606, -87.725484 41.816322, -87.726168 41.815792, -87.730484 41.815084, -87.732367 41.813108, -87.732243 41.811868, -87.732872 41.81172, -87.733484 41.812231, -87.734441 41.811108, -87.734484 41.809806, -87.736484 41.809309, -87.737484 41.809481, -87.737949 41.808574, -87.739275 41.808108, -87.736484 41.807375, -87.736378 41.807003, -87.738061 41.806686, -87.738484 41.805228, -87.739484 41.805677, -87.740484 41.805262, -87.744445 41.80207, -87.747658 41.798108, -87.745285 41.797307, -87.743379 41.795004, -87.742484 41.794887, -87.741484 41.795772, -87.739086 41.795711, -87.738484 41.796296, -87.73817 41.795423, -87.737251 41.795108, -87.737484 41.793684, -87.738149 41.793108, -87.737236 41.792108, -87.734484 41.789947, -87.73359595609404 41.789534818653024, -87.73470831543518 41.78866752806388, -87.740383 41.793108, -87.738484 41.793732, -87.737484 41.794708, -87.737325 41.795108, -87.738245 41.795348, -87.738484 41.796245, -87.738977 41.795601, -87.741813 41.795438, -87.742484 41.793339, -87.743777 41.794815)), ((-87.71599933148957 41.790916680224484, -87.71699117316653 41.79166491032648, -87.7164998108156 41.79208620992627, -87.715984 41.791575, -87.71536003834252 41.791429390970166, -87.71599933148957 41.790916680224484)), ((-87.712484 41.799314, -87.71297493108801 41.79542291656172, -87.713293 41.795412, -87.71332714373354 41.79542255723498, -87.712484 41.799457, -87.7117505800555 41.79818891691596, -87.71243812120282 41.797627189557176, -87.712484 41.799314)), ((-87.708484 41.802036, -87.71155697279521 41.80278266860348, -87.71016 41.802785, -87.708484 41.803309, -87.70690373146793 41.80214883621111, -87.70775877023665 41.80145026177512, -87.708484 41.802036)), ((-87.716007 41.811585, -87.714599 41.808993, -87.71453164559743 41.809037047014, -87.714543 41.808969, -87.71489499736505 41.80904006923544, -87.71732793346803 41.81277189184177, -87.716007 41.811585)), ((-87.71131715033002 41.80405818870203, -87.711484 41.803734, -87.71226066388677 41.804360253626996, -87.711734 41.804301, -87.7113218944261 41.80406156666157, -87.71131715033002 41.80405818870203)), ((-87.713969 41.806396, -87.7138586484422 41.80680030932458, -87.71369647525366 41.80694129027995, -87.71363554613482 41.80642867082432, -87.71360011495482 41.806121938037364, -87.71456752329284 41.806162537755526, -87.714563 41.806188, -87.71447268597058 41.80626651210343, -87.713969 41.806396)), ((-87.71501053242218 41.805039476851164, -87.713711 41.804882, -87.71349053202376 41.80208195957935, -87.713578 41.802014, -87.713796 41.804108, -87.714668 41.804925, -87.71501552373749 41.80499420222411, -87.71501053242218 41.805039476851164)), ((-87.713156 41.80278, -87.71259089912598 41.802780943092245, -87.71342912002835 41.80212967456664, -87.713156 41.80278)))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","MULTIPOLYGON (((-87.785071 41.889173, -87.785919 41.888173, -87.78182 41.884459, -87.77782 41.882103, -87.77682 41.880896, -87.772661 41.878332, -87.771704 41.877289, -87.76969855302319 41.87632635576279, -87.773738 41.877173, -87.77782 41.880493, -87.786155 41.886173, -87.787764 41.888173, -87.78682 41.891093, -87.783082 41.894435, -87.77982 41.896504, -87.77882 41.89766, -87.77782 41.897946, -87.77760187494505 41.898180687961315, -87.77670161953809 41.897546908154816, -87.777427 41.89678, -87.77882 41.896243, -87.78482 41.89123, -87.785338 41.890173, -87.785071 41.889173)), ((-87.767547 41.876446, -87.768437 41.876173, -87.768285 41.875173, -87.76882 41.874381, -87.770156 41.874837, -87.76967494513956 41.87631502362916, -87.769002 41.875992, -87.768305 41.876657, -87.767405 41.876589, -87.76682 41.874724, -87.76482 41.8733, -87.762986 41.874173, -87.75782 41.878484, -87.753048 41.881173, -87.75280111400869 41.8814783630072, -87.752178 41.881096, -87.75190364541085 41.88074381182393, -87.76482 41.871792, -87.765802 41.873191, -87.767246 41.873747, -87.767547 41.876446)))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.797285 41.957733, -87.796285 41.95722, -87.795285 41.955846, -87.793982 41.956426, -87.793399 41.956237, -87.793142 41.95698, -87.791855 41.957123, -87.792071 41.958336, -87.793917 41.959491, -87.794472 41.96031, -87.79274 41.961577, -87.791285 41.961799, -87.790687 41.962525, -87.78908 41.962917, -87.788407 41.965244, -87.787652 41.964755, -87.787031 41.964869, -87.786698 41.965536, -87.785201 41.966123, -87.78465904899106 41.966571230157776, -87.78392662347468 41.965993669189146, -87.784042 41.96588, -87.785787 41.965123, -87.786285 41.963924, -87.787285 41.963869, -87.788285 41.962778, -87.791961 41.960799, -87.792631 41.960123, -87.79103 41.959123, -87.791941 41.958123, -87.791454 41.957123, -87.793028 41.956123, -87.793207 41.954045, -87.795412 41.953996, -87.795025 41.955382, -87.797285 41.956321, -87.797906 41.955123, -87.796929 41.954479, -87.797042 41.95388, -87.800875 41.953123, -87.800285 41.951941, -87.797446 41.949962, -87.796285 41.949298, -87.795144 41.949264, -87.794517 41.947891, -87.793285 41.94815, -87.79216765159323 41.947339034053876, -87.794024 41.94702, -87.7941305137282 41.9470320802997, -87.794856 41.947552, -87.795285 41.948433, -87.79594022777572 41.947931095523806, -87.795952 41.947981, -87.7987248374538 41.949988867533065, -87.79892 41.950487, -87.799285 41.950712, -87.7995795009992 41.950607746646284, -87.801777 41.952199, -87.801552 41.953199, -87.80195660092943 41.953334767590675, -87.798996 41.954123, -87.799285 41.955709, -87.798338 41.957176, -87.797285 41.957733))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","MULTIPOLYGON (((-87.588005 41.731783, -87.586005 41.729948, -87.584036 41.730423, -87.581005 41.733217, -87.580005 41.733336, -87.579233 41.734393, -87.578005 41.73446, -87.575905 41.735293, -87.575005 41.736691, -87.573236 41.736624, -87.572005 41.7377, -87.571005 41.73726, -87.569607 41.737393, -87.569414 41.738802, -87.568087 41.740393, -87.568819 41.741393, -87.567077 41.744393, -87.567418 41.745393, -87.566763 41.746393, -87.56671182492568 41.74709402841536, -87.56494967747813 41.7462728677048, -87.565731 41.745393, -87.56528 41.744393, -87.566642 41.742393, -87.566377 41.740393, -87.56698461830653 41.7397829414593, -87.568371 41.739298, -87.569352 41.737298, -87.56891462920892 41.73631070701785, -87.569995 41.736403, -87.571005 41.735827, -87.572005 41.736029, -87.573005 41.735042, -87.573829 41.736569, -87.575005 41.73658, -87.575305 41.735093, -87.574712 41.734686, -87.574754 41.734141, -87.579005 41.732741, -87.585005 41.728327, -87.586005 41.728503, -87.589005 41.730629, -87.590309 41.73209, -87.592344 41.733054, -87.593005 41.733799, -87.594005 41.734, -87.594843 41.735555, -87.597005 41.73536, -87.598375 41.736393, -87.597579 41.736967, -87.596892 41.738393, -87.59747126186292 41.74020319332162, -87.59629 41.739393, -87.596236 41.736393, -87.592555 41.734843, -87.588005 41.731783)), ((-87.59887117822781 41.74248107897459, -87.599637 41.740025, -87.601005 41.739764, -87.602005 41.740026, -87.60359764204159 41.74129949669803, -87.60258698884687 41.74207601523599, -87.600005 41.740766, -87.59887117822781 41.74248107897459)), ((-87.59878 41.742619, -87.598629 41.741769, -87.597785 41.741393, -87.59777624028268 41.741156250883385, -87.597852 41.741393, -87.598732 41.741666, -87.59884601079419 41.742519148570096, -87.59878 41.742619)))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","MULTIPOLYGON (((-87.68208377301198 41.81770774840293, -87.682285 41.818669, -87.68274089688147 41.819186629221846, -87.682552 41.819301, -87.68251329061242 41.82005170828706, -87.682001 41.819384, -87.68182238733398 41.81755207522031, -87.68208377301198 41.81770774840293)), ((-87.675416 41.81723, -87.673868 41.817087, -87.67357 41.816266, -87.67341100487283 41.81758291499673, -87.67357 41.816228, -87.673994 41.81696, -87.675347 41.817162, -87.676102 41.816916, -87.67657 41.816099, -87.67757 41.816905, -87.67957 41.815943, -87.67984046092982 41.815981675912965, -87.679485 41.81616, -87.67955433935656 41.81620129636482, -87.679388 41.816202, -87.67902 41.816835, -87.67757 41.81714, -87.67657 41.816203, -87.676251 41.817066, -87.675416 41.81723)), ((-87.67260973862896 41.81909220817341, -87.67331391443078 41.81838708969984, -87.673234 41.819049, -87.67260973862896 41.81909220817341)), ((-87.664434 41.81552, -87.667788 41.817167, -87.668602 41.818384, -87.67057 41.819031, -87.67226058713882 41.81911637465051, -87.668394 41.819384, -87.665658 41.817296, -87.66457 41.817069, -87.662822 41.815132, -87.661159 41.814384, -87.661703 41.813384, -87.659963 41.812991, -87.659758 41.812384, -87.65988805918126 41.81093709160859, -87.660189 41.812765, -87.663516 41.813384, -87.66325 41.814384, -87.664434 41.81552)), ((-87.65854710513486 41.809179438126925, -87.658725 41.809229, -87.65909591168369 41.8096286296592, -87.6583135426987 41.80931467077745, -87.65854710513486 41.809179438126925)), ((-87.6793050500184 41.7989711174877, -87.67857 41.797465, -87.67796031991544 41.796979999492734, -87.6790151752973 41.79675268849966, -87.6793050500184 41.7989711174877)), ((-87.69528461480198 41.80390433709975, -87.695352 41.804353, -87.69550351163511 41.804353443943675, -87.695566743271 41.80448317519663, -87.69512161594925 41.8043638810744, -87.69510137789526 41.803528393109616, -87.69528461480198 41.80390433709975)), ((-87.69016711656441 41.80448911656442, -87.69028 41.804426, -87.69032295238095 41.80464495238096, -87.69016711656441 41.80448911656442)), ((-87.67950933330779 41.79938969394767, -87.68116732256094 41.799452491102656, -87.68119462616878 41.79950479097118, -87.67957 41.799514, -87.67950933330779 41.79938969394767)))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","MULTIPOLYGON (((-87.663146 41.708687, -87.664146 41.708684, -87.66669515491576 41.70669141057419, -87.666909 41.70696, -87.667909 41.706979, -87.66859975224095 41.707417627673, -87.667146 41.707846, -87.664146 41.710341, -87.663106 41.71023, -87.662146 41.709574, -87.660146 41.710566, -87.65758803064851 41.712781949679204, -87.657425 41.712695, -87.65652929500241 41.71153325551544, -87.659146 41.709568, -87.662146 41.708126, -87.663146 41.708687)), ((-87.67110723564788 41.70804723504647, -87.67122990532543 41.70796136627219, -87.671146 41.708091, -87.67110723564788 41.70804723504647)), ((-87.691146 41.71831, -87.690146 41.718743, -87.688559 41.718602, -87.688111 41.719225, -87.687146 41.715376, -87.684879 41.714457, -87.68405 41.71319, -87.679146 41.710278, -87.678146 41.7091, -87.676722807896 41.708198407802115, -87.676909 41.708123, -87.67778014520216 41.707596120939535, -87.679146 41.708809, -87.684146 41.711624, -87.687146 41.713992, -87.688146 41.717872, -87.689146 41.71778, -87.690146 41.718255, -87.691146 41.71743, -87.692146 41.717255, -87.696555 41.72019, -87.6968 41.72119, -87.695313 41.722357, -87.693715 41.722758, -87.693128 41.724172, -87.692146 41.724577, -87.690908 41.72319, -87.688112 41.722156, -87.68703754348849 41.723017089261006, -87.687934 41.721978, -87.690231 41.722105, -87.692146 41.723097, -87.694787 41.72119, -87.694146 41.720026, -87.691146 41.71831)), ((-87.677871 41.73319, -87.676443 41.734486, -87.674146 41.734768, -87.672869 41.733913, -87.67283818280413 41.73397417443361, -87.672474 41.7337, -87.671438 41.731736, -87.67102631759357 41.731626565436265, -87.67054144502032 41.730892589843066, -87.670504 41.73067, -87.67008453604912 41.73056126798509, -87.67012054105254 41.73028051731427, -87.670452 41.730168, -87.67047388122215 41.73009848564804, -87.67176292375815 41.73016329784259, -87.67231362959761 41.73036179625053, -87.672689 41.733647, -87.674007 41.734329, -87.676556 41.73419, -87.677748 41.732791, -87.678017 41.73106, -87.67813629333496 41.73111781787815, -87.677871 41.73319)), ((-87.685356 41.72419, -87.68594801265287 41.72389025936331, -87.685574 41.72419, -87.68572830035349 41.725661542899154, -87.685356 41.72419)), ((-87.682495 41.731539, -87.679146 41.731683, -87.67866107905377 41.73137216567346, -87.678865 41.731471, -87.68076 41.73119, -87.682268 41.730312, -87.683146 41.728765, -87.684404 41.728448, -87.685528 41.727572, -87.68580740099205 41.726415915655686, -87.685913 41.727423, -87.687081 41.72819, -87.683007 41.729051, -87.682495 41.731539)))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","MULTIPOLYGON (((-87.64183008213232 41.967482786162535, -87.642247 41.967976, -87.64338657252858 41.96842100307241, -87.643182 41.96878, -87.643568 41.969937, -87.645172 41.971333, -87.646437 41.974068, -87.647295 41.974551, -87.646275 41.975551, -87.647516 41.977988, -87.649143 41.978362, -87.64994755146769 41.97966795149838, -87.649739 41.980255, -87.6497080448609 41.98116508108948, -87.649292 41.980551, -87.649074 41.978431, -87.647359 41.978145, -87.646206 41.976551, -87.646291 41.974889, -87.646983 41.974551, -87.646199 41.974306, -87.645085 41.97142, -87.643411 41.970094, -87.641771 41.967551, -87.64183008213232 41.967482786162535)), ((-87.674953 41.979296, -87.67203988422564 41.98156664307799, -87.67089743279924 41.98082440592466, -87.674758 41.977551, -87.676547 41.976551, -87.676953 41.975422, -87.67722610163797 41.97524513147641, -87.67871661954342 41.97627547294051, -87.678229 41.976827, -87.675953 41.977959, -87.674953 41.979296)))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","MULTIPOLYGON (((-87.58389725090923 41.807283619593726, -87.583521 41.807209, -87.58333889796488 41.80653701784222, -87.583633 41.807097, -87.58389725090923 41.807283619593726)), ((-87.592362 41.815368, -87.593402 41.815329, -87.59362 41.81611, -87.59431 41.816493, -87.594048 41.817682, -87.595237 41.817831, -87.596237 41.818548, -87.600237 41.81923, -87.601253 41.818493, -87.601311 41.817493, -87.602976 41.815493, -87.603282 41.813538, -87.6044142862112 41.81215325590022, -87.60491599655512 41.81249200344488, -87.604915 41.812493, -87.60527 41.813493, -87.603883 41.815139, -87.604013 41.816493, -87.603146 41.818493, -87.601237 41.820588, -87.597237 41.819641, -87.595461 41.81827, -87.593767 41.817963, -87.593237 41.816929, -87.592237 41.817007, -87.59075 41.815981, -87.5903939900369 41.81536862416673, -87.591237 41.815914, -87.591965 41.815493, -87.591871 41.814493, -87.592317 41.814413, -87.592362 41.815368)), ((-87.587013 41.790268, -87.585256 41.791511, -87.583459 41.791714, -87.581237 41.79356, -87.580237 41.793384, -87.57732 41.795493, -87.58034 41.79939, -87.580348 41.802493, -87.579479 41.802735, -87.579479 41.804251, -87.58031 41.80442, -87.580469 41.805261, -87.581321 41.805409, -87.581523 41.806208, -87.583237 41.806343, -87.58327770806639 41.80642050980319, -87.581459 41.806271, -87.581304 41.805426, -87.580425 41.805305, -87.580297 41.804433, -87.579432 41.804298, -87.579432 41.802688, -87.580328 41.802493, -87.580316 41.799414, -87.579618 41.799112, -87.578237 41.797194, -87.576152 41.796578, -87.575487 41.795493, -87.577457 41.794712, -87.579443 41.792698, -87.582237 41.791101, -87.584655 41.790493, -87.586237 41.789068, -87.589237 41.788485, -87.592237 41.791298, -87.595237 41.792494, -87.598642 41.795493, -87.601828 41.797493, -87.602347 41.798383, -87.604237 41.799082, -87.606175 41.800493, -87.60666868531868 41.80092651362724, -87.60567975013868 41.80201982410481, -87.604237 41.80056, -87.597237 41.796078, -87.59605 41.79468, -87.591511 41.792493, -87.589237 41.790006, -87.587013 41.790268)), ((-87.587367 41.810622, -87.586512 41.810767, -87.586475 41.812255, -87.588326 41.812404, -87.588549 41.813181, -87.589449 41.813493, -87.589767 41.814963, -87.59034574875574 41.81533741501136, -87.589608 41.815122, -87.589386 41.813493, -87.588475 41.813255, -87.588307 41.812423, -87.586429 41.812301, -87.586415 41.81067, -87.587258 41.810472, -87.586474 41.809256, -87.58463 41.808101, -87.58438053775139 41.807624927006444, -87.586237 41.808936, -87.587138 41.808393, -87.5873 41.807431, -87.587358 41.808372, -87.5883 41.808431, -87.588322 41.809493, -87.587402 41.809657, -87.587367 41.810622)))",41.80549277198318,-87.58923748614112
