,Branch,Percent of People with Internet Access,Percent of People without Internet Access,Percent of People with Computers,Percent of People without Computers,Percent of People with Computers and Internet,Percent Population in Labor Force 16+: Employed,Percent Population in Labor Force 16+: Unemployed,"Percent Households: Less Than $10,000","Percent Households: $10,000 to $14,999","Percent Households: $15,000 to $19,999","Percent Households: $20,000 to $24,999","Percent Households: $25,000 to $29,999","Percent Households: $30,000 to $34,999","Percent Households: $35,000 to $39,999","Percent Households: $40,000 to $44,999","Percent Households: $45,000 to $49,999","Percent Households: $50,000 to $59,999","Percent Households: $60,000 to $74,999","Percent Households: $75,000 to $99,999","Percent Households: $100,000 to $124,999","Percent Households: $125,000 to $149,999","Percent Households: $150,000 to $199,999","Percent Households: $200,000 or more",Percent Ages 18-64: Living in Poverty,Percent Ages 18-64: At or Above Poverty Level,Percent Households: With Public Assistance Income,Percent Households: No Public Assistance Income,Percent Owner and Renter Occupied Housing: No Vehicles,Percent Owner and Renter Occupied Housing: 1 Vehicle,Percent Owner and Renter Occupied Housing: 2 Vehicles,Percent Owner and Renter Occupied Housing: 3 Vehicles,Percent Owner and Renter Occupied Housing: 4 Vehicles,Percent Owner and Renter Occupied Housing: 5 or More Vehicles,Percent Renter-Occupied Housing: No Vehicles,Percent Renter-Occupied Housing: 1 Vehicle,Percent Renter-Occupied Housing: 2 Vehicles,Percent Renter-Occupied Housing: 3 Vehicles,Percent Renter-Occupied Housing: 4 Vehicles,Percent Renter-Occupied Housing: 5 or More Vehicles,"Percent Workers 16+: Car, Truck, or Van ",Percent Workers 16+: Drove Alone,Percent Workers 16+: Carpooled,Percent Workers 16+: Public Transportation (Includes Taxi),Percent Workers 16+: Motorcycle,Percent Workers 16+: Bicycle,Percent Workers 16+: Walked,Percent Workers 16+: Other Means,Percent: White Alone,Percent: Black or African American Alone,Percent: American Indian and Alaska Native Alone,Percent: Asian Alone,Percent: Native Hawaiian and Other Pacific Islander Alone,Percent: Some Other Race Alone,Percent: Two or More Races,Percent: under 5 years,Percent: 5 to 9 years,Percent: 10 to 14 years,Percent: 15 to 19 years,Percent: 20 to 24 years,Percent: 25 to 29 years,Percent: 30 to 34 years,Percent: 35 to 39 years,Percent: 50 to 54 years,Percent: 55 to 59 years,Percent: 60 to 64 years,Percent: 65 to 69 years,Percent: 70 to 74 years,Percent: 75 to 79 years,Percent: 80 to 84 years,Percent: 85 years and over,Percent: 25+ Less Than High School,Percent: 25+ High School or More,Percent: 25+ Some College or More,Percent: 25+ Bachelor's Degree or More,Percent: 25+ Master's Degree or More,Percent: 25+ Professional School Degree or More,Percent: 25+ Doctorate Degree,Average Cycling Time (Min)
0,Albany Park,0.9099398457858088,0.09006015421419122,0.9524622755518592,0.04753772444814073,0.8530408987244823,0.9453555063652604,0.054644493634739624,0.057508112790485746,0.026105981893020245,0.037178733067548285,0.03005374483492809,0.04201207634203349,0.03195154159162796,0.0565380345628064,0.04045970320554605,0.03787483669411476,0.08406826587246503,0.09514297591258575,0.1286606802859668,0.10954455408107842,0.07595092866103731,0.07749817160496046,0.0694516585997945,0.12026780773188554,0.8797321922681145,0.031084269727004954,0.968915730272995,0.1897360831071644,0.48467632570043845,0.26057619113302627,0.0466995531710381,0.011551573631576183,0.006760273256756478,0.26373227082741,0.4786032081651721,0.22173476734329592,0.02873530798915921,0.004825090720467832,0.002369354954494713,0.5539930044841872,0.4655270764623781,0.08846592802180898,0.2364115046348278,9.182325077088124e-08,0.008451129747883307,0.06939610133805948,0.010453545471143886,0.5015695127227984,0.04426182858780589,0.004753737349677777,0.191553934913305,0.0,0.1390490682630223,0.11881191816339041,0.06351095116561968,0.05729243335848531,0.0484221094305299,0.07948348704729592,0.08433161029371161,0.079660927805141,0.0917762076684,0.08499459799299623,0.06242249018606472,0.05416957897606707,0.05527552521359185,0.04421574304199677,0.02736635133487301,0.020143614278554392,0.013852266121292593,0.016876612900064196,0.19700183865363005,0.8029981613463699,0.6126902735581967,0.42611093531490885,0.1563802781541332,0.03971347506095175,0.016772350281033615,4.437810709885564
1,Altgeld,0.8704951361249993,0.12950486387500065,0.9264509628970997,0.07354903710290038,0.8461871404190999,0.8181771401222862,0.18182285987771374,0.19347167043681415,0.05294460379665935,0.06297389290789614,0.05984293276500648,0.06948087095961313,0.053724116885219414,0.02767924948877087,0.06240856750858595,0.061419033495410544,0.0525082684222788,0.059587834843786464,0.1080225589946919,0.06670076869311489,0.024899446573309524,0.03448461350581565,0.009851570723026039,0.2938835558410437,0.7061164441589564,0.06475134960788627,0.9352486503921136,0.2156659665915953,0.4611044284547662,0.2355409108942476,0.07255897342963871,0.010002702320504573,0.005127018309247526,0.3219259864333612,0.51274433058175,0.13719575574083123,0.021971763468343893,0.004727302597749509,0.0014348611779640276,0.7274616132280524,0.6632980271936598,0.06416358603439255,0.14685682844538886,0.0,0.0017790516451682951,0.02269830816924774,0.03037683483381173,0.07659499055951072,0.8731728132679241,0.0006505540900120665,0.0017876857457450263,0.0,0.02320809291628388,0.02458586342052423,0.07082933053563129,0.07171954424636513,0.09638174770271986,0.09210587881706042,0.08764888721696729,0.0761662872112394,0.07737834402502784,0.05408176843911251,0.0466553446472723,0.06250428857735049,0.05470253028540766,0.03475792503773741,0.02979815722063504,0.018015774475123328,0.012640763715761354,0.012953130852464129,0.11017556766334986,0.88982443233665,0.5705675515844193,0.13285202966383475,0.04257667460286529,0.004715455954294884,0.0012897563699233244,14.056106343511075
2,Archer Heights,0.8037131266991113,0.19628687330088884,0.8340624180853184,0.16593758191468172,0.7702636690613678,0.8876833915835338,0.11231660841646593,0.04010633910928297,0.039625666376856473,0.026035427270331753,0.10971667975116339,0.05803568103824162,0.04704690754703442,0.041705900958154116,0.04586817517667119,0.03213598571403294,0.07467741511936771,0.10992988137479416,0.11248065321251915,0.08177319815949231,0.05633331680448153,0.08127066978177665,0.04325810260579913,0.08640338304044706,0.9135966169595529,0.03990187933133479,0.9600981206686653,0.16030509250778174,0.3438093624646157,0.31414713503039265,0.12671682208279744,0.04233851398953804,0.012683073924874432,0.3158729837367735,0.4921425372611693,0.12891392401134735,0.05074028822194554,0.012310755650539684,1.9511118224726002e-05,0.787611906760139,0.6156523839891777,0.17195952277096152,0.14309620801572667,0.00023943036617820343,0.0015615790693656725,0.03349904912526417,0.005001520925717666,0.5291863783487235,0.04621773571303314,0.013308619515821086,0.04464823045591112,0.0012989026999703224,0.24465380751703203,0.1206863257495086,0.06671107997166577,0.05637291532730433,0.06809490131815638,0.07075497177003141,0.06912991487423695,0.07794291360308866,0.07691048663824722,0.06955966678601085,0.06215889766376859,0.05860423609723528,0.051866880801425694,0.03896311563494586,0.039418461322180104,0.03026952068122381,0.012827748551006532,0.02384410034478702,0.25783460288449295,0.7421653971155069,0.36020900040385967,0.1451429909417667,0.04089505899657334,0.005648344959251357,0.002677565669369438,5.780902575848169
3,Austin,0.8380276489524331,0.16197235104756708,0.8776641674237992,0.12178382324475516,0.7763124594885628,0.9041359711067894,0.09586402889321077,0.11847686841390767,0.07063965384564486,0.07008144477057322,0.04336857373697569,0.048428501434038415,0.044155485049452256,0.04139935664816489,0.02901053511558348,0.04060794944882439,0.07912869271943516,0.0925851856566989,0.08384894213104997,0.07035317628468768,0.05274267537855463,0.05202765844810622,0.06314530091830185,0.18923357838280924,0.8107664216171905,0.05523480519130808,0.9447651948086916,0.26881083009492357,0.4087539557191526,0.23220204938369368,0.06021135091151119,0.021473389840327716,0.008548424050391143,0.4197567332936815,0.4282608667561089,0.12123394006636683,0.020118046337204088,0.006573662095391904,0.004056751451246577,0.6800014625376131,0.5842530821959305,0.09574838034168247,0.19763022708518438,0.0,0.004748821362785812,0.03977109536702788,0.0048811245581094845,0.24503970140122863,0.486438974049715,0.0020040741333191246,0.02064247103335402,5.958108800404436e-05,0.17972943844902978,0.06608575984534923,0.06547202051910987,0.08431299599636137,0.06986257037200384,0.06042894602331234,0.06966103030881438,0.07312238556649336,0.06551920225087564,0.062293031596412765,0.06641761607019153,0.04968179105183755,0.05392476760922191,0.05070791951750736,0.03718843234941541,0.027161548677335903,0.016594894039219748,0.007294214579730417,0.1684200979757977,0.8315799020242024,0.5419130137409831,0.26938081885119486,0.11889650288326956,0.030650740945434556,0.011131319011975989,7.555355166397666
4,Austin-Irving,0.8529430707169172,0.14705692928308292,0.9217673629221822,0.07823263707781795,0.8221889305620144,0.9531501878356408,0.046849812164359,0.044079282399570534,0.027426456996260538,0.03472382077755688,0.035967652710190944,0.03863006194118843,0.03962640039347699,0.034204904112336516,0.03805080289613024,0.029872536356687046,0.07475657175014981,0.09490577423280297,0.1340943801830206,0.09473889103758823,0.0916943326768973,0.10021667925115699,0.08701145228498537,0.0615102764328818,0.9384897235671182,0.02006319490385599,0.9799368050961441,0.07314279281593054,0.39955245904777625,0.3755558764339685,0.1023363281867501,0.030191495106853466,0.019221048408721107,0.1389710364061263,0.5379344051378935,0.28456636273853564,0.025036573985420574,0.006138640946033643,0.007352980785990231,0.7958190932094105,0.7010036494520443,0.09481544375736595,0.0974065552837339,0.0006703767853676123,0.007758038591722475,0.021908279368408504,0.011956958024588554,0.670439421231867,0.019173172485846806,0.006517953543594411,0.08171399013708387,0.00011972411227376255,0.14965851150348952,0.07237722698584453,0.06030248052620663,0.03947028702180477,0.07511902245216422,0.06882504035831571,0.04261995607852928,0.04862364729789738,0.07334590565501146,0.09315469887618218,0.05915957841332443,0.06494322317471139,0.0773748113885499,0.05251233827515878,0.043535883686686344,0.03343165304688956,0.01574503307582257,0.0215858797181594,0.1044222374959297,0.89557776250407,0.6003044023715349,0.2968789581067702,0.10128354675098551,0.026887496978441384,0.01400059274449442,4.218487711690861
5,Avalon,0.8163019099573295,0.18369809004267026,0.857494820170104,0.14250517982989586,0.7752944055016875,0.8760248262442052,0.12397517375579453,0.11499799653251325,0.039451446107828136,0.04903890242463641,0.036809138930396085,0.05802678337585229,0.05213432197516236,0.03241779080763474,0.04436415625923155,0.047804152705606374,0.0878453442812691,0.09018192760921659,0.12431755230081394,0.08982439968218228,0.07299925687139526,0.03939899356088445,0.020387836575376555,0.1662152549034197,0.8337847450965801,0.04157728259702196,0.9584227174029779,0.23553008179774151,0.48405200277264765,0.21442320626170955,0.046215634018526415,0.01919201932334214,0.0005870558260327123,0.3726788016971602,0.4825802700290148,0.12722295553876364,0.013177959728514401,0.004339932651789355,8.035475735053197e-08,0.6235455212962138,0.5711508266780496,0.05239469461816409,0.25406138486584484,0.0,2.7107339037147696e-06,0.019917709843833894,0.007566103865085281,0.021697177212803308,0.9449312331402612,0.00011466539691800374,0.004650874426456726,0.0,0.009248218850457247,0.01935783097310346,0.04891158481342109,0.04092451493205027,0.06121043955574946,0.0564912763644775,0.058101579727268184,0.08069757234007757,0.04771079658172226,0.05585848703311763,0.06993430414931494,0.08424771851862722,0.06335348345404163,0.044773219509573706,0.05057102489112017,0.04701810267557542,0.025819332996465428,0.03561109172836217,0.09041537297321703,0.9095846270267824,0.645676427791503,0.29527192005774433,0.10967584972181926,0.01819534614264904,0.006844917754454861,5.604140204865785
6,Back of the Yards,0.8220056475190695,0.17799435248093057,0.8507064160115079,0.14929358398849216,0.7596833012013869,0.853761816217387,0.14623818378261294,0.09361186162055143,0.08850479150971649,0.06672037645727052,0.08021668087230607,0.08408395715533182,0.06173674642131844,0.05508687656696889,0.0667161913868692,0.05404303034853536,0.07110483244131155,0.07491618764257017,0.09958563150864408,0.04194042840262191,0.02562127290776591,0.0216282481501733,0.014482886608044185,0.26510285649088144,0.7348971435091185,0.055112883930379435,0.9448871160696205,0.22025733382792034,0.442471561535436,0.23153240025521454,0.06541202464279991,0.031085267787100877,0.009241411951528167,0.28181890289890527,0.47198909078355283,0.189426874609831,0.03691600780126174,0.019849123906448846,0.0,0.6777172342826575,0.5113145034323456,0.16640273085031174,0.20562603425468481,0.00039170015446235017,0.006698756414855375,0.049928874901697215,0.005463167298059138,0.34957406019552645,0.10100152606241145,0.00874681611578316,0.015294915199652913,0.0018788391156515998,0.4034029104362983,0.120100932874676,0.07308588887936346,0.06988314090172529,0.10468277282358981,0.07810090574539848,0.07503491692457408,0.07926453883911423,0.06154020154425998,0.06228167392864816,0.06709828713840278,0.04870572575871946,0.031063096381824275,0.03347199342003851,0.02840068962212214,0.02636647057963432,0.006664376022956815,0.007917777235900546,0.3868792408364874,0.6131207591635126,0.2545560034060491,0.0785350959818806,0.02368627663955508,0.002482997180234537,0.0016518885509232723,3.802045000929225
7,Beverly,0.9424375571459096,0.057562442854090214,0.9652298134671174,0.03477018653288257,0.9229832630574706,0.9076713723264548,0.09232862767354484,0.03730644895419125,0.019238871373642552,0.023650655516367063,0.010576146127934557,0.019552969290745164,0.030080939019602463,0.030228053407909787,0.011529399728694783,0.010932549793976063,0.04956798734162344,0.04977638845924292,0.14573406645006404,0.13580094311612625,0.07921815215819993,0.14380071274695186,0.20300571651472732,0.09739823498732723,0.9026017650126729,0.03280331994748126,0.9671966800525188,0.056973906120438206,0.35028314655014287,0.4510024564466954,0.114848920269743,0.01881390234412429,0.008077668268856059,0.266833141632474,0.4978845572755108,0.20072354594353434,0.031515762158467665,0.0,0.003042992990013257,0.6624360129243927,0.6174715708256003,0.04496444209879242,0.18625926917157276,0.0,0.004273203379455761,0.02851461639410569,0.014733977747663411,0.5279582906367599,0.3837617654604447,0.0013526648746625984,0.012610283978461232,0.000915588941219258,0.01946805113235251,0.05393335497609949,0.06437800979100623,0.04583580383145503,0.07349911871907494,0.056234071594567565,0.04895964219602376,0.0387378036832762,0.06202640377108535,0.05883447807144819,0.08383845634544056,0.09335082975981471,0.0744331102416149,0.06381132753629523,0.05235474793491815,0.032740951660257096,0.024411413012237645,0.01971859836174842,0.03893547240311365,0.9610645275968864,0.8101035840049663,0.5539304919735917,0.27141211392445097,0.07221308943157322,0.02266939487823777,4.69640155141401
8,Bezazian,0.8979293778700577,0.10207062212994185,0.8868229007885615,0.059196926131179085,0.8459812135127259,0.958533203227499,0.041466796772500675,0.09124079034731435,0.06176563366812976,0.039912067340589684,0.03825418038161233,0.04185543068845628,0.03429276854090375,0.033489079703365905,0.03392167924540294,0.03698028946323484,0.07231036404866917,0.09909640813227785,0.1351660585914235,0.07021376728777365,0.06284853300447944,0.06528139281517348,0.08337155674119218,0.15848377365093896,0.8415162263490608,0.02894968631667452,0.9710503136833253,0.37523320868297155,0.483005904648528,0.12382538564729823,0.011010841210502264,0.005586560753219029,0.0013380990574806597,0.48396498310555675,0.44360824234477164,0.0642886618744117,0.006358197294567763,0.0017799153806919473,0.0,0.3676949616548248,0.3327833104780096,0.03491165117681521,0.37434917239717147,0.0014205966197578751,0.025158295237574544,0.04161664330824909,0.008631801795524864,0.6315922299808329,0.1520703563844805,0.0019814889390254555,0.1140883672256647,2.4568672637206502e-05,0.039805074948042314,0.06043791384931663,0.039002910089858726,0.027284350698033782,0.026879949068494818,0.020265061848716927,0.06797033859500881,0.1248923512707489,0.11606159294554468,0.08973326790260025,0.0702376994513613,0.08056888190577173,0.04997929123122541,0.036833403081253165,0.0320516716349788,0.019055233006422475,0.025625730369754036,0.027133085592030814,0.08826668608472776,0.9117333139152723,0.794888961116665,0.5971177373185357,0.26257784793187045,0.0730519565597133,0.02717876666109557,3.789295009804319
9,Blackstone,0.9336967403345303,0.06619130846833501,0.9175559921955899,0.04983523627054581,0.8825215820694626,0.9176582468197934,0.0823417531802066,0.12416519965387685,0.05256375349965479,0.04354960823926029,0.030391112893594315,0.03877268638131582,0.04487744544578095,0.04328449993260101,0.04597942092231445,0.02039460529186527,0.06509656420788593,0.07458065481110839,0.10246144209218343,0.07726187681402828,0.05127140725724481,0.06956118949503054,0.1157885330622543,0.25894731365970636,0.7410526863402934,0.014287755379854177,0.985712244620146,0.36718920221861334,0.5021349462806225,0.11309679794910786,0.014194280507823726,0.002532822247831752,0.0008519507960009429,0.5128704456667107,0.42939834670415356,0.05171926362676259,0.004447760783583485,0.0005746836840811356,0.000989499534708697,0.30694998437708054,0.27062323041528236,0.03632675396179815,0.246546452831013,0.0,0.05552972283196751,0.17637155731855625,0.010425592867814353,0.4037584009047798,0.3957841587707315,0.00311175662503743,0.11456356794184533,0.00018599755924499745,0.01796131271568128,0.06463480548267962,0.040058848761515546,0.0329594656146449,0.04178610127476585,0.053917619112451215,0.13209478858932955,0.12494051123769163,0.08304639665139192,0.06959580561565076,0.04404370981607642,0.06146589533034114,0.0536464775121475,0.06018834067591907,0.041119218077770935,0.024859607345361297,0.01740694862872967,0.018750375933885975,0.03834199746216831,0.9616580025378317,0.8816418044645216,0.7261314613266726,0.47459939049846633,0.2088636902813183,0.13874485814249043,5.729478592980883
