,Branch,Average Walking Time (Minutes)
0,Albany Park,12.330002131708445
1,Altgeld,18.642700693188655
2,Archer Heights,20.25384328763596
3,Austin,13.965169452343481
4,Austin-Irving,13.565468908071512
5,Avalon,16.116427875833477
6,Back of the Yards,14.393448961125538
7,Beverly,14.22642956961995
8,Bezazian,10.203379468608576
9,Blackstone,15.340534066071855
10,Brainerd,14.772917063290143
11,Brighton Park,16.504077161728848
12,Bucktown-Wicker Park,12.225463051020531
13,Budlong Woods,11.82814926656975
14,Canaryville,14.0989499309183
15,Chicago Bee,10.577300191520848
16,Chicago Lawn,17.019421574151508
17,Chinatown,13.786386143739572
18,Clearing,20.863725738135514
19,Coleman,13.389380125782507
20,"Daley, Richard J. - Bridgeport",11.89593917895729
21,"Daley, Richard M. - W. Humboldt",14.414288351275514
22,Douglass,13.811098462035329
23,Dunning,11.27070258518484
24,Edgebrook,14.895220159165705
25,Edgewater,10.299981685456803
26,Gage Park,14.895083189449021
27,Galewood-Mont Clare,15.020317224950258
28,Garfield Ridge,20.432304499194146
29,Greater Grand Crossing,15.138770320536677
30,Hall,14.318051940140872
31,Harold Washington Library Center,13.13924820502667
32,Hegewisch,18.922579712481735
33,Humboldt Park,11.66002283038069
34,Independence,15.25652824279163
35,Jefferson Park,15.152202727784807
36,Jeffery Manor,15.56646846804505
37,Kelly,16.753258208048347
38,King,14.319325198812148
39,Legler Regional,14.869984907037306
40,Lincoln Belmont,13.25538160877498
41,Lincoln Park,12.798771769522414
42,Little Italy,9.434712307392417
43,Little Village,16.999222738631378
44,Logan Square,14.430654782273166
45,Lozano,12.746931368762175
46,Manning,14.042373074439906
47,Mayfair,12.83819661793039
48,McKinley Park,22.04633177082153
49,Merlo,11.457203999416008
50,Mount Greenwood,16.63264216760603
51,Near North,10.18382557869748
52,North Austin,12.092824500065497
53,North Pulaski,14.501835630309937
54,Northtown,15.500754832977144
55,Oriole Park,21.465181525973033
56,Portage-Cragin,17.066775940709835
57,Pullman,14.808629223946328
58,Roden,16.23116365388702
59,Rogers Park,14.519135644577647
60,Scottsdale,15.661434971217881
61,Sherman Park,12.176062731974962
62,South Chicago,16.373862288307283
63,South Shore,14.599272866083476
64,Sulzer Regional,13.150474928869778
65,Thurgood Marshall,16.225770593394845
66,Toman,19.512328006578993
67,Uptown,10.613102758526315
68,Vodak-East Side,15.5025473617555
69,Walker,17.63585532923535
70,Water Works,10.908960044631868
71,West Belmont,13.311532744396954
72,West Chicago Avenue,12.900476331885605
73,West Englewood,15.236275265569008
74,West Lawn,17.503036672292275
75,West Loop,12.018325968518804
76,West Pullman,19.050419681200527
77,West Town,11.801216009970783
78,"Whitney M. Young, Jr.",15.067851561970501
79,Woodson Regional Library,16.748016878047956
80,Wrightwood-Ashburn,15.561711636874215
