,Branch,Average Walking Time (Minutes)
0,Albany Park,13.51214830091871
1,Altgeld,21.03991826026446
2,Archer Heights,15.113948405810879
3,Austin,17.02794938551029
4,Austin-Irving,13.616476286831453
5,Avalon,17.002925385400687
6,Back of the Yards,12.537095094959412
7,Beverly,15.581006331108238
8,Bezazian,12.042381950536857
9,Blackstone,15.274082596077298
10,Brainerd,14.811109136570487
11,Brighton Park,13.022217207071288
12,Bucktown-Wicker Park,11.235226144996753
13,Budlong Woods,13.60895715127789
14,Canaryville,12.305898001236102
15,Chicago Bee,10.526788992125683
16,Chicago Lawn,12.232683926645317
17,Chinatown,14.016433175788697
18,Clearing,16.530807284160353
19,Coleman,16.438994802453525
20,"Daley, Richard J. - Bridgeport",11.538039850694027
21,"Daley, Richard M. - W. Humboldt",14.413497859525892
22,Douglass,15.604792041065654
23,Dunning,15.399770353664739
24,Edgebrook,16.972138437680275
25,Edgewater,11.22431518547857
26,Gage Park,11.66858821243188
27,Galewood-Mont Clare,16.446145354839953
28,Garfield Ridge,16.686563048363695
29,Greater Grand Crossing,16.320819853110102
30,Hall,16.057862249636308
31,Harold Washington Library Center,13.020972896205627
32,Hegewisch,18.3104246102935
33,Humboldt Park,11.568560160940041
34,Independence,15.230003196930097
35,Jefferson Park,15.046655544676401
36,Jeffery Manor,17.626398873676905
37,Kelly,14.623403468549183
38,King,13.913745436058784
39,Legler Regional,14.89210414349052
40,Lincoln Belmont,12.308953411597983
41,Lincoln Park,12.930022454330883
42,Little Italy,10.656104783638105
43,Little Village,12.832060898636337
44,Logan Square,15.439692845974175
45,Lozano,12.866238089127814
46,Manning,14.648656357297279
47,Mayfair,13.5110851221392
48,McKinley Park,14.20313001834686
49,Merlo,11.867496019574405
50,Mount Greenwood,17.13447331551583
51,Near North,13.2114846824421
52,North Austin,16.892430368779884
53,North Pulaski,15.901066806274969
54,Northtown,15.8915579686354
55,Oriole Park,17.137487699529768
56,Portage-Cragin,16.735668043034263
57,Pullman,18.25405159170392
58,Roden,18.89323700070244
59,Rogers Park,14.9984246021483
60,Scottsdale,19.390035823787862
61,Sherman Park,14.69176759486687
62,South Chicago,16.046015665079544
63,South Shore,15.812543748005583
64,Sulzer Regional,13.694648450790787
65,Thurgood Marshall,13.831980797521902
66,Toman,12.747587181041654
67,Uptown,12.843805912317327
68,Vodak-East Side,20.280725797064285
69,Walker,19.34955492861317
70,Water Works,11.252002070939596
71,West Belmont,13.839818500879987
72,West Chicago Avenue,12.71935483635595
73,West Englewood,16.85303070694512
74,West Lawn,14.453123477920274
75,West Loop,11.792139421427676
76,West Pullman,22.72779373734481
77,West Town,11.753601460826346
78,"Whitney M. Young, Jr.",16.861131099036896
79,Woodson Regional Library,17.083157165728014
80,Wrightwood-Ashburn,13.851106333260944
