,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.450554625245053
1,Altgeld,14.529185566083722
2,Archer Heights,5.679142135664722
3,Austin,7.847468129499763
4,Austin-Irving,4.205329672356525
5,Avalon,5.602520027955614
6,Back of the Yards,3.7358847905987114
7,Beverly,4.729960346010715
8,Bezazian,3.868754280965091
9,Blackstone,5.740358955410971
10,Brainerd,4.572938288340642
11,Brighton Park,4.378625610163683
12,Bucktown-Wicker Park,3.7277577329128775
13,Budlong Woods,4.0352629377088824
14,Canaryville,4.113638022132349
15,Chicago Bee,3.7338309913878995
16,Chicago Lawn,4.74666388288909
17,Chinatown,4.495793829528866
18,Clearing,5.486799370527588
19,Coleman,4.8666857108518755
20,"Daley, Richard J. - Bridgeport",4.235349249820943
21,"Daley, Richard M. - W. Humboldt",4.406663879930012
22,Douglass,4.560266435052169
23,Dunning,9.281660149334384
24,Edgebrook,6.648192441341037
25,Edgewater,3.848891390007852
26,Gage Park,3.9255620889174447
27,Galewood-Mont Clare,5.534793468951424
28,Garfield Ridge,5.810381537948372
29,Greater Grand Crossing,5.073187628087678
30,Hall,5.338655983091052
31,Harold Washington Library Center,5.8052041148074665
32,Hegewisch,14.203312446043771
33,Humboldt Park,3.939926862450199
34,Independence,4.840523494412065
35,Jefferson Park,4.7804833857322615
36,Jeffery Manor,11.381628718679641
37,Kelly,5.529006675920987
38,King,5.985394659095841
39,Legler Regional,5.999149088779982
40,Lincoln Belmont,4.104529392041467
41,Lincoln Park,4.130911556168885
42,Little Italy,3.2954119351877793
43,Little Village,4.794229225823343
44,Logan Square,5.363648065062363
45,Lozano,4.528404924227957
46,Manning,5.219554332648026
47,Mayfair,4.6884738358741105
48,McKinley Park,5.441522767660661
49,Merlo,4.089898104257231
50,Mount Greenwood,8.175837127247942
51,Near North,4.246458039244509
52,North Austin,4.671687472931369
53,North Pulaski,5.223672365589292
54,Northtown,5.860095352998021
55,Oriole Park,9.720319665485777
56,Portage-Cragin,5.567003714069501
57,Pullman,5.145509344845732
58,Roden,7.5376707094296025
59,Rogers Park,4.8112578666651125
60,Scottsdale,6.54334630258615
61,Sherman Park,4.495547300597851
62,South Chicago,6.931252813671178
63,South Shore,5.980901295559428
64,Sulzer Regional,4.818255708127531
65,Thurgood Marshall,5.463416991465268
66,Toman,6.556435512713983
67,Uptown,4.695268511467751
68,Vodak-East Side,6.160645186111858
69,Walker,5.807556783472008
70,Water Works,4.9638863129503425
71,West Belmont,4.65991820726851
72,West Chicago Avenue,4.867255965465172
73,West Englewood,5.929929914926092
74,West Lawn,5.700428579362705
75,West Loop,4.755542638926796
76,West Pullman,6.604100978892169
77,West Town,4.207674379873927
78,"Whitney M. Young, Jr.",5.3849996105340505
79,Woodson Regional Library,6.364851178184518
80,Wrightwood-Ashburn,6.847170986427756
