,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.494347520858359
1,Altgeld,14.220209307935178
2,Archer Heights,5.86572379237207
3,Austin,7.299369541615087
4,Austin-Irving,4.211601948242319
5,Avalon,5.591320223761432
6,Back of the Yards,3.8896556396653046
7,Beverly,4.696531514653257
8,Bezazian,3.8291302251693575
9,Blackstone,5.729627114988644
10,Brainerd,4.521943031108838
11,Brighton Park,4.327614190153859
12,Bucktown-Wicker Park,3.7316234125383865
13,Budlong Woods,3.998351278826089
14,Canaryville,4.106226707628673
15,Chicago Bee,3.618729692763355
16,Chicago Lawn,4.915645411759706
17,Chinatown,4.6161248794088765
18,Clearing,5.377100084187742
19,Coleman,4.8800003708579185
20,"Daley, Richard J. - Bridgeport",4.212469140455426
21,"Daley, Richard M. - W. Humboldt",4.420263281226424
22,Douglass,4.560347264949246
23,Dunning,9.079476875576963
24,Edgebrook,6.699686916699026
25,Edgewater,3.8531864651849634
26,Gage Park,3.9637263038133996
27,Galewood-Mont Clare,5.652985963020464
28,Garfield Ridge,5.746847089410569
29,Greater Grand Crossing,5.060387045324985
30,Hall,5.445784267029181
31,Harold Washington Library Center,5.764827224178305
32,Hegewisch,14.174861501461708
33,Humboldt Park,3.966196569349159
34,Independence,4.821049129654294
35,Jefferson Park,4.772930567221019
36,Jeffery Manor,10.998742521402145
37,Kelly,5.536530312849916
38,King,5.889667479089258
39,Legler Regional,5.8436114020985555
40,Lincoln Belmont,4.067934899211679
41,Lincoln Park,4.148093772566008
42,Little Italy,3.229556728960203
43,Little Village,4.794951331994894
44,Logan Square,5.292004700339289
45,Lozano,4.512080483793956
46,Manning,5.223559301947888
47,Mayfair,4.709497612672061
48,McKinley Park,5.467228930731172
49,Merlo,4.091432392118734
50,Mount Greenwood,8.164649675771637
51,Near North,4.226584047966879
52,North Austin,4.49336994174047
53,North Pulaski,5.19540066365891
54,Northtown,5.830898863530312
55,Oriole Park,9.745826392414589
56,Portage-Cragin,5.556318769011912
57,Pullman,5.134391150224857
58,Roden,7.506734554736399
59,Rogers Park,4.837944533544579
60,Scottsdale,6.575424812796295
61,Sherman Park,4.434161346988643
62,South Chicago,6.732306790569418
63,South Shore,5.850465138750398
64,Sulzer Regional,4.79397277441769
65,Thurgood Marshall,5.546490390470044
66,Toman,6.729921140530504
67,Uptown,4.652126110229773
68,Vodak-East Side,6.188369481384094
69,Walker,5.746366042325528
70,Water Works,4.930875117542024
71,West Belmont,4.587106237546858
72,West Chicago Avenue,4.902158212149908
73,West Englewood,5.809125311657155
74,West Lawn,5.683003261143569
75,West Loop,4.751855660593509
76,West Pullman,6.567557873577722
77,West Town,4.2213597957313045
78,"Whitney M. Young, Jr.",5.389968428040579
79,Woodson Regional Library,6.37118039071401
80,Wrightwood-Ashburn,6.780905445197746
