,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.564481636206083
1,Altgeld,14.674222109985529
2,Archer Heights,6.175375802828737
3,Austin,7.834246378713798
4,Austin-Irving,4.253714930497914
5,Avalon,5.446223141553968
6,Back of the Yards,3.9634188468706175
7,Beverly,4.6094270140582685
8,Bezazian,3.8657440738317397
9,Blackstone,5.591281178944065
10,Brainerd,4.7461982064535135
11,Brighton Park,4.1847022097608555
12,Bucktown-Wicker Park,3.6864873973457892
13,Budlong Woods,4.087573863104239
14,Canaryville,4.159787148016524
15,Chicago Bee,3.7239236688683595
16,Chicago Lawn,4.816379573982362
17,Chinatown,4.631810602872025
18,Clearing,5.162998488166068
19,Coleman,5.478439408136663
20,"Daley, Richard J. - Bridgeport",4.0381074058095265
21,"Daley, Richard M. - W. Humboldt",4.506290474677968
22,Douglass,4.744369034228407
23,Dunning,9.102494901644754
24,Edgebrook,6.565085417819564
25,Edgewater,3.954748895702669
26,Gage Park,3.857852907269701
27,Galewood-Mont Clare,6.391144121548736
28,Garfield Ridge,5.545316447395532
29,Greater Grand Crossing,5.386362539955138
30,Hall,5.68522084863609
31,Harold Washington Library Center,5.838535933238336
32,Hegewisch,14.322408107638672
33,Humboldt Park,4.022974979214212
34,Independence,4.829822712277851
35,Jefferson Park,4.702753358285853
36,Jeffery Manor,9.920998057290618
37,Kelly,5.876981027341047
38,King,6.445708032954836
39,Legler Regional,6.16107455932258
40,Lincoln Belmont,3.998657172847411
41,Lincoln Park,4.136933967512756
42,Little Italy,3.243287801967721
43,Little Village,4.952438119006248
44,Logan Square,5.077360591759963
45,Lozano,4.389039063896385
46,Manning,5.281933885438973
47,Mayfair,4.81037707232147
48,McKinley Park,5.1181863701170665
49,Merlo,4.0891325811022865
50,Mount Greenwood,8.211810973221588
51,Near North,4.301331019488641
52,North Austin,4.281376419953155
53,North Pulaski,5.280521905483022
54,Northtown,5.703295164620401
55,Oriole Park,9.691191081119113
56,Portage-Cragin,5.59690526259923
57,Pullman,5.09310304524677
58,Roden,7.582977399739161
59,Rogers Park,4.849958163541576
60,Scottsdale,6.846789614020251
61,Sherman Park,4.119901499123955
62,South Chicago,6.8737112120346415
63,South Shore,5.861696039952972
64,Sulzer Regional,4.721023983212991
65,Thurgood Marshall,5.899567224382603
66,Toman,6.7142518242316465
67,Uptown,4.8235418917329955
68,Vodak-East Side,6.361255626187605
69,Walker,5.5611926583277675
70,Water Works,4.973120616365094
71,West Belmont,4.497218213365202
72,West Chicago Avenue,4.986700091572566
73,West Englewood,6.017814868010219
74,West Lawn,5.554180621913039
75,West Loop,4.762855012351264
76,West Pullman,6.794794788864912
77,West Town,4.177898404392967
78,"Whitney M. Young, Jr.",5.546729089425962
79,Woodson Regional Library,6.355325464551379
80,Wrightwood-Ashburn,6.157236905953042
