,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.209626930157746
1,Altgeld,12.731607185566894
2,Archer Heights,5.537287135317827
3,Austin,8.75617142090345
4,Austin-Irving,4.277797678996692
5,Avalon,5.733749824364849
6,Back of the Yards,3.6646439747246013
7,Beverly,4.69318818066454
8,Bezazian,3.3866081542725324
9,Blackstone,5.725855772349114
10,Brainerd,4.649735730569785
11,Brighton Park,4.353269230536493
12,Bucktown-Wicker Park,3.8639276030303034
13,Budlong Woods,4.09153595133391
14,Canaryville,4.267052008277286
15,Chicago Bee,4.0152843116835495
16,Chicago Lawn,4.218917686299978
17,Chinatown,3.9288622176501664
18,Clearing,6.167274683183104
19,Coleman,4.309071902463551
20,"Daley, Richard J. - Bridgeport",4.529226194927034
21,"Daley, Richard M. - W. Humboldt",4.511097401361057
22,Douglass,4.505806407754504
23,Dunning,10.711156674654903
24,Edgebrook,6.329213514603733
25,Edgewater,3.4260240475263077
26,Gage Park,3.882863172143378
27,Galewood-Mont Clare,4.453342127117382
28,Garfield Ridge,6.410873823420886
29,Greater Grand Crossing,5.11471193774975
30,Hall,5.256037556986274
31,Harold Washington Library Center,5.2775934782786
32,Hegewisch,14.577077545748628
33,Humboldt Park,3.61377460172037
34,Independence,4.875764938476904
35,Jefferson Park,4.816084547688108
36,Jeffery Manor,11.68075217774713
37,Kelly,5.101363630486218
38,King,5.133004003328714
39,Legler Regional,5.944824397473609
40,Lincoln Belmont,4.838169870397169
41,Lincoln Park,4.22597678020144
42,Little Italy,2.963193255195559
43,Little Village,4.576099505315015
44,Logan Square,5.911429557619751
45,Lozano,4.508599632103553
46,Manning,5.228087880981105
47,Mayfair,4.507128981009136
48,McKinley Park,5.9615038203135695
49,Merlo,4.2316295422187284
50,Mount Greenwood,8.253058648675362
51,Near North,3.7906014794217584
52,North Austin,5.202784277970954
53,North Pulaski,4.97322650720037
54,Northtown,5.540818345600843
55,Oriole Park,10.085348571362674
56,Portage-Cragin,5.713167465142776
57,Pullman,4.9986170426217535
58,Roden,7.5237388454765535
59,Rogers Park,4.623934251471034
60,Scottsdale,6.314027949340353
61,Sherman Park,4.570294435360026
62,South Chicago,6.480485774685468
63,South Shore,6.3025193360908345
64,Sulzer Regional,5.339649975547965
65,Thurgood Marshall,5.374152498144059
66,Toman,5.817345777549376
67,Uptown,3.6614092854261733
68,Vodak-East Side,5.658269326174842
69,Walker,6.529804994859131
70,Water Works,5.731976964317386
71,West Belmont,4.963690105251249
72,West Chicago Avenue,4.754400348581194
73,West Englewood,5.734793122524252
74,West Lawn,5.62203377709362
75,West Loop,4.6872669640623235
76,West Pullman,6.584577479226286
77,West Town,4.151200124113306
78,"Whitney M. Young, Jr.",5.424179126866327
79,Woodson Regional Library,6.247324146435925
80,Wrightwood-Ashburn,7.703791396386201
