,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.060460514538342
1,Altgeld,13.851118518452006
2,Archer Heights,9.448146462372074
3,Austin,5.53466446476332
4,Austin-Irving,4.283738028057629
5,Avalon,5.594209916114309
6,Back of the Yards,4.503859806332514
7,Beverly,4.346933146735026
8,Bezazian,3.321703240953155
9,Blackstone,5.958959025076836
10,Brainerd,4.4557531957127585
11,Brighton Park,5.269312747366456
12,Bucktown-Wicker Park,3.791775753133853
13,Budlong Woods,3.501399329834555
14,Canaryville,4.3950651397781035
15,Chicago Bee,3.5702426157051
16,Chicago Lawn,6.17400831072558
17,Chinatown,4.632207451989593
18,Clearing,6.539009744812637
19,Coleman,4.482075703346553
20,"Daley, Richard J. - Bridgeport",4.438771386912527
21,"Daley, Richard M. - W. Humboldt",4.512365896758272
22,Douglass,4.45160294584411
23,Dunning,6.474823065223096
24,Edgebrook,6.457066079350357
25,Edgewater,3.4007427027241266
26,Gage Park,4.714727686022525
27,Galewood-Mont Clare,5.257772252760112
28,Garfield Ridge,7.458987985183754
29,Greater Grand Crossing,5.049310327455755
30,Hall,5.367190702742751
31,Harold Washington Library Center,5.322632856098188
32,Hegewisch,14.481334244494143
33,Humboldt Park,3.986126140968267
34,Independence,4.928959208326071
35,Jefferson Park,4.7598261616272275
36,Jeffery Manor,7.396913800028891
37,Kelly,5.510616873000616
38,King,5.56133253871553
39,Legler Regional,5.265112090313511
40,Lincoln Belmont,4.310783476206416
41,Lincoln Park,4.248332875673789
42,Little Italy,2.8914000336296497
43,Little Village,5.863681829556653
44,Logan Square,4.923398054691479
45,Lozano,4.672761518150929
46,Manning,5.075358851105933
47,Mayfair,4.48767936681063
48,McKinley Park,8.534931958566277
49,Merlo,3.974175034687843
50,Mount Greenwood,7.978448415957903
51,Near North,3.371470950635889
52,North Austin,3.949831200291483
53,North Pulaski,4.8983334988056395
54,Northtown,5.502201563136937
55,Oriole Park,11.291145923251511
56,Portage-Cragin,5.800426880951166
57,Pullman,4.921426774639542
58,Roden,6.785802098035741
59,Rogers Park,4.789554062188514
60,Scottsdale,5.296266665925685
61,Sherman Park,4.07856791465303
62,South Chicago,6.149935893576351
63,South Shore,5.834404225956453
64,Sulzer Regional,4.655899521167642
65,Thurgood Marshall,5.50116031246849
66,Toman,7.311639017217395
67,Uptown,3.7845614036228845
68,Vodak-East Side,6.0578080432168
69,Walker,5.427837734928055
70,Water Works,4.902895983038027
71,West Belmont,4.5793591973612555
72,West Chicago Avenue,4.9866771749223835
73,West Englewood,5.616105466535889
74,West Lawn,7.165462036648554
75,West Loop,4.536232880736377
76,West Pullman,6.482035668218494
77,West Town,4.302775801594983
78,"Whitney M. Young, Jr.",5.416990696207309
79,Woodson Regional Library,6.357056545113984
80,Wrightwood-Ashburn,6.916221694086318
