,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.448001891839781
1,Altgeld,14.144523461821008
2,Archer Heights,5.790324592675609
3,Austin,7.766216503343204
4,Austin-Irving,4.210153792140473
5,Avalon,5.581784785305427
6,Back of the Yards,3.7694893092164152
7,Beverly,4.744116959310266
8,Bezazian,3.7833027817636444
9,Blackstone,5.655968916095849
10,Brainerd,4.564181054188711
11,Brighton Park,4.319838365384001
12,Bucktown-Wicker Park,3.7346933686713726
13,Budlong Woods,4.027537780498428
14,Canaryville,4.140450854550257
15,Chicago Bee,3.685847597439068
16,Chicago Lawn,4.804602094285409
17,Chinatown,4.487893159666632
18,Clearing,5.496282463018257
19,Coleman,4.953780539840116
20,"Daley, Richard J. - Bridgeport",4.263048203862943
21,"Daley, Richard M. - W. Humboldt",4.423306018131728
22,Douglass,4.560774234495501
23,Dunning,9.332409736389511
24,Edgebrook,6.670235279718951
25,Edgewater,3.8357867844663067
26,Gage Park,3.9749581495156785
27,Galewood-Mont Clare,5.504057137340093
28,Garfield Ridge,5.862380662601407
29,Greater Grand Crossing,5.127389829437455
30,Hall,5.470358109683411
31,Harold Washington Library Center,5.796854240893336
32,Hegewisch,14.217529963387937
33,Humboldt Park,3.9160176122767534
34,Independence,4.852427109460082
35,Jefferson Park,4.765666214959118
36,Jeffery Manor,11.258474252848472
37,Kelly,5.623386056078785
38,King,5.849497416328352
39,Legler Regional,6.033615255045989
40,Lincoln Belmont,4.091778950962754
41,Lincoln Park,4.15492879686132
42,Little Italy,3.1844315819716336
43,Little Village,4.668536746680466
44,Logan Square,5.348164161578383
45,Lozano,4.5302999866822695
46,Manning,5.222344676421327
47,Mayfair,4.68075967566603
48,McKinley Park,5.5597100943987385
49,Merlo,4.096661267256715
50,Mount Greenwood,8.189431750139061
51,Near North,4.207299542570021
52,North Austin,4.662784410119626
53,North Pulaski,5.185695029654197
54,Northtown,5.770084014256146
55,Oriole Park,9.772814916294116
56,Portage-Cragin,5.600186942475086
57,Pullman,5.2206612832049295
58,Roden,7.517881658391321
59,Rogers Park,4.820842656615913
60,Scottsdale,6.573310298050533
61,Sherman Park,4.486371672001708
62,South Chicago,6.787865331495078
63,South Shore,5.966482014852805
64,Sulzer Regional,4.817263023429851
65,Thurgood Marshall,5.481558515630423
66,Toman,6.521401888997307
67,Uptown,4.605356901747409
68,Vodak-East Side,6.081594642957208
69,Walker,5.8228477641478795
70,Water Works,4.921310650167135
71,West Belmont,4.657083752555502
72,West Chicago Avenue,4.792641488706825
73,West Englewood,5.86141155469271
74,West Lawn,5.70282347383756
75,West Loop,4.762495418635947
76,West Pullman,6.6187627331824075
77,West Town,4.216626979173987
78,"Whitney M. Young, Jr.",5.384008516015856
79,Woodson Regional Library,6.334134946098543
80,Wrightwood-Ashburn,6.8623602847011975
