,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.347336933477843
1,Altgeld,12.944194939294789
2,Archer Heights,6.818695259661786
3,Austin,6.309505344080915
4,Austin-Irving,4.41763124276892
5,Avalon,5.612334607946517
6,Back of the Yards,3.9861242359870994
7,Beverly,4.39058152286324
8,Bezazian,3.3768348299237267
9,Blackstone,5.697501381362175
10,Brainerd,4.358779278728124
11,Brighton Park,4.144821445357216
12,Bucktown-Wicker Park,3.8632089621750403
13,Budlong Woods,3.8647335560635683
14,Canaryville,4.2344475006427835
15,Chicago Bee,3.60393612653477
16,Chicago Lawn,4.755989921463161
17,Chinatown,4.555537189043907
18,Clearing,5.807990835618919
19,Coleman,4.664842738689566
20,"Daley, Richard J. - Bridgeport",4.4852855296808425
21,"Daley, Richard M. - W. Humboldt",4.5448894676453
22,Douglass,4.534730049185484
23,Dunning,9.189747459322835
24,Edgebrook,7.3540521594331665
25,Edgewater,3.6481477045833484
26,Gage Park,4.004697446894459
27,Galewood-Mont Clare,4.856261492208932
28,Garfield Ridge,6.638571743480471
29,Greater Grand Crossing,5.049997024375896
30,Hall,5.671633435171327
31,Harold Washington Library Center,5.253479937458882
32,Hegewisch,14.477252335089426
33,Humboldt Park,3.7878152160169503
34,Independence,4.7130664304303735
35,Jefferson Park,4.736377082854248
36,Jeffery Manor,10.054158699805132
37,Kelly,5.357195320116846
38,King,5.354818913709867
39,Legler Regional,5.572418811355083
40,Lincoln Belmont,3.8052216505259397
41,Lincoln Park,4.339212765128938
42,Little Italy,3.0114978898495774
43,Little Village,4.461535088001667
44,Logan Square,5.289893579434159
45,Lozano,4.404412977328722
46,Manning,5.2372330614325815
47,Mayfair,4.589878232590833
48,McKinley Park,6.461142602392137
49,Merlo,4.133212509062574
50,Mount Greenwood,8.106470275422012
51,Near North,3.8942812587027196
52,North Austin,4.461444859928795
53,North Pulaski,4.693471987791249
54,Northtown,5.316115284201864
55,Oriole Park,10.695752972028087
56,Portage-Cragin,5.803254542349417
57,Pullman,5.011179269037264
58,Roden,6.921519651099935
59,Rogers Park,4.825805114566459
60,Scottsdale,6.287838075296968
61,Sherman Park,4.410889729391048
62,South Chicago,5.879800808954033
63,South Shore,5.696295129315987
64,Sulzer Regional,4.8896704732302
65,Thurgood Marshall,5.652524300677892
66,Toman,5.942898701462852
67,Uptown,3.932642060285515
68,Vodak-East Side,5.942240010315282
69,Walker,5.902835116171519
70,Water Works,4.722598075039907
71,West Belmont,4.682272918828722
72,West Chicago Avenue,4.886991117341986
73,West Englewood,5.450631771113913
74,West Lawn,5.4204733759852495
75,West Loop,4.6951147773960225
76,West Pullman,6.415424901117475
77,West Town,4.350515734354303
78,"Whitney M. Young, Jr.",5.421595091884571
79,Woodson Regional Library,6.321102717431602
80,Wrightwood-Ashburn,7.4283385571694796
