,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.4031480699961785
1,Altgeld,5.726128223474443
2,Archer Heights,5.05362781117432
3,Austin,6.817752821343459
4,Austin-Irving,4.075569081576287
5,Avalon,2.6192805831860033
6,Back of the Yards,4.1462012807625825
7,Beverly,4.591251388356248
8,Bezazian,3.903509768183937
9,Blackstone,5.081014762581235
10,Brainerd,2.4630138676838724
11,Brighton Park,4.631970305728579
12,Bucktown-Wicker Park,3.570365352753727
13,Budlong Woods,4.3471122786154455
14,Canaryville,4.152185081831206
15,Chicago Bee,3.4226046003752133
16,Chicago Lawn,2.4370099686733933
17,Chinatown,4.500920792315393
18,Clearing,3.9366007473813855
19,Coleman,5.061829118378139
20,"Daley, Richard J. - Bridgeport",4.000039475324825
21,"Daley, Richard M. - W. Humboldt",3.831550933419406
22,Douglass,2.600290078773089
23,Dunning,7.093669802017413
24,Edgebrook,6.1699493058164006
25,Edgewater,4.1119119576440815
26,Gage Park,4.06409526628827
27,Galewood-Mont Clare,5.528731887456365
28,Garfield Ridge,5.234646666088013
29,Greater Grand Crossing,2.9204622897349553
30,Hall,5.569619509672575
31,Harold Washington Library Center,5.879745976794518
32,Hegewisch,10.603729495582284
33,Humboldt Park,4.0633880136169696
34,Independence,5.018173158237171
35,Jefferson Park,4.9056951014955015
36,Jeffery Manor,6.56302052368961
37,Kelly,0.4023933018221186
38,King,6.487387297899744
39,Legler Regional,2.945323814714466
40,Lincoln Belmont,4.158392702458226
41,Lincoln Park,4.099290602476864
42,Little Italy,3.3002188307929243
43,Little Village,3.949708525498516
44,Logan Square,5.335951480806068
45,Lozano,4.336350036530947
46,Manning,5.459187588380111
47,Mayfair,4.864040451608343
48,McKinley Park,3.689904887811985
49,Merlo,4.084921067618139
50,Mount Greenwood,7.622853471264107
51,Near North,4.3368993922810795
52,North Austin,4.7634355126537296
53,North Pulaski,5.702693050197391
54,Northtown,6.16263064244227
55,Oriole Park,8.353183273559832
56,Portage-Cragin,5.485338738967765
57,Pullman,2.811976326624991
58,Roden,7.233183797041763
59,Rogers Park,5.024436621612658
60,Scottsdale,6.437760921089396
61,Sherman Park,4.824895952315031
62,South Chicago,5.396871273932742
63,South Shore,3.037425183248838
64,Sulzer Regional,4.8774245288986595
65,Thurgood Marshall,2.9722242372170706
66,Toman,5.1321368685624025
67,Uptown,4.633419841798526
68,Vodak-East Side,2.1737546099851706
69,Walker,4.8759867743523575
70,Water Works,4.893954820628512
71,West Belmont,4.531291442164871
72,West Chicago Avenue,4.672757451572499
73,West Englewood,2.5974017648516776
74,West Lawn,5.1892652802315
75,West Loop,4.602780195052606
76,West Pullman,3.5853648795287127
77,West Town,4.172871721291011
78,"Whitney M. Young, Jr.",2.1869845772874594
79,Woodson Regional Library,3.0399551462833663
80,Wrightwood-Ashburn,4.799551978129088
