,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.417020688972478
1,Altgeld,14.455859315276722
2,Archer Heights,5.275270088637358
3,Austin,8.55328048319348
4,Austin-Irving,4.076546957311508
5,Avalon,4.870745638883007
6,Back of the Yards,4.160704678877538
7,Beverly,4.697071706710494
8,Bezazian,3.905022019217273
9,Blackstone,5.58872397386403
10,Brainerd,5.482569795672466
11,Brighton Park,4.7119967787173
12,Bucktown-Wicker Park,3.570365352753727
13,Budlong Woods,4.3596380038114475
14,Canaryville,4.191838240857192
15,Chicago Bee,3.568128005590452
16,Chicago Lawn,5.068654191998596
17,Chinatown,4.534790050565145
18,Clearing,4.547205970829685
19,Coleman,5.644708312068149
20,"Daley, Richard J. - Bridgeport",4.002445074193381
21,"Daley, Richard M. - W. Humboldt",3.9407369499252907
22,Douglass,5.310334964036246
23,Dunning,7.133834938089497
24,Edgebrook,6.1810475347823814
25,Edgewater,4.116927231543311
26,Gage Park,4.064535406197855
27,Galewood-Mont Clare,5.528731887456365
28,Garfield Ridge,5.256439737655268
29,Greater Grand Crossing,4.9303562564988574
30,Hall,5.615245282782563
31,Harold Washington Library Center,5.891785551600403
32,Hegewisch,13.90318796649435
33,Humboldt Park,4.0633880136169696
34,Independence,5.0315482296983856
35,Jefferson Park,4.908448343578499
36,Jeffery Manor,10.346069327043027
37,Kelly,6.797889943542722
38,King,6.980660906507311
39,Legler Regional,5.921317542924069
40,Lincoln Belmont,4.163043295806609
41,Lincoln Park,4.114063317551079
42,Little Italy,3.3037015272840673
43,Little Village,4.905008242383598
44,Logan Square,5.397544118983457
45,Lozano,4.426150684261864
46,Manning,5.786092393726036
47,Mayfair,4.869163816572896
48,McKinley Park,4.391907086068763
49,Merlo,4.1039071912255185
50,Mount Greenwood,7.717164835415226
51,Near North,4.349066482139328
52,North Austin,4.764174483808833
53,North Pulaski,5.7601539555097885
54,Northtown,6.445655818127127
55,Oriole Park,8.656875709953637
56,Portage-Cragin,5.57469482934491
57,Pullman,4.65413059152873
58,Roden,7.409619190219761
59,Rogers Park,5.025521085623634
60,Scottsdale,6.675234949901463
61,Sherman Park,5.7201459000442965
62,South Chicago,7.072941236980533
63,South Shore,4.506868249333394
64,Sulzer Regional,4.881526324003247
65,Thurgood Marshall,5.676788480483662
66,Toman,6.078949426636169
67,Uptown,4.638016277127612
68,Vodak-East Side,5.5768530802507685
69,Walker,5.674159515396209
70,Water Works,4.9060266744920655
71,West Belmont,4.553589540934339
72,West Chicago Avenue,4.97227756131892
73,West Englewood,5.326971031522776
74,West Lawn,5.290474215486112
75,West Loop,4.609066561223281
76,West Pullman,6.981666890618976
77,West Town,4.175141626679185
78,"Whitney M. Young, Jr.",5.425807473605697
79,Woodson Regional Library,5.499173575813721
80,Wrightwood-Ashburn,6.926016906256596
