,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.613487675484587
1,Altgeld,13.851244515457466
2,Archer Heights,6.513980330437268
3,Austin,7.478808309597372
4,Austin-Irving,4.321359426119071
5,Avalon,5.379630062457673
6,Back of the Yards,4.120001584140306
7,Beverly,4.6019382434993545
8,Bezazian,3.886235053865095
9,Blackstone,5.632649251183365
10,Brainerd,4.895107731131307
11,Brighton Park,4.023145186574051
12,Bucktown-Wicker Park,3.7071187528039156
13,Budlong Woods,4.174620376939636
14,Canaryville,4.253075946948837
15,Chicago Bee,3.8658489140167935
16,Chicago Lawn,5.511874682332443
17,Chinatown,4.809329255042394
18,Clearing,4.930443752806324
19,Coleman,5.950895303645468
20,"Daley, Richard J. - Bridgeport",3.9646579179495083
21,"Daley, Richard M. - W. Humboldt",4.2688993427392905
22,Douglass,4.962332304748411
23,Dunning,7.569481968746237
24,Edgebrook,6.496250719717502
25,Edgewater,4.0975937350731
26,Gage Park,3.937981336094446
27,Galewood-Mont Clare,6.607473886732608
28,Garfield Ridge,5.315278411909925
29,Greater Grand Crossing,5.608391075429623
30,Hall,5.971120525753881
31,Harold Washington Library Center,6.116456309645293
32,Hegewisch,14.285948412137099
33,Humboldt Park,4.011227397974231
34,Independence,4.756029729338222
35,Jefferson Park,4.675539787672341
36,Jeffery Manor,9.721314562385011
37,Kelly,6.540245640975273
38,King,6.886204063810349
39,Legler Regional,6.176876024228994
40,Lincoln Belmont,3.9761822794286252
41,Lincoln Park,4.210500916305963
42,Little Italy,3.262532103335861
43,Little Village,5.156702950723941
44,Logan Square,4.975044507516965
45,Lozano,4.3621271447542975
46,Manning,5.521863098942498
47,Mayfair,5.213690125752109
48,McKinley Park,4.796483507005938
49,Merlo,4.180502699661075
50,Mount Greenwood,7.997806262054625
51,Near North,4.322110523442402
52,North Austin,4.129393126664521
53,North Pulaski,4.858521070166625
54,Northtown,5.79578546316355
55,Oriole Park,9.114359988815067
56,Portage-Cragin,5.813282540894631
57,Pullman,5.146961183998339
58,Roden,7.516559131636805
59,Rogers Park,5.042947744026109
60,Scottsdale,6.979106625104608
61,Sherman Park,4.349445682058127
62,South Chicago,6.857768636411576
63,South Shore,5.90540917577216
64,Sulzer Regional,4.734834802604852
65,Thurgood Marshall,5.732547591561629
66,Toman,7.188533250822205
67,Uptown,4.854451153686536
68,Vodak-East Side,7.083684893214658
69,Walker,5.516762815018841
70,Water Works,5.042618908209055
71,West Belmont,4.386703772469039
72,West Chicago Avenue,5.204298461250175
73,West Englewood,6.423902527794101
74,West Lawn,5.456615669659191
75,West Loop,4.834081859432952
76,West Pullman,6.89246283452317
77,West Town,4.170627457860416
78,"Whitney M. Young, Jr.",5.260290287359903
79,Woodson Regional Library,6.222492188469623
80,Wrightwood-Ashburn,6.12096400550181
