,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.257889193854655
1,Altgeld,13.67107624703135
2,Archer Heights,5.708038964797622
3,Austin,5.693150259793811
4,Austin-Irving,4.38904582410919
5,Avalon,5.759850622490858
6,Back of the Yards,3.992208140329993
7,Beverly,4.236112372785661
8,Bezazian,3.9261756779870165
9,Blackstone,6.521719618940386
10,Brainerd,4.423919137079194
11,Brighton Park,4.493719382612865
12,Bucktown-Wicker Park,3.804926535799542
13,Budlong Woods,3.8326204682225926
14,Canaryville,4.0861414901991635
15,Chicago Bee,3.6967265620153253
16,Chicago Lawn,4.4706520178203135
17,Chinatown,4.792451810797568
18,Clearing,5.66695552558529
19,Coleman,4.164072134171082
20,"Daley, Richard J. - Bridgeport",4.354139909540528
21,"Daley, Richard M. - W. Humboldt",4.538420323279034
22,Douglass,4.499312681073345
23,Dunning,8.34596847200263
24,Edgebrook,6.807611193748448
25,Edgewater,3.5624681931402016
26,Gage Park,3.751315165409931
27,Galewood-Mont Clare,5.243519713944572
28,Garfield Ridge,5.896518389806701
29,Greater Grand Crossing,4.792940185419988
30,Hall,5.205684543026012
31,Harold Washington Library Center,5.089767734064009
32,Hegewisch,14.447191935523463
33,Humboldt Park,3.9713597428907264
34,Independence,4.497352103511109
35,Jefferson Park,4.942519675048372
36,Jeffery Manor,10.159181548506298
37,Kelly,4.948572830315429
38,King,5.624134794242045
39,Legler Regional,5.2217037811916684
40,Lincoln Belmont,3.937011334316266
41,Lincoln Park,4.010465081112214
42,Little Italy,3.4838438004773957
43,Little Village,5.1035497783685875
44,Logan Square,5.533371160947039
45,Lozano,4.253748408966958
46,Manning,5.236394908064117
47,Mayfair,4.670280163971214
48,McKinley Park,5.950279732562532
49,Merlo,4.025923146769618
50,Mount Greenwood,7.874129088074831
51,Near North,4.442096993735838
52,North Austin,4.384557290957041
53,North Pulaski,4.5300119008111555
54,Northtown,6.060444856869675
55,Oriole Park,9.831466782489123
56,Portage-Cragin,5.490343230071862
57,Pullman,4.705252845281362
58,Roden,7.2715378380410165
59,Rogers Park,4.679589437155471
60,Scottsdale,5.987925744694402
61,Sherman Park,4.392402397683659
62,South Chicago,6.048925534388103
63,South Shore,5.545004958613628
64,Sulzer Regional,4.932810109309572
65,Thurgood Marshall,5.65178932139423
66,Toman,5.802209051484329
67,Uptown,4.346213717139445
68,Vodak-East Side,6.326335053705258
69,Walker,5.7552010962636535
70,Water Works,5.572534326276484
71,West Belmont,4.7519204485527835
72,West Chicago Avenue,5.386943190265209
73,West Englewood,5.564874184041355
74,West Lawn,5.35689599803674
75,West Loop,4.399588586287058
76,West Pullman,6.333040554057202
77,West Town,4.266950295902153
78,"Whitney M. Young, Jr.",5.447231025781176
79,Woodson Regional Library,6.488077358851353
80,Wrightwood-Ashburn,7.341129477006397
