,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.595251937228718
1,Altgeld,15.52112271334664
2,Archer Heights,5.615593505117644
3,Austin,8.677754431019375
4,Austin-Irving,4.276270624325249
5,Avalon,6.251015708307646
6,Back of the Yards,3.7740564411331667
7,Beverly,4.9392460365439295
8,Bezazian,3.8955333162557344
9,Blackstone,5.57228064175895
10,Brainerd,5.16414137612685
11,Brighton Park,4.419040505893337
12,Bucktown-Wicker Park,3.7215476230873397
13,Budlong Woods,4.153488867174745
14,Canaryville,4.0020995682919605
15,Chicago Bee,3.773027022787344
16,Chicago Lawn,4.1053799251487355
17,Chinatown,4.708276103984277
18,Clearing,5.354075505036814
19,Coleman,5.80956001230969
20,"Daley, Richard J. - Bridgeport",4.0331992324128
21,"Daley, Richard M. - W. Humboldt",4.456110575221216
22,Douglass,5.188576310346166
23,Dunning,9.157510208534134
24,Edgebrook,6.696305128733671
25,Edgewater,3.980550732713503
26,Gage Park,3.93244406205409
27,Galewood-Mont Clare,5.755585912034448
28,Garfield Ridge,5.751247310528993
29,Greater Grand Crossing,5.7259069858239355
30,Hall,6.580416133200352
31,Harold Washington Library Center,5.796606905372651
32,Hegewisch,14.150799853425706
33,Humboldt Park,4.003856790298212
34,Independence,4.856623974226233
35,Jefferson Park,4.773025289222236
36,Jeffery Manor,13.024279623282176
37,Kelly,4.5649780184031865
38,King,6.992297555065021
39,Legler Regional,7.271186224061737
40,Lincoln Belmont,4.0383158262128775
41,Lincoln Park,4.119666458515806
42,Little Italy,3.530109651615038
43,Little Village,4.540056652366237
44,Logan Square,5.225833511861694
45,Lozano,4.435257839395702
46,Manning,5.194748103987948
47,Mayfair,4.849817328410755
48,McKinley Park,5.52955042750722
49,Merlo,4.105600059918793
50,Mount Greenwood,8.111601363047681
51,Near North,4.333211337981816
52,North Austin,5.232081671621862
53,North Pulaski,5.36374958215786
54,Northtown,5.9014919917770605
55,Oriole Park,9.695848322413593
56,Portage-Cragin,5.6532244199063655
57,Pullman,6.1007225112421395
58,Roden,7.568303078510155
59,Rogers Park,4.899040869854973
60,Scottsdale,7.238537320228734
61,Sherman Park,5.021432546452013
62,South Chicago,7.565141563117281
63,South Shore,6.649158103621708
64,Sulzer Regional,4.744664001885076
65,Thurgood Marshall,5.5522835669336725
66,Toman,6.222766392140858
67,Uptown,4.794149230913522
68,Vodak-East Side,9.006959817402908
69,Walker,6.010267193305087
70,Water Works,4.787938079100043
71,West Belmont,4.567502330653751
72,West Chicago Avenue,4.688388643102988
73,West Englewood,6.048808871046996
74,West Lawn,5.687829738740703
75,West Loop,4.707555374336654
76,West Pullman,7.437676934328906
77,West Town,4.242941922575919
78,"Whitney M. Young, Jr.",6.18370758566087
79,Woodson Regional Library,6.259168131514949
80,Wrightwood-Ashburn,6.39238912763477
