,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.394028106895212
1,Altgeld,14.222822927559776
2,Archer Heights,5.796019175790444
3,Austin,7.7471986224544445
4,Austin-Irving,4.182463431476858
5,Avalon,5.63752687702467
6,Back of the Yards,3.851509354204398
7,Beverly,4.696531054996338
8,Bezazian,3.8199220974082575
9,Blackstone,5.710216501086938
10,Brainerd,4.547277839242034
11,Brighton Park,4.426263720371833
12,Bucktown-Wicker Park,4.051408301059108
13,Budlong Woods,3.9966106951949367
14,Canaryville,4.139772072024459
15,Chicago Bee,3.621219875874202
16,Chicago Lawn,4.897738587082588
17,Chinatown,4.2969054403907645
18,Clearing,5.4989669818337665
19,Coleman,4.698002844880644
20,"Daley, Richard J. - Bridgeport",4.251019256062897
21,"Daley, Richard M. - W. Humboldt",4.397940795725179
22,Douglass,4.590702966915692
23,Dunning,9.253888428685562
24,Edgebrook,6.62826134951937
25,Edgewater,3.8022889220606735
26,Gage Park,3.9067213157315104
27,Galewood-Mont Clare,5.575954360084007
28,Garfield Ridge,5.8758396519186125
29,Greater Grand Crossing,5.140993149381868
30,Hall,5.337578096542341
31,Harold Washington Library Center,5.319621313116778
32,Hegewisch,14.256469998701256
33,Humboldt Park,3.9341499358604857
34,Independence,4.816409245908184
35,Jefferson Park,4.788823394192464
36,Jeffery Manor,11.187271421994458
37,Kelly,5.6128592704781335
38,King,5.606010654996674
39,Legler Regional,5.882837037352085
40,Lincoln Belmont,4.164299691841463
41,Lincoln Park,4.232209014482182
42,Little Italy,2.6543970376141757
43,Little Village,4.842017447767141
44,Logan Square,5.3479404128397
45,Lozano,4.437767275332628
46,Manning,5.253572740727719
47,Mayfair,4.68047048025985
48,McKinley Park,5.592609869952989
49,Merlo,4.091624959068803
50,Mount Greenwood,8.137624887636628
51,Near North,4.215426311137619
52,North Austin,4.62855894292527
53,North Pulaski,5.159587537069327
54,Northtown,5.814713119994699
55,Oriole Park,9.714407030714204
56,Portage-Cragin,5.610498838694099
57,Pullman,5.243124997233061
58,Roden,7.628966662965336
59,Rogers Park,4.819932657756061
60,Scottsdale,6.498427440314667
61,Sherman Park,4.544550759910679
62,South Chicago,6.728136308801574
63,South Shore,5.837702161733092
64,Sulzer Regional,4.819979845586031
65,Thurgood Marshall,5.555412770253563
66,Toman,6.5775151684262765
67,Uptown,4.628652126394364
68,Vodak-East Side,6.238206011497944
69,Walker,5.805590944584497
70,Water Works,4.999799207878213
71,West Belmont,4.5656406980594415
72,West Chicago Avenue,4.930356236625503
73,West Englewood,5.826248655338958
74,West Lawn,5.70911983937308
75,West Loop,4.366288212391885
76,West Pullman,6.62330649269676
77,West Town,4.134661327183473
78,"Whitney M. Young, Jr.",5.4344588601595865
79,Woodson Regional Library,6.357039618249791
80,Wrightwood-Ashburn,6.813847216688964
