,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.877895877824518
1,Altgeld,12.93241747680244
2,Archer Heights,5.7190174520444135
3,Austin,6.5072597635980545
4,Austin-Irving,4.440667037884766
5,Avalon,5.452939644604175
6,Back of the Yards,3.579526975493375
7,Beverly,4.694255218645291
8,Bezazian,3.5189849573090073
9,Blackstone,5.984859703132894
10,Brainerd,4.494259305375284
11,Brighton Park,3.878563027196442
12,Bucktown-Wicker Park,3.988866873118713
13,Budlong Woods,4.155393930233289
14,Canaryville,4.105874136918376
15,Chicago Bee,3.7411819110041247
16,Chicago Lawn,4.216665734490136
17,Chinatown,3.924102619797801
18,Clearing,5.5800634501767945
19,Coleman,4.734346887279734
20,"Daley, Richard J. - Bridgeport",4.476108436124977
21,"Daley, Richard M. - W. Humboldt",4.61683214283351
22,Douglass,4.416374944246994
23,Dunning,9.38867419934407
24,Edgebrook,7.224372229215811
25,Edgewater,4.01403366035177
26,Gage Park,4.066951907866265
27,Galewood-Mont Clare,4.8158517135194705
28,Garfield Ridge,5.785817683140089
29,Greater Grand Crossing,4.782494799122573
30,Hall,5.949599837097893
31,Harold Washington Library Center,6.1361470270897
32,Hegewisch,14.119050020231231
33,Humboldt Park,3.7837263841358864
34,Independence,4.951929361544127
35,Jefferson Park,4.697131387349961
36,Jeffery Manor,10.771870042905439
37,Kelly,4.92224046303855
38,King,5.1690145302456365
39,Legler Regional,5.799976382717091
40,Lincoln Belmont,4.6308387466276315
41,Lincoln Park,3.8378259271467576
42,Little Italy,3.0427135402962375
43,Little Village,4.098421817299171
44,Logan Square,5.439739382180261
45,Lozano,4.638634887958372
46,Manning,5.064534234464481
47,Mayfair,4.6773996487829
48,McKinley Park,5.635094922122282
49,Merlo,4.030551514460541
50,Mount Greenwood,8.387385034467849
51,Near North,3.5994717540838725
52,North Austin,4.692313946597942
53,North Pulaski,5.003632538774896
54,Northtown,5.601753654504783
55,Oriole Park,10.231692173858331
56,Portage-Cragin,5.501016998429393
57,Pullman,4.699836749239158
58,Roden,6.545393255631781
59,Rogers Park,4.757365835821458
60,Scottsdale,6.670401564779011
61,Sherman Park,4.215468581791752
62,South Chicago,6.345190793429431
63,South Shore,6.249421549709817
64,Sulzer Regional,4.85964501579503
65,Thurgood Marshall,5.408669495774673
66,Toman,5.946240407768274
67,Uptown,4.040687224505073
68,Vodak-East Side,5.6066390000446855
69,Walker,5.894709073841477
70,Water Works,4.533926772178003
71,West Belmont,5.208249760061463
72,West Chicago Avenue,4.595231657704779
73,West Englewood,5.701188836852058
74,West Lawn,5.459585567618365
75,West Loop,4.170893929654843
76,West Pullman,6.303545804592884
77,West Town,3.9164198204602307
78,"Whitney M. Young, Jr.",5.253824868460687
79,Woodson Regional Library,6.361303525588076
80,Wrightwood-Ashburn,7.663348525195738
