,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","POLYGON ((-87.71788 41.976312, -87.716404 41.976369, -87.715692 41.981657, -87.713613 41.98329, -87.712779 41.982413, -87.710891 41.981579, -87.709613 41.979914, -87.708613 41.980343, -87.707915 41.977277, -87.707222 41.977188, -87.706613 41.977943, -87.706065 41.977127, -87.704613 41.976359, -87.703726 41.976466, -87.703193 41.975579, -87.703613 41.975123, -87.705969 41.974934, -87.706613 41.972991, -87.708613 41.971302, -87.710498 41.972694, -87.711748 41.972714, -87.712418 41.971579, -87.711036 41.970579, -87.712516 41.968579, -87.713613 41.96803, -87.714696 41.969496, -87.714119 41.970579, -87.715232 41.97196, -87.718613 41.971847, -87.719185 41.973007, -87.720161 41.973579, -87.720268 41.974924, -87.724063 41.975579, -87.719087 41.976053, -87.718948 41.977244, -87.720638 41.977554, -87.720613 41.977953, -87.72005 41.978015, -87.717613 41.977945, -87.717247 41.977579, -87.717965 41.976931, -87.71788 41.976312), (-87.713613 41.978275, -87.716815 41.975579, -87.715613 41.974911, -87.714257 41.974935, -87.713613 41.972724, -87.712314 41.973579, -87.71203 41.974995, -87.709656 41.975579, -87.710394 41.976579, -87.712613 41.977754, -87.713613 41.978275))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","POLYGON ((-87.607838 41.65798, -87.606838 41.657698, -87.60562 41.65798, -87.605758 41.659198, -87.598149 41.65951, -87.597838 41.663082, -87.596895 41.662141, -87.595838 41.662203, -87.595767 41.66127, -87.595219 41.660818, -87.592838 41.660181, -87.591704 41.657198, -87.592909 41.656128, -87.590838 41.655855, -87.590224 41.655198, -87.590472 41.654833, -87.590838 41.654504, -87.591174 41.654863, -87.593838 41.6547, -87.594838 41.653726, -87.598838 41.653739, -87.599838 41.652392, -87.601838 41.652783, -87.602838 41.652282, -87.605299 41.654198, -87.607341 41.656696, -87.608691 41.657198, -87.608013 41.657373, -87.607838 41.65798), (-87.596515 41.657522, -87.597838 41.658986, -87.599838 41.658627, -87.600838 41.657486, -87.602176 41.657198, -87.600177 41.65586, -87.598231 41.655591, -87.597796 41.65624, -87.596838 41.655368, -87.596162 41.656198, -87.596515 41.657522))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.718484 41.805684, -87.718281 41.804108, -87.719858 41.803483, -87.72013 41.802108, -87.72105 41.801674, -87.722205 41.800108, -87.722484 41.796714, -87.723484 41.796241, -87.725117 41.798108, -87.72651 41.798108, -87.725484 41.797299, -87.725112 41.79748, -87.725329 41.797108, -87.726359 41.795983, -87.728484 41.7949, -87.728724 41.796108, -87.729484 41.796945, -87.730484 41.796168, -87.734181 41.798108, -87.736526 41.800108, -87.734652 41.801108, -87.733484 41.803166, -87.729484 41.806977, -87.728484 41.807037, -87.727484 41.808485, -87.726484 41.808118, -87.725484 41.806981, -87.724484 41.807612, -87.722745 41.807108, -87.721484 41.805259, -87.719484 41.805953, -87.718484 41.805684), (-87.726484 41.799611, -87.72451 41.800108, -87.723484 41.802456, -87.727484 41.803379, -87.728449 41.802074, -87.730081 41.801108, -87.729792 41.8008, -87.727887 41.799705, -87.726484 41.799611))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.757228 41.889173, -87.75882 41.887634, -87.762273 41.886173, -87.76382 41.882959, -87.76482 41.881959, -87.765903 41.88309, -87.76524 41.884173, -87.765428 41.885565, -87.767292 41.885645, -87.76782 41.884306, -87.769517 41.885173, -87.769617 41.886376, -87.772013 41.886981, -87.772954 41.888173, -87.772842 41.889173, -87.77182 41.88998, -87.76982 41.891031, -87.76882 41.890488, -87.768646 41.890999, -87.767815 41.891168, -87.76982 41.891361, -87.771007 41.892173, -87.76982 41.893412, -87.767631 41.893983, -87.767575 41.895173, -87.76582 41.896378, -87.764435 41.895173, -87.76382 41.891789, -87.76282 41.89291, -87.76227 41.891724, -87.76082 41.891562, -87.757228 41.889173), (-87.76682 41.8915, -87.767138 41.890491, -87.76788 41.890173, -87.768118 41.888875, -87.767782 41.888211, -87.76482 41.886984, -87.763158 41.889173, -87.76482 41.891441, -87.76582 41.890909, -87.76682 41.8915))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.785748 41.954659, -87.784916 41.954753, -87.784285 41.956577, -87.783285 41.956345, -87.782285 41.958669, -87.780285 41.95996, -87.779285 41.959407, -87.778285 41.959412, -87.773738 41.95567, -87.770285 41.954607, -87.769779 41.953628, -87.768583 41.953123, -87.771285 41.952241, -87.772193 41.951123, -87.774283 41.950123, -87.777116 41.947123, -87.779285 41.946258, -87.780285 41.947217, -87.782493 41.948123, -87.783085 41.949123, -87.784285 41.949371, -87.785965 41.951123, -87.789751 41.953123, -87.786285 41.95554, -87.785748 41.954659), (-87.778285 41.954489, -87.77871 41.953548, -87.779285 41.95343, -87.780156 41.954123, -87.780285 41.955048, -87.782754 41.953123, -87.779285 41.950734, -87.776632 41.952123, -87.775927 41.953123, -87.778285 41.954489))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.581121 41.742509, -87.585005 41.73858, -87.586005 41.738141, -87.587005 41.739514, -87.589005 41.740192, -87.590005 41.741136, -87.590875 41.743524, -87.592005 41.743086, -87.59239 41.744009, -87.594005 41.744447, -87.594832 41.746393, -87.594005 41.74725, -87.59289 41.747277, -87.592005 41.748562, -87.590811 41.748199, -87.590881 41.749393, -87.589277 41.751393, -87.587309 41.751696, -87.586005 41.753077, -87.585005 41.752416, -87.583465 41.751393, -87.584211 41.750599, -87.584005 41.749721, -87.582005 41.749837, -87.580581 41.748393, -87.579005 41.748191, -87.578181 41.746393, -87.579285 41.746114, -87.580005 41.74695, -87.580428 41.746393, -87.579587 41.745811, -87.579385 41.745013, -87.578005 41.74479, -87.577799 41.744187, -87.578171 41.743393, -87.580005 41.742121, -87.581121 41.742509), (-87.586005 41.743346, -87.584005 41.744795, -87.583117 41.746393, -87.585005 41.748035, -87.586005 41.747046, -87.587005 41.748097, -87.588866 41.746393, -87.588005 41.744828, -87.587401 41.745788, -87.586739 41.745659, -87.586759 41.744393, -87.586005 41.743346))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","POLYGON ((-87.666759 41.808384, -87.668667 41.807481, -87.67057 41.805396, -87.673015 41.80483, -87.67457 41.802438, -87.67557 41.802431, -87.67657 41.800858, -87.679584 41.80237, -87.679915 41.80473, -87.678293 41.805108, -87.678394 41.807561, -87.679793 41.807608, -87.680306 41.80512, -87.68157 41.804246, -87.6827 41.804254, -87.68557 41.806784, -87.688292 41.808384, -87.68357 41.811907, -87.682808 41.811147, -87.68157 41.811981, -87.68069 41.811384, -87.680964 41.809384, -87.67957 41.809106, -87.679254 41.810384, -87.678096 41.810911, -87.67757 41.812015, -87.67657 41.81164, -87.67557 41.811897, -87.674845 41.811109, -87.67357 41.810922, -87.672865 41.811384, -87.67257 41.812516, -87.666759 41.808384), (-87.678196 41.807758, -87.67757 41.805953, -87.67657 41.80612, -87.67557 41.807355, -87.67457 41.807612, -87.673812 41.808384, -87.674652 41.809384, -87.67657 41.810414, -87.67757 41.810765, -87.677617 41.810432, -87.678717 41.810384, -87.67916 41.808974, -87.681521 41.808384, -87.678196 41.807758))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","POLYGON ((-87.676146 41.726019, -87.675146 41.726272, -87.674146 41.727395, -87.672146 41.726373, -87.671146 41.727808, -87.667477 41.725859, -87.667052 41.72519, -87.667623 41.724667, -87.667506 41.72383, -87.666703 41.723747, -87.666146 41.724931, -87.665743 41.723593, -87.664795 41.72319, -87.664632 41.722704, -87.66289 41.722446, -87.660895 41.72119, -87.663146 41.718843, -87.664589 41.71819, -87.666146 41.717932, -87.666847 41.718489, -87.667356 41.7184, -87.668742 41.71719, -87.66811 41.716153, -87.668755 41.71519, -87.670146 41.714178, -87.671304 41.714348, -87.672146 41.713202, -87.679197 41.719139, -87.683252 41.72119, -87.681311 41.722355, -87.680146 41.721528, -87.677848 41.721891, -87.677492 41.724536, -87.676146 41.726019), (-87.673853 41.721897, -87.676057 41.72119, -87.672146 41.718547, -87.670636 41.720679, -87.669087 41.72119, -87.671146 41.721783, -87.672146 41.723242, -87.673146 41.723568, -87.673699 41.72319, -87.673853 41.721897))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","POLYGON ((-87.659953 41.964727, -87.660953 41.967176, -87.661953 41.964914, -87.663454 41.967051, -87.664953 41.967131, -87.668053 41.968551, -87.667953 41.968829, -87.662953 41.969022, -87.662506 41.969551, -87.662677 41.970828, -87.667953 41.971277, -87.669074 41.972551, -87.668683 41.973551, -87.664953 41.976377, -87.663953 41.975567, -87.662953 41.975754, -87.659953 41.978085, -87.658614 41.976891, -87.656953 41.976143, -87.654458 41.973551, -87.654809 41.969696, -87.654028 41.969551, -87.654558 41.968551, -87.65598 41.968578, -87.656066 41.967664, -87.657021 41.966619, -87.656966 41.965551, -87.65723902039234 41.9653865672637, -87.657346 41.965422, -87.65737075335825 41.96530722809105, -87.657582 41.96518, -87.658953 41.965341, -87.659953 41.964727), (-87.659748 41.969345, -87.657791 41.971551, -87.660953 41.973667, -87.662951 41.972551, -87.662058 41.971447, -87.661953 41.969434, -87.660953 41.968661, -87.659748 41.969345))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.588386 41.805344, -87.5875 41.805231, -87.587237 41.804761, -87.586237 41.805226, -87.584237 41.803401, -87.583237 41.8038, -87.583024 41.803493, -87.583016 41.802271, -87.584237 41.800032, -87.585237 41.799297, -87.586237 41.799404, -87.587237 41.798179, -87.592237 41.800873, -87.592759 41.801971, -87.594153 41.802493, -87.590895 41.803151, -87.591135 41.804493, -87.590237 41.805299, -87.590099 41.806354, -87.589237 41.806551, -87.588386 41.805344), (-87.588013 41.804493, -87.588817 41.804913, -87.589237 41.805836, -87.589314 41.803416, -87.588237 41.802801, -87.588013 41.804493))",41.80549277198318,-87.58923748614112
