,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","POLYGON ((-87.713613 41.978968, -87.716137 41.976103, -87.718761 41.975579, -87.717613 41.974666, -87.716613 41.974845, -87.715613 41.974195, -87.715061 41.975027, -87.714257 41.974935, -87.713613 41.971899, -87.71204 41.973579, -87.71203 41.974995, -87.709612 41.975579, -87.710446 41.976746, -87.711613 41.976788, -87.713613 41.978968))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","POLYGON ((-87.596838 41.659447, -87.597838 41.659797, -87.599838 41.658824, -87.600838 41.657686, -87.603236 41.657198, -87.600838 41.65596, -87.597838 41.655454, -87.596838 41.654439, -87.595791 41.656198, -87.595838 41.65827, -87.596838 41.659447))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.723484 41.804132, -87.724484 41.804236, -87.725484 41.803464, -87.727484 41.804559, -87.728484 41.802824, -87.733046 41.800108, -87.730484 41.799308, -87.729484 41.799743, -87.728484 41.798298, -87.727704 41.799328, -87.723484 41.799915, -87.722983 41.802608, -87.721564 41.803108, -87.723484 41.804132))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.76482 41.892149, -87.76582 41.89126, -87.76682 41.891879, -87.768505 41.888173, -87.76782 41.887495, -87.76582 41.887871, -87.76482 41.887135, -87.763176 41.888529, -87.763074 41.889173, -87.76482 41.892149))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.780285 41.956142, -87.781986 41.954123, -87.784892 41.953123, -87.782179 41.952123, -87.779285 41.949406, -87.777285 41.952043, -87.776285 41.951555, -87.775285 41.95288, -87.77444 41.953123, -87.776285 41.953468, -87.778285 41.95504, -87.778878 41.953716, -87.779674 41.953733, -87.780285 41.956142))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.586005 41.750414, -87.586648 41.748036, -87.588005 41.747902, -87.590794 41.746393, -87.589648 41.744393, -87.587005 41.743542, -87.586005 41.740141, -87.585295 41.742683, -87.58432 41.743707, -87.58238 41.744393, -87.582912 41.745393, -87.581883 41.746393, -87.5842 41.747199, -87.584206 41.748393, -87.586005 41.750414))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","POLYGON ((-87.67757 41.810527, -87.67857 41.81021, -87.67957 41.808826, -87.681041 41.808913, -87.68157 41.809626, -87.683472 41.808384, -87.68157 41.807291, -87.680903 41.807718, -87.67857 41.807915, -87.677278 41.806092, -87.676575 41.806389, -87.67628 41.807384, -87.67457 41.807728, -87.673793 41.808384, -87.67472 41.809234, -87.67757 41.810527))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","POLYGON ((-87.673146 41.724349, -87.67454 41.72319, -87.674002 41.722045, -87.677853 41.72119, -87.676146 41.719991, -87.674017 41.720319, -87.673913 41.71919, -87.672146 41.71782, -87.670868 41.71919, -87.670609 41.720653, -87.669609 41.720727, -87.669146 41.71955, -87.668491 41.720535, -87.667055 41.72119, -87.671805 41.72219, -87.67129 41.72319, -87.672808 41.723528, -87.673146 41.724349))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","POLYGON ((-87.659953 41.973281, -87.660953 41.973513, -87.662651 41.972551, -87.661596 41.971909, -87.661777 41.969551, -87.660953 41.968928, -87.658154 41.970551, -87.657423 41.971551, -87.659953 41.973281))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.589237 41.806088, -87.589749 41.805493, -87.589483 41.803248, -87.588237 41.801633, -87.587436 41.802493, -87.587865 41.804493, -87.588722 41.805008, -87.589237 41.806088))",41.80549277198318,-87.58923748614112
10,Brainerd,"(41.73244482025524, -87.65772892721816)","POLYGON ((-87.658729 41.734969, -87.66121 41.732926, -87.662729 41.732757, -87.662838 41.732445, -87.65864 41.731533, -87.65972 41.730445, -87.657729 41.728682, -87.657227 41.729943, -87.653844 41.732445, -87.658073 41.733101, -87.658729 41.734969))",41.73244482025524,-87.65772892721816
11,Brighton Park,"(41.81516027827089, -87.70273371160454)","POLYGON ((-87.699734 41.817517, -87.701734 41.817418, -87.704564 41.815991, -87.706734 41.813005, -87.702734 41.812367, -87.701771 41.813198, -87.701749 41.814176, -87.701001 41.814428, -87.699638 41.816064, -87.699084 41.81716, -87.699734 41.817517))",41.81516027827089,-87.70273371160454
12,Bucktown-Wicker Park,"(41.91235487836141, -87.68029967133904)","POLYGON ((-87.6813 41.91441, -87.684176 41.914355, -87.683186 41.913355, -87.684501 41.912355, -87.68125 41.911355, -87.680102 41.910553, -87.678099 41.910355, -87.677904 41.911959, -87.676971 41.912355, -87.680871 41.912783, -87.6813 41.91441))",41.91235487836141,-87.68029967133904
13,Budlong Woods,"(41.98369797603738, -87.69631576617253)","POLYGON ((-87.698316 41.987098, -87.699316 41.986256, -87.700772 41.986698, -87.700419 41.985595, -87.698469 41.982698, -87.695192 41.981822, -87.694316 41.981055, -87.692376 41.982698, -87.693341 41.983698, -87.694734 41.98428, -87.695316 41.986159, -87.696385 41.985629, -87.698316 41.987098))",41.98369797603738,-87.69631576617253
14,Canaryville,"(41.81634394084193, -87.64256827550598)","POLYGON ((-87.640568 41.817692, -87.641568 41.816923, -87.643568 41.818128, -87.644568 41.817263, -87.645568 41.8172, -87.646127 41.816344, -87.645568 41.815044, -87.643568 41.813932, -87.642568 41.814938, -87.641568 41.814036, -87.638214 41.815989, -87.636389 41.816344, -87.638568 41.817102, -87.639568 41.816849, -87.640568 41.817692))",41.81634394084193,-87.64256827550598
15,Chicago Bee,"(41.82824306445502, -87.6263495444489)","POLYGON ((-87.62635 41.831936, -87.626857 41.831243, -87.627185 41.828078, -87.628488 41.827243, -87.626771 41.825821, -87.62635 41.823388, -87.624074 41.826243, -87.62332 41.829214, -87.624895 41.829697, -87.62635 41.831936))",41.82824306445502,-87.6263495444489
