,Branch,Average Walking Time (Minutes)
0,Albany Park,13.522902874520076
1,Altgeld,20.1856486170971
2,Archer Heights,16.446516513968692
3,Austin,17.02252999287397
4,Austin-Irving,13.595912173847932
5,Avalon,16.095840682967413
6,Back of the Yards,13.21421229651289
7,Beverly,14.693610054328895
8,Bezazian,12.01323795888984
9,Blackstone,15.097893351541444
10,Brainerd,15.28024097859887
11,Brighton Park,12.377710225719008
12,Bucktown-Wicker Park,11.081240332923693
13,Budlong Woods,13.341197668265183
14,Canaryville,12.755043054602737
15,Chicago Bee,10.184111327747221
16,Chicago Lawn,13.434146911467666
17,Chinatown,13.742362901695895
18,Clearing,15.687311758986814
19,Coleman,15.708608900784462
20,"Daley, Richard J. - Bridgeport",11.544621704993375
21,"Daley, Richard M. - W. Humboldt",14.519231970185151
22,Douglass,14.30686437123098
23,Dunning,15.177698460837599
24,Edgebrook,16.962614515803413
25,Edgewater,11.052121569866545
26,Gage Park,11.276382259782217
27,Galewood-Mont Clare,17.747187974593267
28,Garfield Ridge,16.10075196485354
29,Greater Grand Crossing,16.015538364190107
30,Hall,14.455419933246779
31,Harold Washington Library Center,13.073910825698652
32,Hegewisch,18.443173112019032
33,Humboldt Park,11.45150296259181
34,Independence,15.157367231054263
35,Jefferson Park,14.794121632069455
36,Jeffery Manor,16.903640960641802
37,Kelly,17.766278315122435
38,King,15.34594117838371
39,Legler Regional,15.48246338120488
40,Lincoln Belmont,12.174005619014693
41,Lincoln Park,12.965261665990264
42,Little Italy,9.843307988363911
43,Little Village,14.483048363288408
44,Logan Square,14.866315541592877
45,Lozano,12.655568275948802
46,Manning,14.815844689061704
47,Mayfair,13.417130866719756
48,McKinley Park,13.367844264627228
49,Merlo,11.806204408259042
50,Mount Greenwood,17.77243167047776
51,Near North,13.06881083634741
52,North Austin,13.478111890603177
53,North Pulaski,15.52879009324346
54,Northtown,15.671025644927065
55,Oriole Park,17.467069578115595
56,Portage-Cragin,16.355413109697388
57,Pullman,15.889209193422529
58,Roden,19.523669082279184
59,Rogers Park,14.872343743401807
60,Scottsdale,17.738553421852952
61,Sherman Park,12.126656906245682
62,South Chicago,17.188764517298456
63,South Shore,14.29969298077541
64,Sulzer Regional,13.67426595173908
65,Thurgood Marshall,17.304002232757604
66,Toman,15.39905637243761
67,Uptown,12.957565586042339
68,Vodak-East Side,16.038023501919724
69,Walker,17.69226284698322
70,Water Works,11.634236920995464
71,West Belmont,13.640863299795496
72,West Chicago Avenue,13.104814775667672
73,West Englewood,16.327956992563852
74,West Lawn,15.163196335308744
75,West Loop,11.943931788613561
76,West Pullman,20.085047983200546
77,West Town,11.583830277003468
78,"Whitney M. Young, Jr.",15.334699342460626
79,Woodson Regional Library,16.381895371530273
80,Wrightwood-Ashburn,14.530631796398545
