,Branch,Average Walking Time (Minutes)
0,Albany Park,13.185646456078974
1,Altgeld,20.40959889341793
2,Archer Heights,14.486239832692348
3,Austin,19.727664443833177
4,Austin-Irving,13.080431576042235
5,Avalon,14.435108117168259
6,Back of the Yards,13.86400581778964
7,Beverly,14.897420864140688
8,Bezazian,12.131420490807349
9,Blackstone,14.803560404136942
10,Brainerd,17.018338342736612
11,Brighton Park,13.538525602074781
12,Bucktown-Wicker Park,10.869970759100498
13,Budlong Woods,14.237284627452262
14,Canaryville,12.744112578147686
15,Chicago Bee,9.608212679184643
16,Chicago Lawn,12.952237905642368
17,Chinatown,13.397487511595559
18,Clearing,13.867762739773925
19,Coleman,16.16587612414587
20,"Daley, Richard J. - Bridgeport",11.504688833498987
21,"Daley, Richard M. - W. Humboldt",12.88779685039747
22,Douglass,16.089449759361617
23,Dunning,15.036005667721673
24,Edgebrook,16.19725647158173
25,Edgewater,11.155926428166918
26,Gage Park,11.587701138385906
27,Galewood-Mont Clare,16.040991937681543
28,Garfield Ridge,15.41712642677666
29,Greater Grand Crossing,14.388669208556403
30,Hall,14.480977290253707
31,Harold Washington Library Center,12.892567543775803
32,Hegewisch,18.232032316562655
33,Humboldt Park,11.417826642986004
34,Independence,15.609780884497312
35,Jefferson Park,15.652581777229075
36,Jeffery Manor,16.45469885426074
37,Kelly,20.4460517551522
38,King,14.625231754340952
39,Legler Regional,15.416369162822742
40,Lincoln Belmont,12.607028547128783
41,Lincoln Park,12.540489811434568
42,Little Italy,10.174576803250147
43,Little Village,14.005647971108548
44,Logan Square,15.89682276636801
45,Lozano,12.649056731859893
46,Manning,16.13553359573022
47,Mayfair,13.619014097287213
48,McKinley Park,11.983778039720248
49,Merlo,11.903804951506116
50,Mount Greenwood,16.953616715962642
51,Near North,13.398531057233177
52,North Austin,15.410599163782258
53,North Pulaski,17.091994042290494
54,Northtown,16.594828209355907
55,Oriole Park,17.600197282028027
56,Portage-Cragin,16.251204000909613
57,Pullman,15.06750343990633
58,Roden,18.593034157497126
59,Rogers Park,15.486732173758346
60,Scottsdale,18.488448817102025
61,Sherman Park,16.802868317521042
62,South Chicago,17.590945192204455
63,South Shore,11.50190413284181
64,Sulzer Regional,13.997568477475395
65,Thurgood Marshall,15.766142746191932
66,Toman,13.481345202909043
67,Uptown,12.809540318298467
68,Vodak-East Side,13.851042799089702
69,Walker,17.805395428215913
70,Water Works,11.634649148529947
71,West Belmont,13.593267915548411
72,West Chicago Avenue,13.144595947896425
73,West Englewood,13.748117674743298
74,West Lawn,14.026510806774205
75,West Loop,11.65158868748613
76,West Pullman,20.22917761762188
77,West Town,11.546560548265388
78,"Whitney M. Young, Jr.",13.905467600283032
79,Woodson Regional Library,14.124642396302038
80,Wrightwood-Ashburn,15.803216210884212
