,Branch,Average Walking Time (Minutes)
0,Albany Park,12.814560003275817
1,Altgeld,18.219063003382253
2,Archer Heights,16.862995666750123
3,Austin,12.84378921973513
4,Austin-Irving,14.067914298955392
5,Avalon,15.834983069146169
6,Back of the Yards,13.113255394354447
7,Beverly,14.116762440604342
8,Bezazian,10.40098009024202
9,Blackstone,15.755890175839266
10,Brainerd,14.66881282671349
11,Brighton Park,12.44834297615391
12,Bucktown-Wicker Park,12.197776110838609
13,Budlong Woods,12.763519003204232
14,Canaryville,13.490764655955395
15,Chicago Bee,10.63920484276169
16,Chicago Lawn,13.712257304634633
17,Chinatown,13.432143514251958
18,Clearing,18.260890455013925
19,Coleman,13.80829802020644
20,"Daley, Richard J. - Bridgeport",12.775138856092061
21,"Daley, Richard M. - W. Humboldt",14.691429834291494
22,Douglass,13.90029964336651
23,Dunning,14.707501422709061
24,Edgebrook,18.927164676486775
25,Edgewater,11.013192479915247
26,Gage Park,12.225004784642119
27,Galewood-Mont Clare,14.576004155452624
28,Garfield Ridge,19.063896876421033
29,Greater Grand Crossing,15.180483180378543
30,Hall,14.913240068202139
31,Harold Washington Library Center,12.282195268849044
32,Hegewisch,18.707594400101655
33,Humboldt Park,11.229870239989541
34,Independence,14.899765635017099
35,Jefferson Park,15.121353231325392
36,Jeffery Manor,14.937396326344816
37,Kelly,16.257438992226124
38,King,13.680742749525619
39,Legler Regional,14.92585516911612
40,Lincoln Belmont,11.683507509503004
41,Lincoln Park,13.805391794674819
42,Little Italy,9.196311342333757
43,Little Village,12.514618100358858
44,Logan Square,15.91814300020271
45,Lozano,12.42998094239592
46,Manning,14.536684266573934
47,Mayfair,12.742518782827801
48,McKinley Park,16.246608276371884
49,Merlo,11.884204940239352
50,Mount Greenwood,15.575315549969503
51,Near North,11.535530393911117
52,North Austin,14.126729263679048
53,North Pulaski,13.823276839080119
54,Northtown,15.045693486521865
55,Oriole Park,18.062938931910644
56,Portage-Cragin,16.978574851579683
57,Pullman,14.378397501443246
58,Roden,17.29807930289278
59,Rogers Park,14.62551102885688
60,Scottsdale,16.66832465859116
61,Sherman Park,13.001333002889382
62,South Chicago,14.94496723891152
63,South Shore,14.133657896924904
64,Sulzer Regional,14.032590141073923
65,Thurgood Marshall,16.845707579580466
66,Toman,15.119734630153362
67,Uptown,10.867938314768633
68,Vodak-East Side,15.007647618134936
69,Walker,19.208822861056902
70,Water Works,11.067972627057776
71,West Belmont,14.091245204773438
72,West Chicago Avenue,12.61126819850848
73,West Englewood,15.052013519748964
74,West Lawn,15.240087627455495
75,West Loop,11.851849503812069
76,West Pullman,18.797498351936547
77,West Town,11.9611308926953
78,"Whitney M. Young, Jr.",14.818756158959825
79,Woodson Regional Library,16.39436239657369
80,Wrightwood-Ashburn,14.763266154496138
