,Branch,Average Walking Time (Minutes)
0,Albany Park,15.122548156846317
1,Altgeld,18.865243407398463
2,Archer Heights,15.102174873368511
3,Austin,12.392712034572936
4,Austin-Irving,13.689344342068598
5,Avalon,15.428807031072687
6,Back of the Yards,11.842417688865964
7,Beverly,14.665970620763717
8,Bezazian,10.38356319155262
9,Blackstone,16.095181180046424
10,Brainerd,15.364853679294253
11,Brighton Park,11.118357898610604
12,Bucktown-Wicker Park,11.914473813040898
13,Budlong Woods,14.107538752065317
14,Canaryville,13.192980804675562
15,Chicago Bee,11.59565465982245
16,Chicago Lawn,12.355194714179548
17,Chinatown,11.317585463034677
18,Clearing,17.49838020585676
19,Coleman,13.87175316817763
20,"Daley, Richard J. - Bridgeport",12.700995912140089
21,"Daley, Richard M. - W. Humboldt",14.649781291885853
22,Douglass,14.4222840571756
23,Dunning,14.973023408974555
24,Edgebrook,17.04284191872426
25,Edgewater,11.129562958489075
26,Gage Park,12.375653825751442
27,Galewood-Mont Clare,14.766386677252745
28,Garfield Ridge,16.537603278190776
29,Greater Grand Crossing,15.216849663912543
30,Hall,14.854691796170467
31,Harold Washington Library Center,15.455403043029387
32,Hegewisch,18.38103063542104
33,Humboldt Park,11.11532627664557
34,Independence,16.452284601657258
35,Jefferson Park,14.741427291579798
36,Jeffery Manor,17.06357624014242
37,Kelly,14.573474149042557
38,King,13.657907527879862
39,Legler Regional,14.072184783678635
40,Lincoln Belmont,14.452362830118156
41,Lincoln Park,11.557406552078811
42,Little Italy,8.665776765674218
43,Little Village,12.56945969429447
44,Logan Square,15.403114617244126
45,Lozano,12.93735325594131
46,Manning,13.306935217835438
47,Mayfair,12.773082046728845
48,McKinley Park,14.694102917112875
49,Merlo,12.512548903733656
50,Mount Greenwood,16.39441289258806
51,Near North,10.714681612927174
52,North Austin,14.751358628008772
53,North Pulaski,14.84238889207219
54,Northtown,16.705674944194765
55,Oriole Park,15.88541894612201
56,Portage-Cragin,16.493768612710998
57,Pullman,14.309603322578013
58,Roden,15.409630908389758
59,Rogers Park,15.937998651504254
60,Scottsdale,17.526728353170853
61,Sherman Park,12.962410616270446
62,South Chicago,15.018582206653953
63,South Shore,15.297337625058447
64,Sulzer Regional,14.711243732227743
65,Thurgood Marshall,16.622712444494933
66,Toman,13.572609547905342
67,Uptown,11.500288997213984
68,Vodak-East Side,14.904978760896864
69,Walker,18.517868165481726
70,Water Works,11.08723100116219
71,West Belmont,15.667960543673122
72,West Chicago Avenue,12.19659420718178
73,West Englewood,15.592199779735866
74,West Lawn,14.690733766529007
75,West Loop,10.996146845209243
76,West Pullman,18.533287032900883
77,West Town,10.459056524174834
78,"Whitney M. Young, Jr.",15.128006677040656
79,Woodson Regional Library,16.053178163011676
80,Wrightwood-Ashburn,14.55393402055813
