,Branch,Average Walking Time (Minutes)
0,Albany Park,13.473946490844858
1,Altgeld,19.047968253473144
2,Archer Heights,15.848438127342167
3,Austin,15.633921361687321
4,Austin-Irving,13.48462859914256
5,Avalon,16.20818552166882
6,Back of the Yards,13.227978909168739
7,Beverly,14.893943803889833
8,Bezazian,11.891043796470669
9,Blackstone,15.148579639310121
10,Brainerd,14.902098775842195
11,Brighton Park,13.161111920143199
12,Bucktown-Wicker Park,11.211107440252258
13,Budlong Woods,13.282680751925382
14,Canaryville,12.794899233638095
15,Chicago Bee,10.10358607840721
16,Chicago Lawn,15.236377071848924
17,Chinatown,13.789554538485154
18,Clearing,15.921194664312274
19,Coleman,14.757971769067838
20,"Daley, Richard J. - Bridgeport",11.815578547303675
21,"Daley, Richard M. - W. Humboldt",14.183501315382788
22,Douglass,14.108473671650708
23,Dunning,15.42638793211427
24,Edgebrook,17.110864835799337
25,Edgewater,10.975201149137902
26,Gage Park,11.741371934294284
27,Galewood-Mont Clare,16.708654987664556
28,Garfield Ridge,16.299678568799223
29,Greater Grand Crossing,15.360445735520157
30,Hall,14.140523559729438
31,Harold Washington Library Center,13.064608310916203
32,Hegewisch,18.167920418943297
33,Humboldt Park,11.473450575425039
34,Independence,15.086923702783235
35,Jefferson Park,15.012659066114495
36,Jeffery Manor,16.558245480554113
37,Kelly,17.00563749626204
38,King,14.634914425202993
39,Legler Regional,15.291030828487507
40,Lincoln Belmont,12.312533991880924
41,Lincoln Park,13.009409742155482
42,Little Italy,9.913977810750774
43,Little Village,14.057593940358199
44,Logan Square,15.226171836310654
45,Lozano,13.089392381556713
46,Manning,14.61072479117436
47,Mayfair,13.34590096688484
48,McKinley Park,14.001752030521835
49,Merlo,11.830569932372644
50,Mount Greenwood,17.35395180053615
51,Near North,12.908969579918102
52,North Austin,13.81624926476541
53,North Pulaski,15.442127955481451
54,Northtown,15.703010391996688
55,Oriole Park,17.305983825408717
56,Portage-Cragin,16.353593820329273
57,Pullman,15.369211126791997
58,Roden,19.229749893062213
59,Rogers Park,14.734484923471754
60,Scottsdale,18.124824770510674
61,Sherman Park,12.800259964572545
62,South Chicago,16.869514296727388
63,South Shore,14.512941498949576
64,Sulzer Regional,13.731399663667297
65,Thurgood Marshall,16.323417902744616
66,Toman,15.47285881343882
67,Uptown,12.66697335249233
68,Vodak-East Side,15.701373954352505
69,Walker,17.97389571432088
70,Water Works,11.573908497564666
71,West Belmont,13.425259697397694
72,West Chicago Avenue,13.017786880749698
73,West Englewood,16.22499143563209
74,West Lawn,15.30108308973223
75,West Loop,11.919567164912248
76,West Pullman,19.644891387549457
77,West Town,11.63799895062025
78,"Whitney M. Young, Jr.",14.974123603123966
79,Woodson Regional Library,16.77067627248104
80,Wrightwood-Ashburn,14.678132213286005
