,Branch,Average Walking Time (Minutes)
0,Albany Park,13.553847822841751
1,Altgeld,19.05193628347167
2,Archer Heights,15.661686862639833
3,Austin,14.675703255313437
4,Austin-Irving,13.40541793043594
5,Avalon,15.938304953426334
6,Back of the Yards,12.437742786926531
7,Beverly,15.294703621816772
8,Bezazian,11.881392387444476
9,Blackstone,15.711691196658007
10,Brainerd,15.118352515643874
11,Brighton Park,12.980491694474429
12,Bucktown-Wicker Park,11.520870092998415
13,Budlong Woods,13.474453530190685
14,Canaryville,12.909167714957434
15,Chicago Bee,11.374840811372914
16,Chicago Lawn,13.622738896803224
17,Chinatown,13.34158981467519
18,Clearing,16.957578847556682
19,Coleman,13.883039019939508
20,"Daley, Richard J. - Bridgeport",12.344956588386642
21,"Daley, Richard M. - W. Humboldt",13.949221421945028
22,Douglass,13.975741764144422
23,Dunning,15.39096539697733
24,Edgebrook,16.789894487564112
25,Edgewater,11.390631389607146
26,Gage Park,11.786875220428326
27,Galewood-Mont Clare,15.376459125228477
28,Garfield Ridge,17.179501744326256
29,Greater Grand Crossing,14.396218003258804
30,Hall,14.077997731904981
31,Harold Washington Library Center,14.07256268012601
32,Hegewisch,18.397366874806348
33,Humboldt Park,11.46553950675961
34,Independence,14.915181560735398
35,Jefferson Park,15.187502225760277
36,Jeffery Manor,16.175619450896587
37,Kelly,16.09934551190048
38,King,14.871450351910429
39,Legler Regional,15.113319910757902
40,Lincoln Belmont,12.846033850507833
41,Lincoln Park,13.114932220381203
42,Little Italy,9.961651796074328
43,Little Village,13.609018946551785
44,Logan Square,16.687786931513234
45,Lozano,13.27122963171486
46,Manning,14.862279375623473
47,Mayfair,13.20864816726091
48,McKinley Park,14.90416449979496
49,Merlo,12.37243197894226
50,Mount Greenwood,17.053373625161633
51,Near North,13.528843442551835
52,North Austin,14.79119524211519
53,North Pulaski,15.518612481604741
54,Northtown,15.937890621248703
55,Oriole Park,17.111784331389167
56,Portage-Cragin,16.38895460718956
57,Pullman,15.634384519800129
58,Roden,18.106928087536605
59,Rogers Park,15.026200192211363
60,Scottsdale,17.73062250690067
61,Sherman Park,13.242479893302004
62,South Chicago,16.461147844161832
63,South Shore,14.789483119680437
64,Sulzer Regional,13.914356850911535
65,Thurgood Marshall,16.140428863044185
66,Toman,15.085807527441894
67,Uptown,12.738824878802072
68,Vodak-East Side,15.636723206523127
69,Walker,19.04985737254412
70,Water Works,11.800844420020189
71,West Belmont,14.044285957938378
72,West Chicago Avenue,12.663120663974428
73,West Englewood,15.677020925420008
74,West Lawn,15.018883156594095
75,West Loop,11.565153666581077
76,West Pullman,19.331957739877303
77,West Town,11.739559065892287
78,"Whitney M. Young, Jr.",15.305011207717039
79,Woodson Regional Library,16.681439692148693
80,Wrightwood-Ashburn,15.194572356798297
