,Branch,Average Walking Time (Minutes)
0,Albany Park,13.074796764646074
1,Altgeld,18.093557781786828
2,Archer Heights,14.905099427765565
3,Austin,13.24707048350656
4,Austin-Irving,13.92128673953662
5,Avalon,15.602261043847161
6,Back of the Yards,12.956578742802867
7,Beverly,13.572634593654888
8,Bezazian,12.381201194623108
9,Blackstone,17.27039820615357
10,Brainerd,14.401541186501278
11,Brighton Park,13.304344820961965
12,Bucktown-Wicker Park,11.86179593952063
13,Budlong Woods,12.852972330097177
14,Canaryville,13.293065899952403
15,Chicago Bee,10.90984155799936
16,Chicago Lawn,13.151977136537104
17,Chinatown,14.218810230511561
18,Clearing,17.126761718856038
19,Coleman,12.513585351568626
20,"Daley, Richard J. - Bridgeport",12.328164687726433
21,"Daley, Richard M. - W. Humboldt",14.481849424089734
22,Douglass,14.486268474599568
23,Dunning,14.52991896502188
24,Edgebrook,17.830465234547443
25,Edgewater,10.195843287166774
26,Gage Park,11.452960612268175
27,Galewood-Mont Clare,15.139283704052103
28,Garfield Ridge,16.585596622648296
29,Greater Grand Crossing,14.43968316055152
30,Hall,13.719077087193597
31,Harold Washington Library Center,12.17961864643129
32,Hegewisch,18.618240509374672
33,Humboldt Park,11.821290468130302
34,Independence,14.06077164138928
35,Jefferson Park,15.970355519717536
36,Jeffery Manor,15.735597363579423
37,Kelly,15.179984483805114
38,King,14.063221140605947
39,Legler Regional,14.525606190567633
40,Lincoln Belmont,12.039925728490207
41,Lincoln Park,12.60761246219954
42,Little Italy,10.547181761731037
43,Little Village,14.122782187055394
44,Logan Square,16.47675770548802
45,Lozano,12.108097451232458
46,Manning,14.57153089155785
47,Mayfair,13.33989282481788
48,McKinley Park,15.491569761961449
49,Merlo,12.175430650505207
50,Mount Greenwood,16.344114319206554
51,Near North,13.249110736639498
52,North Austin,13.66327854166668
53,North Pulaski,13.206297877575269
54,Northtown,16.234364409847785
55,Oriole Park,18.120638730451017
56,Portage-Cragin,16.182309705118236
57,Pullman,14.402216591959286
58,Roden,18.603281518034194
59,Rogers Park,14.221102081032559
60,Scottsdale,16.130958227748124
61,Sherman Park,12.728269123469001
62,South Chicago,14.922629869576785
63,South Shore,14.210184783153188
64,Sulzer Regional,14.308750501784447
65,Thurgood Marshall,16.904138304592657
66,Toman,14.18387270837869
67,Uptown,11.217563614407982
68,Vodak-East Side,16.748136150470465
69,Walker,18.719960400338053
70,Water Works,12.943617069162626
71,West Belmont,14.538978020755605
72,West Chicago Avenue,13.84800812039331
73,West Englewood,15.413235373055727
74,West Lawn,14.803217693074414
75,West Loop,10.925188447785985
76,West Pullman,18.776435285194857
77,West Town,11.597475376247713
78,"Whitney M. Young, Jr.",15.294595552318752
79,Woodson Regional Library,17.44833462476361
80,Wrightwood-Ashburn,15.783802714708267
