,Branch,Average Walking Time (Minutes)
0,Albany Park,12.699226758102824
1,Altgeld,19.01868641569957
2,Archer Heights,15.47471999603236
3,Austin,13.56573886612808
4,Austin-Irving,13.59472179793547
5,Avalon,15.822924465239604
6,Back of the Yards,12.133606581499945
7,Beverly,14.789395733939386
8,Bezazian,10.388594430773125
9,Blackstone,15.944386712492566
10,Brainerd,15.329266806251637
11,Brighton Park,12.853568069122753
12,Bucktown-Wicker Park,11.872188683224746
13,Budlong Woods,13.651692746324171
14,Canaryville,13.759837351096294
15,Chicago Bee,11.836450617255863
16,Chicago Lawn,12.15457897929122
17,Chinatown,11.483713784639487
18,Clearing,19.278052990650174
19,Coleman,13.142719199821395
20,"Daley, Richard J. - Bridgeport",13.053804300012345
21,"Daley, Richard M. - W. Humboldt",14.385916905700677
22,Douglass,13.93009332437002
23,Dunning,14.967306257702306
24,Edgebrook,15.820964219587196
25,Edgewater,10.618328856072178
26,Gage Park,11.521716564597227
27,Galewood-Mont Clare,14.130494985117652
28,Garfield Ridge,18.878195516739638
29,Greater Grand Crossing,15.443273637051407
30,Hall,14.222901325778157
31,Harold Washington Library Center,13.327751834517874
32,Hegewisch,18.510550217771826
33,Humboldt Park,11.141156826178188
34,Independence,15.175836682111301
35,Jefferson Park,15.258765592947205
36,Jeffery Manor,16.03195808374116
37,Kelly,15.549019113309818
38,King,13.37006947189857
39,Legler Regional,14.380790861422186
40,Lincoln Belmont,15.026818858230406
41,Lincoln Park,13.435980215489126
42,Little Italy,9.514096659047048
43,Little Village,12.982877532055758
44,Logan Square,17.79344226756122
45,Lozano,13.081364314016072
46,Manning,14.458654475522525
47,Mayfair,12.870365450320664
48,McKinley Park,15.044768808219192
49,Merlo,12.090458777198428
50,Mount Greenwood,16.544013384486643
51,Near North,11.193070124694529
52,North Austin,16.721014106620064
53,North Pulaski,14.739184692820613
54,Northtown,15.27219063188606
55,Oriole Park,16.566846109388315
56,Portage-Cragin,16.99367479732166
57,Pullman,15.244865170831106
58,Roden,17.27173721812072
59,Rogers Park,13.891211191612696
60,Scottsdale,17.22580774154636
61,Sherman Park,13.43739401950481
62,South Chicago,15.189106835860187
63,South Shore,15.567354847534956
64,Sulzer Regional,14.807473684265235
65,Thurgood Marshall,15.841071099283125
66,Toman,14.395533854273017
67,Uptown,10.528419403000886
68,Vodak-East Side,14.79327438385914
69,Walker,21.436706495773837
70,Water Works,12.532414923366197
71,West Belmont,14.981893991825885
72,West Chicago Avenue,12.344801429394018
73,West Englewood,15.844403828184149
74,West Lawn,15.096147338540398
75,West Loop,12.087980463994773
76,West Pullman,19.599094297605753
77,West Town,11.469376607125175
78,"Whitney M. Young, Jr.",14.957089363214049
79,Woodson Regional Library,16.423818522042918
80,Wrightwood-Ashburn,16.025143324487857
