,Branch,Average Walking Time (Minutes)
0,Albany Park,13.286264637445617
1,Altgeld,19.35878647920618
2,Archer Heights,15.30058005928596
3,Austin,15.401434519234167
4,Austin-Irving,13.39078630198687
5,Avalon,16.113906827734567
6,Back of the Yards,12.382938335861478
7,Beverly,15.05244393178158
8,Bezazian,11.94756549083417
9,Blackstone,15.146953694702553
10,Brainerd,14.964469706224655
11,Brighton Park,12.932348143395547
12,Bucktown-Wicker Park,11.265448655303333
13,Budlong Woods,13.29189014778951
14,Canaryville,12.884128451474902
15,Chicago Bee,10.614196109481925
16,Chicago Lawn,13.442644100704937
17,Chinatown,13.31717751106506
18,Clearing,16.834800049039874
19,Coleman,14.216047845794652
20,"Daley, Richard J. - Bridgeport",12.180007762643971
21,"Daley, Richard M. - W. Humboldt",14.107138202579794
22,Douglass,14.10689920009113
23,Dunning,15.363319541889847
24,Edgebrook,17.02656736931495
25,Edgewater,10.969358013651519
26,Gage Park,11.622109912200381
27,Galewood-Mont Clare,16.014281755640184
28,Garfield Ridge,16.827151976297387
29,Greater Grand Crossing,15.10567813717482
30,Hall,14.057101094550925
31,Harold Washington Library Center,13.147150324308779
32,Hegewisch,18.28107729809734
33,Humboldt Park,11.511948878892197
34,Independence,15.136099989542412
35,Jefferson Park,15.058913533513675
36,Jeffery Manor,16.728145432762343
37,Kelly,16.879166148088515
38,King,14.613224240131661
39,Legler Regional,14.85202329101363
40,Lincoln Belmont,12.53726134744476
41,Lincoln Park,12.896430630351416
42,Little Italy,10.150607342545829
43,Little Village,13.65557558934762
44,Logan Square,15.870112322401829
45,Lozano,13.133220691393781
46,Manning,14.581112416889765
47,Mayfair,13.174178686309245
48,McKinley Park,14.117515783860092
49,Merlo,11.834071137003269
50,Mount Greenwood,17.27231218378917
51,Near North,12.949308729880727
52,North Austin,14.851814251951128
53,North Pulaski,15.518887491046279
54,Northtown,15.733188554845057
55,Oriole Park,17.060183667856805
56,Portage-Cragin,16.494109625664965
57,Pullman,15.775151240677358
58,Roden,18.74140825741695
59,Rogers Park,14.637693782470334
60,Scottsdale,17.811299279330637
61,Sherman Park,13.275775083859344
62,South Chicago,16.622121003185054
63,South Shore,14.875687061090915
64,Sulzer Regional,13.859560724545593
65,Thurgood Marshall,15.94133631560867
66,Toman,14.750665148731834
67,Uptown,12.61625778296874
68,Vodak-East Side,15.722786019250282
69,Walker,18.762144562854672
70,Water Works,11.59983181440134
71,West Belmont,14.059064798521998
72,West Chicago Avenue,12.797351941429037
73,West Englewood,16.02007476219166
74,West Lawn,14.936126041145902
75,West Loop,11.946138176579245
76,West Pullman,19.555006106509925
77,West Town,11.631369455577714
78,"Whitney M. Young, Jr.",15.066577948573388
79,Woodson Regional Library,16.841674698937826
80,Wrightwood-Ashburn,15.09717812972637
