,Branch,Average Walking Time (Minutes)
0,Albany Park,13.23707506636828
1,Altgeld,19.07224674885712
2,Archer Heights,15.489046439953437
3,Austin,15.072551766574842
4,Austin-Irving,13.408937512787963
5,Avalon,16.131047732019965
6,Back of the Yards,12.512497983567012
7,Beverly,15.103841285100044
8,Bezazian,11.671669766187271
9,Blackstone,15.09335990088263
10,Brainerd,15.032845099304492
11,Brighton Park,12.795159421922445
12,Bucktown-Wicker Park,11.315864623864423
13,Budlong Woods,13.253997927244015
14,Canaryville,12.962224894579897
15,Chicago Bee,10.561892966791568
16,Chicago Lawn,13.565263850936779
17,Chinatown,13.285245907518277
18,Clearing,16.915616294090874
19,Coleman,14.45542693699507
20,"Daley, Richard J. - Bridgeport",12.255440723131622
21,"Daley, Richard M. - W. Humboldt",14.207085870528621
22,Douglass,13.92314280746058
23,Dunning,15.366172258976679
24,Edgebrook,17.065206343900243
25,Edgewater,11.027443469096946
26,Gage Park,11.775458141028508
27,Galewood-Mont Clare,15.962092034111977
28,Garfield Ridge,16.99101943357051
29,Greater Grand Crossing,15.281397076176967
30,Hall,14.384943514206215
31,Harold Washington Library Center,13.122818225105874
32,Hegewisch,18.31200528417927
33,Humboldt Park,11.45365875892232
34,Independence,15.18764112587804
35,Jefferson Park,15.00266370196541
36,Jeffery Manor,16.394547185263416
37,Kelly,17.092760691454792
38,King,14.408190456663247
39,Legler Regional,14.976131069480667
40,Lincoln Belmont,12.501492380861013
41,Lincoln Park,12.994142649247783
42,Little Italy,9.80838411461122
43,Little Village,13.311231740252362
44,Logan Square,15.847034189574654
45,Lozano,13.106290337056672
46,Manning,14.570250148638339
47,Mayfair,13.127655939060611
48,McKinley Park,14.301866329532718
49,Merlo,11.823038808678339
50,Mount Greenwood,17.210686864157285
51,Near North,12.811966277380845
52,North Austin,14.837432885005178
53,North Pulaski,15.405587314158925
54,Northtown,15.593512700198488
55,Oriole Park,17.06268239643677
56,Portage-Cragin,16.569254985706472
57,Pullman,15.686350234792389
58,Roden,18.668750316472835
59,Rogers Park,14.657694752669185
60,Scottsdale,17.863393634382675
61,Sherman Park,13.287318063411616
62,South Chicago,16.423173852679053
63,South Shore,14.746833445691545
64,Sulzer Regional,13.849364179196677
65,Thurgood Marshall,16.01540906615864
66,Toman,14.89324682107473
67,Uptown,12.423886692209559
68,Vodak-East Side,15.354001273567981
69,Walker,18.815186117684103
70,Water Works,11.506164396491101
71,West Belmont,14.032609138796385
72,West Chicago Avenue,12.605957546110831
73,West Englewood,15.838994508329096
74,West Lawn,14.99285082233993
75,West Loop,11.973765813047578
76,West Pullman,19.553768304521686
77,West Town,11.65778449982631
78,"Whitney M. Young, Jr.",14.954431779725978
79,Woodson Regional Library,16.64522202790353
80,Wrightwood-Ashburn,14.97962877774004
