,Branch,Average Walking Time (Minutes)
0,Albany Park,13.360455152597225
1,Altgeld,18.80622610054604
2,Archer Heights,15.405472738243379
3,Austin,14.98174849624262
4,Austin-Irving,13.414609935766178
5,Avalon,16.09132155943245
6,Back of the Yards,12.857290561695631
7,Beverly,14.962868904344795
8,Bezazian,11.828502306967838
9,Blackstone,15.276347428733175
10,Brainerd,14.857301161613531
11,Brighton Park,12.835871593736812
12,Bucktown-Wicker Park,11.310036506710167
13,Budlong Woods,13.138048564791186
14,Canaryville,12.818827235954204
15,Chicago Bee,10.370869749832819
16,Chicago Lawn,13.924335896094004
17,Chinatown,13.689054786943851
18,Clearing,16.471368939221517
19,Coleman,14.23897979450409
20,"Daley, Richard J. - Bridgeport",12.085324813470624
21,"Daley, Richard M. - W. Humboldt",14.208095869066485
22,Douglass,14.05010643057873
23,Dunning,15.35513854906414
24,Edgebrook,17.187128449598067
25,Edgewater,11.009782568950833
26,Gage Park,11.81302395698675
27,Galewood-Mont Clare,16.20448057640791
28,Garfield Ridge,16.55249611972795
29,Greater Grand Crossing,15.085475308122817
30,Hall,14.271477110665934
31,Harold Washington Library Center,13.054763175908299
32,Hegewisch,18.321530147893757
33,Humboldt Park,11.526989736847076
34,Independence,15.104375124126129
35,Jefferson Park,15.046003696989121
36,Jeffery Manor,16.367503560110656
37,Kelly,16.85899082854376
38,King,14.466294676051888
39,Legler Regional,15.025256318885836
40,Lincoln Belmont,12.422643984025926
41,Lincoln Park,12.96985279409186
42,Little Italy,9.90292032953739
43,Little Village,13.636386142841346
44,Logan Square,15.648059725858653
45,Lozano,13.025144475004964
46,Manning,14.583761033490914
47,Mayfair,13.185067880102025
48,McKinley Park,14.201702720267095
49,Merlo,11.834239206393306
50,Mount Greenwood,17.197440910524257
51,Near North,12.870016487636232
52,North Austin,14.199586728895465
53,North Pulaski,15.424291454191453
54,Northtown,15.698215115344384
55,Oriole Park,17.16040608558302
56,Portage-Cragin,16.40538610136087
57,Pullman,15.446037866516901
58,Roden,18.752043888747757
59,Rogers Park,14.72851405328966
60,Scottsdale,17.831687748738045
61,Sherman Park,13.108902775744687
62,South Chicago,16.478961996578086
63,South Shore,14.550681504179988
64,Sulzer Regional,13.820502004192404
65,Thurgood Marshall,16.279574101157515
66,Toman,15.028904995529302
67,Uptown,12.498962166281862
68,Vodak-East Side,15.70945812292459
69,Walker,18.5388051537149
70,Water Works,11.533955081004684
71,West Belmont,13.832518839689856
72,West Chicago Avenue,12.860324402400108
73,West Englewood,15.711753910075215
74,West Lawn,14.932784406089677
75,West Loop,11.936133911941255
76,West Pullman,19.392102363820428
77,West Town,11.664221836564806
78,"Whitney M. Young, Jr.",15.014422997989444
79,Woodson Regional Library,16.810851473231775
80,Wrightwood-Ashburn,14.933646625442393
