,Branch,Average Walking Time (Minutes)
0,Albany Park,12.749932005957426
1,Altgeld,18.301785005940108
2,Archer Heights,16.30454056860559
3,Austin,13.857289142709837
4,Austin-Irving,13.767909434575406
5,Avalon,15.083115167719916
6,Back of the Yards,11.905771242050372
7,Beverly,14.794957899655143
8,Bezazian,11.647385994710504
9,Blackstone,14.621455012720082
10,Brainerd,16.60305508040037
11,Brighton Park,13.433423136485303
12,Bucktown-Wicker Park,12.193040194814383
13,Budlong Woods,10.78952007494759
14,Canaryville,13.8149369198133
15,Chicago Bee,10.458950275684751
16,Chicago Lawn,12.191798926974554
17,Chinatown,13.182991979355258
18,Clearing,18.751444639333965
19,Coleman,14.23991633491127
20,"Daley, Richard J. - Bridgeport",12.967544246995706
21,"Daley, Richard M. - W. Humboldt",14.342763221158936
22,Douglass,12.638238863459273
23,Dunning,16.877433673123694
24,Edgebrook,17.561413010950396
25,Edgewater,11.365494895191944
26,Gage Park,11.777127310368227
27,Galewood-Mont Clare,14.046299928336515
28,Garfield Ridge,18.188975629515802
29,Greater Grand Crossing,15.600166320197191
30,Hall,13.684221716229656
31,Harold Washington Library Center,14.334061078888075
32,Hegewisch,18.72551572900761
33,Humboldt Park,11.100917372115001
34,Independence,14.058733422970253
35,Jefferson Park,16.206925819683132
36,Jeffery Manor,14.202097535483482
37,Kelly,15.430074872137439
38,King,13.318310647556983
39,Legler Regional,14.940323387403907
40,Lincoln Belmont,14.859955053030474
41,Lincoln Park,13.980464050485303
42,Little Italy,8.08581884763639
43,Little Village,12.809929868039255
44,Logan Square,16.891583078990312
45,Lozano,14.797385330544774
46,Manning,13.58563269718565
47,Mayfair,11.90508923021146
48,McKinley Park,15.24848952391051
49,Merlo,11.679338057358867
50,Mount Greenwood,15.400289487052623
51,Near North,13.647814844673482
52,North Austin,15.173477854356657
53,North Pulaski,15.705118567218943
54,Northtown,14.639477249937134
55,Oriole Park,16.41377307494663
56,Portage-Cragin,17.09072739392428
57,Pullman,15.780176996809613
58,Roden,16.795441317840844
59,Rogers Park,14.452091759436728
60,Scottsdale,17.222677724107136
61,Sherman Park,13.675930310247447
62,South Chicago,17.16748575346264
63,South Shore,13.950720243248476
64,Sulzer Regional,13.693560601817875
65,Thurgood Marshall,15.446718629278969
66,Toman,13.266368272402996
67,Uptown,11.842655955900593
68,Vodak-East Side,15.217289942407268
69,Walker,17.799719922841792
70,Water Works,11.627990827156438
71,West Belmont,16.480360031699206
72,West Chicago Avenue,11.095884084314235
73,West Englewood,15.171709464778454
74,West Lawn,15.179917844414206
75,West Loop,12.173669141605382
76,West Pullman,19.06227437253764
77,West Town,12.04225864482644
78,"Whitney M. Young, Jr.",13.600573569268244
79,Woodson Regional Library,16.89558459344131
80,Wrightwood-Ashburn,15.678417913972833
