,Branch,Average Walking Time (Minutes)
0,Albany Park,13.586563297788006
1,Altgeld,18.118794205205173
2,Archer Heights,18.42153971468256
3,Austin,13.656168355266507
4,Austin-Irving,15.288067720678532
5,Avalon,16.42898147077013
6,Back of the Yards,13.326875066978817
7,Beverly,14.69737571990577
8,Bezazian,10.394586998137058
9,Blackstone,16.26317799378105
10,Brainerd,14.232576569734297
11,Brighton Park,12.740606253979168
12,Bucktown-Wicker Park,11.787729478934814
13,Budlong Woods,13.66246262150186
14,Canaryville,13.610680261724388
15,Chicago Bee,10.521228320747628
16,Chicago Lawn,16.375269168241857
17,Chinatown,12.322402538279562
18,Clearing,17.49791484352028
19,Coleman,14.063485420347513
20,"Daley, Richard J. - Bridgeport",12.92238580476195
21,"Daley, Richard M. - W. Humboldt",14.180732802476957
22,Douglass,13.452648806559734
23,Dunning,15.617860934166005
24,Edgebrook,15.883669913969266
25,Edgewater,11.395883882663052
26,Gage Park,12.556705955409166
27,Galewood-Mont Clare,14.550770797881373
28,Garfield Ridge,17.113551186493307
29,Greater Grand Crossing,14.67122993677999
30,Hall,15.066208712190072
31,Harold Washington Library Center,11.968409137263475
32,Hegewisch,18.599509848534264
33,Humboldt Park,12.229342568120408
34,Independence,15.081985008611909
35,Jefferson Park,15.674757748472278
36,Jeffery Manor,15.240839891655213
37,Kelly,15.422643901723676
38,King,14.367233055370232
39,Legler Regional,14.56239182477624
40,Lincoln Belmont,12.652304624478454
41,Lincoln Park,13.57925825429618
42,Little Italy,9.009023013081023
43,Little Village,12.43018537726979
44,Logan Square,15.049504270647995
45,Lozano,13.651495891624117
46,Manning,13.423105921745487
47,Mayfair,15.881000787237356
48,McKinley Park,15.028762091129467
49,Merlo,11.596386237872292
50,Mount Greenwood,16.410539097869016
51,Near North,10.959469546270302
52,North Austin,14.650334278188195
53,North Pulaski,12.30819853513541
54,Northtown,15.899172445615044
55,Oriole Park,17.685916732239058
56,Portage-Cragin,16.838416255692785
57,Pullman,15.163353541227059
58,Roden,16.817335522503647
59,Rogers Park,15.344656440213942
60,Scottsdale,16.94584182542786
61,Sherman Park,12.676388869637849
62,South Chicago,14.163059987697007
63,South Shore,14.118660590172322
64,Sulzer Regional,14.161512035819621
65,Thurgood Marshall,17.20084140493013
66,Toman,14.760499750842762
67,Uptown,11.37664802495016
68,Vodak-East Side,15.015009887606045
69,Walker,19.22595805885934
70,Water Works,10.413387597640757
71,West Belmont,13.919592833072844
72,West Chicago Avenue,12.34217608778985
73,West Englewood,15.500323562230523
74,West Lawn,15.207560253160707
75,West Loop,11.154733932430771
76,West Pullman,18.462429622957295
77,West Town,11.733240150184525
78,"Whitney M. Young, Jr.",14.417353943149607
79,Woodson Regional Library,16.5770806132872
80,Wrightwood-Ashburn,15.554258795588172
