,Branch,Average Walking Time (Minutes)
0,Albany Park,14.101417467779061
1,Altgeld,18.857423337010736
2,Archer Heights,15.169389876954623
3,Austin,13.02824383691329
4,Austin-Irving,14.093260143921887
5,Avalon,15.584199902297618
6,Back of the Yards,11.848011029980198
7,Beverly,14.78026530198295
8,Bezazian,10.816739280237377
9,Blackstone,16.247633989532012
10,Brainerd,14.841840135788898
11,Brighton Park,11.462522000951777
12,Bucktown-Wicker Park,11.900549365342487
13,Budlong Woods,13.852018417880846
14,Canaryville,13.103348870934191
15,Chicago Bee,11.237942151746696
16,Chicago Lawn,12.692860527856315
17,Chinatown,11.427915899734966
18,Clearing,17.269516276212816
19,Coleman,14.382625208978006
20,"Daley, Richard J. - Bridgeport",12.826086253382462
21,"Daley, Richard M. - W. Humboldt",14.608261229831472
22,Douglass,13.311296501478784
23,Dunning,14.695180870869267
24,Edgebrook,17.7155378914887
25,Edgewater,11.804178057416838
26,Gage Park,12.203234461049862
27,Galewood-Mont Clare,14.968321138978514
28,Garfield Ridge,16.728130088498965
29,Greater Grand Crossing,14.384582624404803
30,Hall,15.550952864179457
31,Harold Washington Library Center,14.63793492203784
32,Hegewisch,18.370071298814747
33,Humboldt Park,11.495285797181666
34,Independence,15.673053935765882
35,Jefferson Park,14.90267577884963
36,Jeffery Manor,15.352210241058199
37,Kelly,15.264667655703112
38,King,13.55176990210284
39,Legler Regional,13.918746743536868
40,Lincoln Belmont,14.620723448934775
41,Lincoln Park,11.344724892717268
42,Little Italy,10.038758534275308
43,Little Village,11.729620776186918
44,Logan Square,16.162148881808374
45,Lozano,13.345202960511307
46,Manning,14.088041572597714
47,Mayfair,13.118228758142294
48,McKinley Park,14.194153657147888
49,Merlo,11.73554278735447
50,Mount Greenwood,16.432003037645043
51,Near North,11.032664186101025
52,North Austin,15.006925823414425
53,North Pulaski,14.880919059051006
54,Northtown,15.594222666113303
55,Oriole Park,15.982583348022692
56,Portage-Cragin,16.457954229368386
57,Pullman,14.663358957372761
58,Roden,15.862288297881124
59,Rogers Park,14.430919980570728
60,Scottsdale,17.584621590788316
61,Sherman Park,12.311863325471634
62,South Chicago,15.050661194352491
63,South Shore,15.232938702500558
64,Sulzer Regional,13.71858120791357
65,Thurgood Marshall,16.026254532261117
66,Toman,13.631709262536155
67,Uptown,11.173399056835867
68,Vodak-East Side,15.200789173178652
69,Walker,19.335090664432073
70,Water Works,10.04412767552075
71,West Belmont,15.662026264570219
72,West Chicago Avenue,12.161948176766884
73,West Englewood,15.748186400883451
74,West Lawn,14.173736125940229
75,West Loop,11.14928219607595
76,West Pullman,18.66072999466081
77,West Town,10.98145321114437
78,"Whitney M. Young, Jr.",14.791202161695159
79,Woodson Regional Library,16.437546456196962
80,Wrightwood-Ashburn,16.009078228658026
