Branch,WT: White,WT: Black or African American,WT: Degree: High School or More,WT: Degree: Some College or More,WT: Degree: Bachelors or More,WT: Degree: Masters or More,WT: At or Above Poverty,WT: In Poverty,"WT: Income: Less than 10,000","WT: Income: $10,000 to $14,999","WT: Income: $25,000 to $29,999","WT: Income: $150,000 to $199,999",WT: Employed,WT: Unemployed,WT: Has Internet Access,WT: Has No Internet Access,WT: Has Computer,WT: Has No Computer,"WT: Transportation: Car, Truck, or Van "
Albany Park,13.51214830091871,12.330002131708444,13.360455152597224,13.473946490844858,13.522902874520076,13.65191626316269,13.286264637445615,12.814560003275815,13.586563297788006,13.26903255215319,12.749932005957426,13.185646456078974,13.23707506636828,13.074796764646074,13.142419651342976,14.10141746777906,13.139007467215864,15.122548156846316,13.553847822841751
Altgeld,21.03991826026446,18.64270069318865,18.80622610054604,19.047968253473144,20.1856486170971,19.556909836734604,19.35878647920618,18.219063003382253,18.118794205205173,18.51007072257454,18.301785005940108,20.40959889341793,19.07224674885712,18.093557781786828,18.8299246002494,18.857423337010736,18.831049518854336,18.865243407398463,19.05193628347167
Archer Heights,15.11394840581088,20.25384328763596,15.40547273824338,15.848438127342169,16.446516513968692,17.037707869324823,15.30058005928596,16.862995666750123,18.42153971468256,14.04404327115676,16.30454056860559,14.486239832692348,15.489046439953436,14.905099427765563,15.48467199664016,15.169389876954623,15.49042238457444,15.102174873368511,15.661686862639831
Austin,17.02794938551029,13.96516945234348,14.98174849624262,15.63392136168732,17.02252999287397,17.169103965909617,15.401434519234169,12.84378921973513,13.656168355266509,12.958951503013289,13.857289142709837,19.727664443833177,15.072551766574842,13.24707048350656,15.213130734603748,13.02824383691329,15.193524721181824,12.392712034572936,14.675703255313437
Austin-Irving,13.616476286831452,13.565468908071512,13.414609935766178,13.48462859914256,13.595912173847932,13.819421609497658,13.39078630198687,14.067914298955392,15.288067720678532,12.768192235325651,13.767909434575406,13.080431576042235,13.408937512787965,13.92128673953662,13.32995688591564,14.093260143921889,13.413431937305774,13.689344342068598,13.40541793043594
Avalon,17.002925385400687,16.116427875833477,16.09132155943245,16.20818552166882,16.095840682967413,15.792219559615894,16.113906827734567,15.834983069146167,16.42898147077013,17.265152107069508,15.083115167719916,14.43510811716826,16.131047732019965,15.60226104384716,16.173583707235984,15.584199902297618,16.166890823171887,15.428807031072688,15.938304953426334
Back of the Yards,12.537095094959412,14.393448961125538,12.857290561695631,13.22797890916874,13.21421229651289,13.619696331116996,12.382938335861478,13.113255394354448,13.326875066978817,13.64533597651273,11.905771242050372,13.86400581778964,12.512497983567012,12.956578742802868,12.735317776940926,11.848011029980198,12.704905307041932,11.842417688865964,12.437742786926531
Beverly,15.581006331108238,14.22642956961995,14.962868904344797,14.893943803889831,14.693610054328897,14.616732986788938,15.05244393178158,14.116762440604342,14.69737571990577,14.8612527577144,14.794957899655143,14.897420864140688,15.103841285100044,13.572634593654888,14.967220869512886,14.78026530198295,14.96666505393524,14.665970620763716,15.294703621816772
Bezazian,12.042381950536855,10.203379468608576,11.828502306967838,11.891043796470669,12.01323795888984,12.12984965754063,11.94756549083417,10.40098009024202,10.394586998137058,9.584575177863034,11.647385994710504,12.131420490807349,11.671669766187271,12.381201194623108,11.800967853397468,10.816739280237377,11.698197463107508,10.38356319155262,11.881392387444476
Blackstone,15.274082596077298,15.340534066071855,15.276347428733176,15.14857963931012,15.097893351541444,15.197201900954912,15.146953694702551,15.755890175839266,16.26317799378105,15.666502324694454,14.621455012720082,14.803560404136942,15.09335990088263,17.27039820615357,15.207993645702947,16.247633989532012,15.18484969311368,16.095181180046424,15.711691196658007
