,Branch,Total Pop Around Library
0,Albany Park,36392.937459834495
1,Altgeld,4307.516765464823
2,Archer Heights,31347.90387292485
3,Austin,42510.67846999274
4,Austin-Irving,32706.801945292267
5,Avalon,29439.530513826296
6,Back of the Yards,25367.049788742628
7,Beverly,14401.32020059478
8,Bezazian,42844.10623283034
9,Blackstone,43163.063825583486
10,Brainerd,25628.93506489602
11,Brighton Park,35065.816420819334
12,Bucktown-Wicker Park,40977.05373480541
13,Budlong Woods,41684.20702337072
14,Canaryville,7378.199983770166
15,Chicago Bee,10766.119967909824
16,Chicago Lawn,34429.0864661012
17,Chinatown,35039.351065703544
18,Clearing,30511.90343798946
19,Coleman,31484.442418508635
20,"Daley, Richard J. - Bridgeport",30571.724404145854
21,"Daley, Richard M. - W. Humboldt",25780.084178150675
22,Douglass,25739.65373999863
23,Dunning,45339.33044564629
24,Edgebrook,28953.38911477171
25,Edgewater,52291.43313171458
26,Gage Park,31564.412692187634
27,Galewood-Mont Clare,40337.60360175024
28,Garfield Ridge,34945.093579306755
29,Greater Grand Crossing,22109.107652127965
30,Hall,25235.720117695408
31,Harold Washington Library Center,45373.91692307979
32,Hegewisch,3673.3804861684102
33,Humboldt Park,29353.260176638425
34,Independence,56290.52105987599
35,Jefferson Park,39775.48433327965
36,Jeffery Manor,11329.606623181868
37,Kelly,18109.578746379935
38,King,24217.192585639037
39,Legler Regional,32141.72824135417
40,Lincoln Belmont,47079.74141504841
41,Lincoln Park,47114.81760982749
42,Little Italy,15156.308441153345
43,Little Village,43103.49696603063
44,Logan Square,64871.414766454574
45,Lozano,33684.940637417836
46,Manning,20616.131733139697
47,Mayfair,27576.295229271076
48,McKinley Park,24972.868505267885
49,Merlo,60029.73809194992
50,Mount Greenwood,29325.733390864374
51,Near North,56277.72031379187
52,North Austin,42564.96113447526
53,North Pulaski,54339.00208507935
54,Northtown,60240.25891517047
55,Oriole Park,27882.67737815933
56,Portage-Cragin,71913.71220612168
57,Pullman,15150.515919040163
58,Roden,38809.68400353693
59,Rogers Park,69698.62716216815
60,Scottsdale,39685.4224116025
61,Sherman Park,17303.866741604146
62,South Chicago,25761.96850583615
63,South Shore,43542.82646303327
64,Sulzer Regional,53993.27181847852
65,Thurgood Marshall,38380.0308960097
66,Toman,44216.199441842386
67,Uptown,47773.33533990497
68,Vodak-East Side,18513.79372605883
69,Walker,32995.11119627911
70,Water Works,57819.976379254156
71,West Belmont,35331.796813616435
72,West Chicago Avenue,25817.061659959032
73,West Englewood,24357.7682120138
74,West Lawn,39852.61565098968
75,West Loop,27865.740881697406
76,West Pullman,39572.97324821059
77,West Town,37269.3474798666
78,"Whitney M. Young, Jr.",33871.00048872679
79,Woodson Regional Library,27746.23792369909
80,Wrightwood-Ashburn,20021.842398814148
