YEAR,BRANCH,MONTH,CIRCULATION,COMPUTER_SESSIONS,VISITORS
2011,Albany Park,78,120059.0,21966.0,117425.0
2011,Altgeld,78,9611.0,31782.0,58657.0
2011,Archer Heights,78,101951.0,25321.0,124653.0
2011,Austin,78,25527.0,33207.0,102306.0
2011,Austin-Irving,78,165634.0,35093.0,145852.0
2011,Avalon,78,71884.0,51771.0,150362.0
2011,Back of the Yards,28,37307.0,14370.0,50848.0
2011,Beverly,78,106619.0,34434.0,118949.0
2011,Bezazian,78,161803.0,30485.0,186933.0
2011,Blackstone,78,128882.0,33797.0,152597.0
2011,Brainerd,78,16657.0,21302.0,65991.0
2011,Brighton Park,78,99091.0,32085.0,103729.0
2011,Bucktown-Wicker Park,78,173396.0,29736.0,159729.0
2011,Budlong Woods,78,160271.0,31343.0,186827.0
2011,Canaryville,78,35681.0,17778.0,57849.0
2011,Chicago Bee,78,16129.0,23980.0,67604.0
2011,Chicago Lawn,78,65939.0,32854.0,105569.0
2011,Chinatown,78,158449.0,50552.0,291717.0
2011,Clearing,78,77943.0,20401.0,109231.0
2011,Coleman,78,33980.0,37968.0,130345.0
2011,"Daley, Richard J. - Bridgeport",78,99302.0,31840.0,116812.0
2011,"Daley, Richard M. - W. Humboldt",57,38300.0,27082.0,82905.0
2011,Douglass,78,24191.0,37606.0,108048.0
2011,Dunning,68,60886.0,13544.0,86439.0
2011,Edgebrook,78,129288.0,14091.0,134395.0
2011,Edgewater,15,60637.0,22886.0,87830.0
2011,Gage Park,78,33978.0,22892.0,68561.0
2011,Garfield Ridge,78,84481.0,19334.0,95686.0
2011,Greater Grand Crossing,68,28758.0,18683.0,56370.0
2011,Hall,78,33396.0,21272.0,87272.0
2011,Harold Washington Library Center,78,966720.0,417217.0,1705926.0
2011,Hegewisch,78,41436.0,11011.0,62097.0
2011,Humboldt Park,78,84825.0,34611.0,131301.0
2011,Independence,78,125886.0,24918.0,103779.0
2011,Jefferson Park,78,123076.0,21491.0,119567.0
2011,Jeffery Manor,78,18319.0,24155.0,83085.0
2011,Kelly,71,14890.0,16527.0,60765.0
2011,King,78,36280.0,33205.0,92526.0
2011,Legler Regional,78,18487.0,38969.0,124801.0
2011,Lincoln Belmont,78,194268.0,31246.0,173315.0
2011,Lincoln Park,78,140877.0,32915.0,163021.0
2011,Little Village,33,42274.0,12780.0,50951.0
2011,Logan Square,78,155741.0,46713.0,185644.0
2011,Lozano,78,75042.0,51052.0,168337.0
