,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","POLYGON ((-87.715613 41.969696, -87.71613 41.970579, -87.715558 41.971634, -87.716613 41.972026, -87.718613 41.971998, -87.719168 41.973024, -87.720399 41.973579, -87.720422 41.97477, -87.720893 41.974859, -87.721613 41.974188, -87.723075 41.975579, -87.719469 41.976435, -87.719613 41.977148, -87.720471 41.977579, -87.716613 41.980962, -87.713613 41.982649, -87.708152 41.979039, -87.707847 41.977345, -87.705986 41.977206, -87.704033 41.975579, -87.710613 41.969998, -87.713613 41.968531, -87.715613 41.969696), (-87.715252 41.971939, -87.714613 41.970718, -87.713613 41.970095, -87.710613 41.971485, -87.710252 41.972579, -87.707912 41.973877, -87.705964 41.975579, -87.706772 41.976579, -87.708137 41.977055, -87.709613 41.978837, -87.712613 41.980824, -87.713613 41.981252, -87.716086 41.979579, -87.716411 41.976377, -87.717816 41.976376, -87.718613 41.977714, -87.71936 41.976326, -87.720934 41.975579, -87.717613 41.972784, -87.715252 41.971939))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","POLYGON ((-87.604138 41.658498, -87.600838 41.65884, -87.599838 41.659807, -87.598838 41.659682, -87.597838 41.660244, -87.594838 41.657859, -87.593838 41.657763, -87.59333 41.655707, -87.592637 41.654997, -87.593838 41.654686, -87.594838 41.653786, -87.598838 41.653449, -87.599838 41.652743, -87.603838 41.65346, -87.605965 41.656198, -87.604138 41.658498), (-87.59408 41.656198, -87.596838 41.658391, -87.599838 41.659055, -87.601917 41.658277, -87.604473 41.656198, -87.603838 41.655226, -87.602609 41.655428, -87.60259 41.654198, -87.600883 41.653153, -87.596462 41.653822, -87.59408 41.656198))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.722484 41.806378, -87.721484 41.805403, -87.719484 41.805548, -87.718767 41.805108, -87.718649 41.804108, -87.719792 41.803108, -87.719563 41.800108, -87.721484 41.798673, -87.722484 41.796611, -87.723484 41.796309, -87.724484 41.79708, -87.725484 41.797053, -87.726397 41.796021, -87.728484 41.795066, -87.733573 41.798108, -87.735681 41.800108, -87.733376 41.803108, -87.727484 41.807809, -87.726484 41.807927, -87.724484 41.807161, -87.722484 41.806378), (-87.721126 41.801751, -87.720506 41.80213, -87.720417 41.804175, -87.725484 41.80626, -87.726484 41.805895, -87.727484 41.806229, -87.729319 41.804944, -87.733742 41.800108, -87.728484 41.796551, -87.727344 41.797108, -87.727349 41.798108, -87.726815 41.798439, -87.724484 41.798509, -87.723312 41.797937, -87.722247 41.798871, -87.721132 41.800757, -87.721126 41.801751))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.76482 41.882386, -87.76582 41.882971, -87.76682 41.882733, -87.767735 41.883259, -87.7742 41.888173, -87.774961 41.889173, -87.769057 41.89441, -87.76682 41.895817, -87.76482 41.895952, -87.76298 41.894173, -87.757576 41.890418, -87.75688 41.889173, -87.758121 41.887173, -87.76482 41.882386), (-87.76582 41.884422, -87.76482 41.883944, -87.75982 41.887507, -87.758681 41.889173, -87.76082 41.891418, -87.76482 41.894279, -87.76682 41.894492, -87.773001 41.889173, -87.768402 41.885173, -87.76682 41.884204, -87.76582 41.884422))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.784285 41.949274, -87.786748 41.95166, -87.787926 41.952123, -87.788581 41.953123, -87.787285 41.954366, -87.785097 41.954934, -87.784124 41.957123, -87.780285 41.959966, -87.779285 41.960151, -87.77047 41.954123, -87.769723 41.953123, -87.776285 41.947696, -87.779285 41.946188, -87.784285 41.949274), (-87.778285 41.958236, -87.779285 41.958815, -87.780285 41.958434, -87.782285 41.956983, -87.783285 41.955508, -87.786742 41.953123, -87.779285 41.947594, -87.776285 41.949281, -87.771858 41.953123, -87.778285 41.958236))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.591005 41.743753, -87.592005 41.743259, -87.593005 41.744379, -87.594005 41.744722, -87.594763 41.746393, -87.59317 41.747393, -87.590218 41.751393, -87.586005 41.753708, -87.583372 41.752026, -87.58301 41.749393, -87.582005 41.749801, -87.581005 41.749008, -87.580005 41.74921, -87.578577 41.748393, -87.577973 41.744361, -87.578348 41.743736, -87.580005 41.74326, -87.581079 41.742467, -87.585005 41.739029, -87.586005 41.739126, -87.589005 41.741098, -87.591005 41.743753), (-87.584005 41.74906, -87.585005 41.75151, -87.586005 41.752225, -87.587005 41.751299, -87.588274 41.751393, -87.589389 41.749393, -87.591005 41.74844, -87.591431 41.747393, -87.592834 41.746393, -87.592005 41.745028, -87.590292 41.744107, -87.586005 41.740507, -87.585005 41.740595, -87.580848 41.744236, -87.580005 41.744463, -87.579555 41.745393, -87.580337 41.746393, -87.579872 41.747526, -87.582005 41.748038, -87.584005 41.74906))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","MULTIPOLYGON (((-87.68257 41.804724, -87.687159 41.808384, -87.68557 41.810066, -87.68357 41.811053, -87.682213 41.811028, -87.68157 41.81182, -87.680828 41.811126, -87.680772 41.809384, -87.67957 41.809267, -87.679244 41.811059, -87.67870402649005 41.81120776821192, -87.679088 41.810903, -87.67957 41.80923, -87.680728 41.809226, -87.68157 41.810673, -87.682658 41.810473, -87.685109 41.808384, -87.68357 41.806948, -87.68157 41.805937, -87.680151 41.807384, -87.678478 41.807476, -87.678312 41.805126, -87.678889 41.804384, -87.67657 41.803204, -87.670042 41.808384, -87.670526 41.809384, -87.67357 41.810891, -87.67457 41.812116, -87.67557 41.811175, -87.67745530791606 41.811943262975795, -87.67557 41.811944, -87.67457 41.81301, -87.673704 41.812384, -87.673719 41.811235, -87.67257 41.811813, -87.67157 41.811362, -87.668565 41.809384, -87.667918 41.808384, -87.672404 41.805219, -87.67657 41.801499, -87.67954 41.803414, -87.68005 41.804384, -87.679969 41.804784, -87.678424 41.805239, -87.678498 41.807456, -87.679838 41.807384, -87.680378 41.805192, -87.68157 41.804479, -87.68257 41.804724)), ((-87.678128 41.811943, -87.67766340497722 41.81194318162432, -87.677973 41.811788, -87.67835620399114 41.81148384257205, -87.678128 41.811943)))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","POLYGON ((-87.667146 41.717256, -87.668359 41.717402, -87.668187 41.71619, -87.672146 41.713981, -87.680879 41.72019, -87.681518 41.72119, -87.680146 41.722564, -87.679427 41.721909, -87.678244 41.72219, -87.679293 41.72319, -87.674146 41.726686, -87.673146 41.726027, -87.672036 41.72608, -87.670146 41.727101, -87.669146 41.726629, -87.666905 41.72519, -87.667313 41.724023, -87.666902 41.723945, -87.666146 41.724852, -87.665569 41.723767, -87.662906 41.72243, -87.661702 41.72119, -87.663146 41.719772, -87.664423 41.719466, -87.66586 41.717904, -87.667146 41.717256), (-87.679501 41.72119, -87.678731 41.72019, -87.677146 41.719411, -87.675146 41.717447, -87.672146 41.715485, -87.671418 41.716462, -87.666792 41.718836, -87.663987 41.72119, -87.665146 41.721983, -87.667306 41.72203, -87.667146 41.722791, -87.666446 41.72319, -87.668146 41.724613, -87.670146 41.725579, -87.674146 41.725592, -87.674834 41.72519, -87.674929 41.723972, -87.676642 41.723686, -87.677394 41.72319, -87.677789 41.721833, -87.679501 41.72119))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","POLYGON ((-87.664991 41.967551, -87.66714 41.968551, -87.663953 41.968975, -87.662659 41.970257, -87.662669 41.970835, -87.667249 41.971256, -87.668553 41.972551, -87.664953 41.975915, -87.664274 41.975231, -87.663542 41.97514, -87.659953 41.977722, -87.656738 41.975767, -87.652508 41.972551, -87.651784 41.971551, -87.656168 41.967551, -87.657183 41.965781, -87.658953 41.965453, -87.660953 41.964458, -87.662953 41.965631, -87.664991 41.967551), (-87.665228 41.968551, -87.660953 41.966004, -87.658464 41.967062, -87.653979 41.971551, -87.655774 41.973551, -87.658953 41.975872, -87.659953 41.976281, -87.661848 41.974551, -87.662953 41.974199, -87.664953 41.974417, -87.666636 41.972551, -87.665129 41.971376, -87.662529 41.970976, -87.662313 41.970551, -87.663397 41.968995, -87.665228 41.968551))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.592237 41.811153, -87.590237 41.811237, -87.589982 41.810748, -87.58905 41.810493, -87.5897 41.809493, -87.589509 41.807493, -87.588733 41.806998, -87.588348 41.805382, -87.586237 41.805565, -87.584237 41.803834, -87.583201 41.803493, -87.58288 41.80285, -87.584225 41.80048, -87.587237 41.798542, -87.591348 41.800493, -87.597971 41.805493, -87.597882 41.806493, -87.596183 41.807493, -87.594282 41.811493, -87.593237 41.811504, -87.592237 41.811153), (-87.589877 41.808853, -87.591237 41.81029, -87.592237 41.810453, -87.593237 41.810022, -87.594421 41.807493, -87.595898 41.806493, -87.595859 41.805493, -87.589237 41.800684, -87.587237 41.80007, -87.584699 41.802493, -87.586237 41.804189, -87.587237 41.80383, -87.587773 41.804958, -87.588485 41.805245, -87.588861 41.80687, -87.589728 41.807493, -87.589877 41.808853))",41.80549277198318,-87.58923748614112
10,Brainerd,"(41.73244482025524, -87.65772892721816)","POLYGON ((-87.664639 41.730535, -87.665729 41.730645, -87.667018 41.732445, -87.658729 41.739068, -87.656729 41.738997, -87.649729 41.733586, -87.648841 41.733332, -87.64819 41.732445, -87.652729 41.728386, -87.657729 41.725549, -87.662729 41.728638, -87.664639 41.730535), (-87.652729 41.729973, -87.650082 41.732445, -87.656729 41.737317, -87.658729 41.737576, -87.66287 41.734445, -87.664936 41.732445, -87.664913 41.731629, -87.657729 41.727004, -87.652729 41.729973))",41.73244482025524,-87.65772892721816
11,Brighton Park,"(41.81516027827089, -87.70273371160454)","POLYGON ((-87.695734 41.819896, -87.695158 41.817736, -87.693485 41.81516, -87.700734 41.809456, -87.701734 41.809069, -87.702734 41.809222, -87.703734 41.808337, -87.709734 41.810643, -87.71013 41.81316, -87.709778 41.81416, -87.711197 41.81516, -87.708734 41.816715, -87.706854 41.81604, -87.705601 41.816028, -87.705711 41.81916, -87.704734 41.820678, -87.703734 41.820449, -87.701734 41.821477, -87.700734 41.820286, -87.699734 41.82117, -87.695734 41.819896), (-87.701734 41.820056, -87.703734 41.819038, -87.704734 41.819206, -87.70542 41.815847, -87.708179 41.815606, -87.709115 41.81516, -87.70804 41.81416, -87.708405 41.811489, -87.703734 41.810032, -87.702734 41.810663, -87.701734 41.810527, -87.700734 41.810956, -87.695642 41.81516, -87.69711 41.818784, -87.698734 41.819259, -87.699734 41.819649, -87.700734 41.818764, -87.701734 41.820056))",41.81516027827089,-87.70273371160454
12,Bucktown-Wicker Park,"(41.91235487836141, -87.68029967133904)","POLYGON ((-87.688824 41.914355, -87.687144 41.917199, -87.6853 41.918003, -87.6843 41.917775, -87.6823 41.918696, -87.6813 41.918431, -87.6803 41.919175, -87.6793 41.918715, -87.672795 41.914355, -87.670946 41.912355, -87.671905 41.911355, -87.671876 41.910355, -87.672852 41.909355, -87.673419 41.907474, -87.6763 41.906761, -87.6773 41.906082, -87.6783 41.906949, -87.6803 41.906224, -87.6813 41.907053, -87.6823 41.906825, -87.6833 41.907293, -87.688361 41.911294, -87.688802 41.912355, -87.688129 41.913355, -87.688824 41.914355), (-87.673935 41.911355, -87.672927 41.912355, -87.6773 41.916131, -87.6803 41.917687, -87.685592 41.916355, -87.686946 41.914355, -87.687347 41.912355, -87.682914 41.90874, -87.6813 41.908434, -87.6803 41.907754, -87.6783 41.908095, -87.6773 41.907662, -87.675195 41.908355, -87.673908 41.910355, -87.673935 41.911355))",41.91235487836141,-87.68029967133904
