,Branch,CIRCULATION_2019,COMPUTER SESSIONS_2019,VISITORS_2019,AVG COMPUTER SESSIONS PER VISITOR_2019,AVG CIRCULATION PER VISITOR_2019,CIRCULATION_2021,COMPUTER SESSIONS_2021,VISITORS_2021,AVG COMPUTER SESSIONS PER VISITOR_2021,AVG CIRCULATION PER VISITOR_2021,AVG WALKING TIME (MIN),Percent of People with Internet Access,Percent of People without Internet Access,Percent of People with Computers,Percent of People without Computers,Percent of People with Computers and Internet,Percent Population in Labor Force 16+: Employed,Percent Population in Labor Force 16+: Unemployed,"Percent Households: Less Than $10,000","Percent Households: $10,000 to $14,999","Percent Households: $15,000 to $19,999","Percent Households: $20,000 to $24,999","Percent Households: $25,000 to $29,999","Percent Households: $30,000 to $34,999","Percent Households: $35,000 to $39,999","Percent Households: $40,000 to $44,999","Percent Households: $45,000 to $49,999","Percent Households: $50,000 to $59,999","Percent Households: $60,000 to $74,999","Percent Households: $75,000 to $99,999","Percent Households: $100,000 to $124,999","Percent Households: $125,000 to $149,999","Percent Households: $150,000 to $199,999","Percent Households: $200,000 or more",Percent Ages 18-64: Living in Poverty,Percent Ages 18-64: At or Above Poverty Level,Percent Households: With Public Assistance Income,Percent Households: No Public Assistance Income,Percent Owner and Renter Occupied Housing: No Vehicles,Percent Owner and Renter Occupied Housing: 1 Vehicle,Percent Owner and Renter Occupied Housing: 2 Vehicles,Percent Owner and Renter Occupied Housing: 3 Vehicles,Percent Owner and Renter Occupied Housing: 4 Vehicles,Percent Owner and Renter Occupied Housing: 5 or More Vehicles,Percent Renter-Occupied Housing: No Vehicles,Percent Renter-Occupied Housing: 1 Vehicle,Percent Renter-Occupied Housing: 2 Vehicles,Percent Renter-Occupied Housing: 3 Vehicles,Percent Renter-Occupied Housing: 4 Vehicles,Percent Renter-Occupied Housing: 5 or More Vehicles,"Percent Workers 16+: Car, Truck, or Van ",Percent Workers 16+: Drove Alone,Percent Workers 16+: Carpooled,Percent Workers 16+: Public Transportation (Includes Taxi),Percent Workers 16+: Motorcycle,Percent Workers 16+: Bicycle,Percent Workers 16+: Walked,Percent Workers 16+: Other Means,Percent: White Alone,Percent: Black or African American Alone,Percent: American Indian and Alaska Native Alone,Percent: Asian Alone,Percent: Native Hawaiian and Other Pacific Islander Alone,Percent: Some Other Race Alone,Percent: Two or More Races,Percent: under 5 years,Percent: 5 to 9 years,Percent: 10 to 14 years,Percent: 15 to 19 years,Percent: 20 to 24 years,Percent: 25 to 29 years,Percent: 30 to 34 years,Percent: 35 to 39 years,Percent: 50 to 54 years,Percent: 55 to 59 years,Percent: 60 to 64 years,Percent: 65 to 69 years,Percent: 70 to 74 years,Percent: 75 to 79 years,Percent: 80 to 84 years,Percent: 85 years and over,Percent: 25+ Less Than High School,Percent: 25+ High School or More,Percent: 25+ Some College or More,Percent: 25+ Bachelor's Degree or More,Percent: 25+ Master's Degree or More,Percent: 25+ Professional School Degree or More,Percent: 25+ Doctorate Degree
0,Albany Park,93009.0,23279.0,130255.0,0.1787186672296649,0.7140532033319258,61634.0,8838.0,62840.0,0.1406429026098026,0.980808402291534,13.228100841044302,0.9111091033497668,0.0888908966502331,0.9542333822029452,0.0457666177970545,0.8527774553910105,0.9438936636760418,0.0561063363239583,0.0554826301409859,0.02599598339332,0.032619760902746,0.0297646351788403,0.0430169289256078,0.0336265547429575,0.0583680145119906,0.0409096306230828,0.0376050599852859,0.0841222567496374,0.0957830686388972,0.1291922515069412,0.1105728020633995,0.0757272641719147,0.0777456353073639,0.069467523157028,0.1204496850904361,0.8795503149095643,0.0307665921692111,0.9692334078307888,0.1899164975536185,0.4852636057504832,0.2605813165810836,0.0462879505090864,0.0113475642342285,0.0066030653714995,0.2600292435564149,0.4785505651146812,0.2244019000715854,0.0299721103962852,0.0047628275508933,0.0022833533101397,0.5531242787203632,0.462301139011654,0.0908231397087091,0.2400976407468663,0.0,0.0086783160848275,0.0687764833850149,0.0103089380452489,0.4953925921351854,0.0449746098295046,0.0053971588762719,0.1904834688581807,0.0,0.1413497466675465,0.1224024236333105,0.0626302569367905,0.0579471683196939,0.0496043412293157,0.0788491587268761,0.0849911451156354,0.0813886788821374,0.0938158259484331,0.0856492831984344,0.06293040151291,0.0540217835037959,0.0550114543187163,0.0432432674251275,0.0249100743794551,0.0187384193633601,0.0125015123795063,0.0146241192472231,0.1988305541029437,0.8011694458970563,0.6103415781589423,0.4245860824958493,0.1545486312203379,0.0397785673923748,0.0166407214070509
1,Altgeld,4014.0,5226.0,28196.0,0.1853454390693715,0.1423606185274507,1934.0,6719.0,10760.0,0.6244423791821562,0.1797397769516728,18.83380306644516,0.8592180106794364,0.1407819893205636,0.9199086393918818,0.0800913606081181,0.8414963788544618,0.7592433056954749,0.2407566943045249,0.3545292450087361,0.0739703789069916,0.0748003626936162,0.0575464332238126,0.0843638279289875,0.0512312739494503,0.0335034931774799,0.049951675605762,0.0384580095051569,0.044273343647082,0.0276040441464747,0.0188066432647559,0.0568060609712488,0.0081732057355762,0.0179482463699052,0.0080337558649627,0.4571030409352138,0.5428969590647862,0.1035033469113215,0.8964966530886783,0.4023346310342846,0.4642911805810426,0.1028197075996539,0.0226797522868229,0.007853089488456,2.1639009739735085e-05,0.4294490351736753,0.4603211984632789,0.0877347606066211,0.0153827334511015,0.0071122723053231,0.0,0.6196315185713663,0.5399665479414503,0.079664970629916,0.2884257269855636,0.0,0.0,0.0446717574805792,0.0204474603012335,0.0416308596019058,0.9223086703987422,0.0001028330696312,0.0,0.0,0.0145199100681496,0.0214377268615708,0.0991128073183354,0.0873154869933949,0.1177262919462245,0.0820588760974856,0.1066592048197354,0.0853532295223747,0.0852832062150243,0.0421207962652243,0.0378693285643445,0.0441119361591441,0.0499271428228187,0.0230311480024684,0.01792539650457,0.0064954640353395,0.006305755918209,0.0098605118199066,0.1317377580739213,0.8682622419260786,0.5147834079509345,0.0813208873492554,0.0351426930540774,0.0013197650268221,0.0003867827387794
2,Archer Heights,58025.0,17466.0,86593.0,0.2017022161144665,0.6700888062545471,26320.0,7223.0,34665.0,0.2083657868166738,0.7592672724650223,15.424347466717318,0.8077780184241492,0.1922219815758506,0.8302444020411561,0.1697555979588437,0.7733852912427769,0.8903751584620663,0.1096248415379338,0.038371165918312,0.0375297275727986,0.0231500113043961,0.1146635102527252,0.0628689287059991,0.0454143427615097,0.0418840590570841,0.0437999853246721,0.0334505741507356,0.079034124580499,0.1078179276543533,0.1099192031161912,0.0802645158737883,0.0495004643154168,0.0866240018367309,0.0457074575747863,0.0769044290763037,0.9230955709236964,0.0372273047065917,0.9627726952934084,0.1621156892329693,0.3476880945745244,0.3108838634728652,0.1240934681297937,0.0432246720583436,0.0119942125315034,0.3046315252326585,0.4963446138981806,0.1413935877344883,0.0464040101487271,0.0112262629859455,0.0,0.7779824901806468,0.6095374082010157,0.1684450819796308,0.1500680840203703,1.355526232944029e-06,0.0019230250036257,0.0346602950913852,0.0050132092122025,0.5317966718726099,0.0189980544149568,0.0162969788820838,0.046392356682033,0.0001501768872914,0.2541611206280911,0.1322046406329337,0.0642373680118301,0.0559023914721286,0.0701237812106951,0.0732994460524533,0.0696432044112996,0.0813436371147161,0.0773905053552393,0.0694055174331309,0.0625560810959551,0.0597992971481237,0.0492682793153003,0.0394518545161826,0.0376461769168461,0.0283631135807986,0.0117736847706573,0.0228446369696933,0.2725446933348109,0.7274553066651891,0.3514272249113757,0.1428802634829567,0.0385695395391436,0.0045592697490051,0.0025516466038153
3,Austin,11328.0,16288.0,77480.0,0.2102219927723283,0.146205472379969,7108.0,8554.0,35321.0,0.2421788737578211,0.2012400554910676,14.815993093097235,0.8141001780633638,0.1858998219366362,0.8575824068011634,0.1416324164277461,0.7448361411900278,0.866526745633412,0.1334732543665877,0.1409654907028702,0.0873896624997764,0.084796142074867,0.0526367621001154,0.0529484167358291,0.042489120064429,0.0444625717758593,0.0273471670667211,0.0389614845217389,0.073920170190238,0.0804436965318751,0.0713956283668077,0.0554350696548304,0.0371160606176008,0.0491315963207526,0.0605609607756878,0.2283648847199665,0.7716351152800334,0.0584710467546397,0.9415289532453602,0.344151037110635,0.4105121491022417,0.1875848199621748,0.0430529785804863,0.0107500143351478,0.003949000909314,0.486438221459281,0.4004335178107726,0.0897941075032722,0.0123829329320985,0.0058678243349226,0.0050833959596527,0.5765007698442576,0.5090445317398583,0.0674562381043992,0.2664833002881895,0.0,0.0057837512811394,0.0564710074413583,0.0059203975577174,0.1902438237189276,0.7112008377882034,0.0017735159268815,0.0121668739415068,1.423883806885151e-05,0.0380986627372822,0.0465020470491291,0.0602185544211631,0.0761848183117771,0.0654146139293574,0.0572623380179547,0.0652785778879233,0.0817632208953695,0.063732613216486,0.0612529088127332,0.0663388822099727,0.0516597127888789,0.0634046439395367,0.0539100117713077,0.0385674741902826,0.0290103511672592,0.0212345244700588,0.0101367813137185,0.1168604280112608,0.8831395719887389,0.5638358531239813,0.2693736078011673,0.1295858540364396,0.0314102039255116,0.0123497602075717
4,Austin-Irving,119100.0,16115.0,109080.0,0.1477356068940227,1.0918591859185918,62934.0,5423.0,48720.0,0.1113095238095238,1.2917487684729063,13.433196743054214,0.8576035469238198,0.1423964530761802,0.9238429185010008,0.0761570814989991,0.826491940061678,0.9523415219353404,0.0476584780646595,0.0424256193764179,0.0266961955604783,0.0331448504450354,0.0348586628296828,0.0391718557030206,0.0412005634426868,0.0333163369895577,0.0376459238745919,0.0297812124599457,0.0745915005808316,0.0919823844077855,0.1378885810275386,0.0967751421889715,0.090987585179255,0.1036544495933641,0.0858791363408353,0.0623193095834966,0.9376806904165031,0.0191961900707163,0.9808038099292836,0.0720644480821236,0.4054930899704742,0.3700443538211162,0.1026027857052638,0.0310896292296168,0.0187056931914049,0.1364795336343576,0.5447525108925455,0.2780149498613007,0.0267888896798416,0.0069666369868968,0.0069974789450573,0.7915774587579801,0.6974769712554852,0.0941004875024949,0.1018729454647809,0.0007594263702189,0.0071825098455179,0.0220708625572523,0.0112346240444968,0.6720187979787162,0.0189566235654242,0.0072478172840685,0.0802542538821216,0.0001275876215677,0.1478328880306982,0.0735620316374031,0.0583008225435875,0.0402648566882799,0.0735153940509934,0.0693949290223318,0.044709635065219,0.0490187998096094,0.0744828440585807,0.0913669938766826,0.0607013377572089,0.0660816044569673,0.0772345627642523,0.0530859436158936,0.042526005748695,0.0317292785154683,0.015800885798616,0.0219963899340912,0.1035257134339172,0.8964742865660827,0.5996779311486952,0.301219895787062,0.1035621744259241,0.0271823278355701,0.0136029162734851
5,Avalon,36480.0,34603.0,104662.0,0.3306166516978464,0.348550572318511,16003.0,12882.0,46853.0,0.2749450408725161,0.341557637717969,16.06768989542214,0.8164170824424705,0.1835829175575294,0.8645058937049275,0.1354941062950725,0.7772060618752717,0.8817716425175071,0.1182283574824929,0.1175728851227752,0.0403322227399362,0.0475678525699122,0.0380629580355202,0.055662556866539,0.0509536761404601,0.0319202824552504,0.0471896465123864,0.0501236760795151,0.0844823016473833,0.0948248940685761,0.1260853740848581,0.0862873461615779,0.0755376519905366,0.0370899476562177,0.0163067278685542,0.1668367830444025,0.8331632169555975,0.0450830531739953,0.9549169468260048,0.2361274089262004,0.4928642884090655,0.2087055754003915,0.0442629273098481,0.0174189552859081,0.0006208446685862,0.372837366163165,0.4833046449082799,0.1249589878357553,0.0149187779703886,0.0039802231224107,0.0,0.6272787573461882,0.5756280675712863,0.0516506897749018,0.2587276308917705,0.0,0.0,0.0170596338392766,0.0077931932055053,0.0216141934465199,0.9502894749149062,0.0001112910840781,0.0041583375355377,2.8840921523982707e-05,0.0088239666414319,0.0149738954560018,0.0506522392564412,0.0412557589476115,0.0617503438276684,0.0555141259643638,0.0562114309621161,0.0849906707850121,0.0495229375863145,0.0520102244277148,0.0665925720467037,0.0874073028698251,0.0644380566868003,0.045191138113461,0.0480381288223826,0.0457771054052536,0.0262404862913239,0.0341677423201866,0.08823341672489,0.91176658327511,0.654398377274285,0.2994024773376894,0.1096760541921385,0.0188628725814682,0.0076760427806872
6,Back of the Yards,24465.0,13715.0,44989.0,0.3048522972282113,0.5437995954566672,12416.0,4957.0,25385.0,0.1952727988969864,0.4891077407918062,12.5757544563906,0.8236284548159409,0.1763715451840589,0.8506739537708702,0.1493260462291298,0.7609830839513746,0.857645429987958,0.1423545700120419,0.0954651503333754,0.0866317405862104,0.0660092972305548,0.079453048318589,0.0829299725329314,0.0634112281749558,0.0545029677125609,0.0672974029534078,0.0525765804196127,0.0718771239936554,0.0750003647227943,0.1014189002836165,0.0414011900384072,0.0257040694663214,0.0217124889500662,0.0146084742829394,0.2646094788449942,0.7353905211550057,0.0553127595956823,0.9446872404043176,0.2199010037606208,0.4414705388620999,0.2346988162394994,0.0634112279201964,0.0305118376059375,0.0100065756116455,0.2829298757606017,0.4704150870036234,0.1914269473257785,0.0353879867747168,0.0197961161330964,4.398700218295206e-05,0.6765686105858374,0.5144604919153494,0.1621081186704879,0.2057616422254496,0.0004525615471885,0.006538288583279,0.0512877284179444,0.0065953327562426,0.3514413478321234,0.0967248952425887,0.0088548347201423,0.0160130269143808,0.0019413164999539,0.4019608746949479,0.1230637040958627,0.0727715706628505,0.0707639358898079,0.1027302079084682,0.077381561024372,0.075944500450609,0.0801382138271864,0.0621163581681458,0.0617393752714118,0.0660803588945668,0.0500029121222076,0.0312258396318289,0.0334970640587324,0.0290173055774975,0.0266723385810821,0.0067909060760742,0.0076859807039652,0.3863711604671779,0.6136288395328221,0.2539662929710695,0.0801424173236985,0.0244921271148677,0.0025637370017678,0.0017231930590318
7,Beverly,49151.0,14373.0,76336.0,0.188285998742402,0.6438770697966884,35849.0,6503.0,23456.0,0.2772424965893588,1.5283509549795362,14.9555131312343,0.9363290295956984,0.0636709704043014,0.962291602575804,0.0377083974241957,0.914719675601858,0.9049005148692782,0.0950994851307215,0.0430185209823683,0.0213449681628498,0.0269493979552525,0.0127694682993884,0.0199388680760673,0.0320129646898001,0.031148204779637,0.0125495086638829,0.0117527627449325,0.0517443982104635,0.0516396160498793,0.1445212126072874,0.1357703116217949,0.0746908614900588,0.1367809393004342,0.1933679963659017,0.1024738570877432,0.8975261429122566,0.0344006526605835,0.9655993473394164,0.0667724426374493,0.3543979018285866,0.4398260137403859,0.1135542990759059,0.0178779329468633,0.0075714097708084,0.2882482717950981,0.4817831146584443,0.1854054627778149,0.0422436840268831,0.0,0.0023194667417593,0.6534946451954925,0.6095540963787804,0.0439405488167119,0.1945939856422965,0.0,0.0040396210933875,0.0292559037080149,0.0144422723029021,0.492584156738746,0.4243482541083953,0.0014650624661525,0.0118731845088809,0.0009383586046375,0.018404388511798,0.0503865950613894,0.0631440700629458,0.0439138105662341,0.0747878380480275,0.0566676898960948,0.0496868482465743,0.0397714264150865,0.0626715920287753,0.0569150184799423,0.0838028439457623,0.093013927025716,0.0749532156160502,0.0637783538051993,0.051399647000132,0.0328083744151743,0.0250381473814968,0.0199953791597588,0.0425025809707131,0.957497419029287,0.7957007171322631,0.5322328073403301,0.2587712112931043,0.0691545870517972,0.0220054064861075
8,Bezazian,98356.0,28234.0,121571.0,0.2322428868726916,0.8090416299939953,55646.0,8997.0,43661.0,0.2060649091866883,1.2745012711573258,11.703381535903237,0.9005347541222833,0.0994652458777166,0.8869164593863963,0.0572429592907461,0.8490282099961269,0.9560230870519892,0.0439769129480108,0.0898127592035876,0.059129746544039,0.0397128911725157,0.038306977029924,0.0414003211271296,0.0346949030251509,0.0328003681982192,0.0339939676280567,0.0393072374871837,0.0708006924333768,0.0982934355597241,0.1331310645830587,0.0723125167684984,0.0629741571578164,0.0674429227862262,0.0858860392954916,0.1548300976994856,0.8451699023005146,0.029347588961255,0.9706524110387448,0.3703466750518019,0.4864431985410595,0.1234080299998512,0.0119788705712974,0.0062116872610475,0.0016115385749423,0.4817115256745639,0.4446807106558814,0.0646407735308712,0.007131059652181,0.0018359304865023,0.0,0.3700290636842561,0.3350936885378755,0.0349353751463804,0.3691740625635775,0.0014877579290013,0.0270991522882061,0.0410040183804565,0.0086045812401467,0.6348883982075391,0.1496872482251516,0.0021240329526346,0.1150019598118381,2.724253309620801e-05,0.0387867735376014,0.0594843447321388,0.0391401546377035,0.0274071392597996,0.0261002407337217,0.0204312753516179,0.0679748871515133,0.1258598837849898,0.1169475063450841,0.0897477278384377,0.07157273357681,0.0781156396006929,0.0485387639857396,0.0379809969323504,0.0330473475848024,0.0197005523688995,0.0253681905226737,0.0267990087808863,0.0851816901976521,0.9148183098023478,0.7990651968951976,0.604570909178806,0.2663536042413226,0.0734547984646712,0.0267573285857627
9,Blackstone,99833.0,18008.0,94358.0,0.1908476228830623,1.0580236969838277,80757.0,8963.0,61010.0,0.1469103425667923,1.323668251106376,15.306677835978446,0.9162385034199836,0.0835106794258401,0.8991212837050604,0.0596524898522826,0.8653527133318207,0.9068960448337924,0.0931039551662075,0.1351097473322757,0.0600423453798612,0.0486438600235408,0.0319164488713273,0.0401279791607019,0.0430444040229664,0.0418810712934752,0.0415408991513452,0.0202660396866994,0.062706038824557,0.0739703263484112,0.1007474955306279,0.0731335409917733,0.0502524600292677,0.0686215398792624,0.107995803473906,0.2652877728367673,0.7347122271632328,0.0168666141397107,0.9831333858602896,0.3708297639825609,0.4908362575357197,0.1149121903290645,0.0190788104131349,0.0032562710354728,0.001086706704047,0.5168287682145623,0.4258691783414617,0.0507722164713752,0.0054324592827312,0.0004818052917495,0.0006155723981197,0.3293519303682539,0.2915132167920657,0.037838713576188,0.2467304288195783,0.0,0.0509743271505741,0.1602974761045092,0.0111028721430323,0.368074014567098,0.4491223360389454,0.0037559568065152,0.1021423690351065,0.0001623898008371,0.0155626243190978,0.0611803094323997,0.0455655457064931,0.035966824539817,0.0457925972930921,0.0513226020879251,0.1218902566328297,0.1221747668432356,0.0807513613419635,0.0700146504601675,0.0479202650464807,0.0624907760407886,0.0577796722715632,0.0610332510007149,0.039066398101325,0.0239968386318446,0.0172270107659548,0.0185161827935436,0.0448826338838351,0.9551173661161648,0.8547349453350082,0.689627096501147,0.4389003159564167,0.1896894802494577,0.1226408559311502
