,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","POLYGON ((-87.708137 41.977055, -87.706772 41.976579, -87.705964 41.975579, -87.707912 41.973877, -87.710252 41.972579, -87.710613 41.971485, -87.713613 41.970095, -87.714613 41.970718, -87.715252 41.971939, -87.717613 41.972784, -87.720934 41.975579, -87.71936 41.976326, -87.718613 41.977714, -87.717816 41.976376, -87.71648713639459 41.976376945810394, -87.718838 41.975579, -87.713613 41.97142, -87.707941 41.975579, -87.709613 41.977297, -87.713613 41.979804, -87.715613 41.978256, -87.71640249211111 41.97646082233903, -87.716086 41.979579, -87.713613 41.981252, -87.712613 41.980824, -87.709613 41.978837, -87.708137 41.977055))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","POLYGON ((-87.59408 41.656198, -87.596462 41.653822, -87.600883 41.653153, -87.60259 41.654198, -87.602609 41.655428, -87.603838 41.655226, -87.604473 41.656198, -87.601917 41.658277, -87.599838 41.659055, -87.596838 41.658391, -87.59408 41.656198), (-87.597838 41.653877, -87.595908 41.656198, -87.597306 41.657731, -87.598838 41.658345, -87.600699 41.658059, -87.600945 41.657305, -87.602389 41.656198, -87.600005 41.654032, -87.598838 41.654668, -87.597838 41.653877))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.720417 41.804175, -87.720506 41.80213, -87.721126 41.801751, -87.721132 41.800757, -87.722247 41.798871, -87.723312 41.797937, -87.724484 41.798509, -87.726815 41.798439, -87.727349 41.798108, -87.727344 41.797108, -87.728484 41.796551, -87.733742 41.800108, -87.729319 41.804944, -87.727484 41.806229, -87.726484 41.805895, -87.725484 41.80626, -87.720417 41.804175), (-87.727484 41.804773, -87.730905 41.801529, -87.731694 41.800108, -87.728484 41.798141, -87.727388 41.799013, -87.723484 41.799314, -87.722657 41.800108, -87.721945 41.803108, -87.724484 41.804201, -87.725484 41.804872, -87.726484 41.804449, -87.727484 41.804773))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.76082 41.891418, -87.758681 41.889173, -87.75982 41.887507, -87.76482 41.883944, -87.76582 41.884422, -87.76682 41.884204, -87.768402 41.885173, -87.773001 41.889173, -87.76682 41.894492, -87.76482 41.894279, -87.76082 41.891418), (-87.76682 41.892895, -87.771161 41.889173, -87.76682 41.885727, -87.76582 41.885946, -87.76482 41.88545, -87.760967 41.888173, -87.76079 41.889173, -87.761338 41.890173, -87.76282 41.891376, -87.76382 41.891624, -87.76482 41.892908, -87.76682 41.892895))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.779285 41.958815, -87.778285 41.958236, -87.771858 41.953123, -87.776285 41.949281, -87.779285 41.947594, -87.786742 41.953123, -87.783285 41.955508, -87.782285 41.956983, -87.780285 41.958434, -87.779285 41.958815), (-87.779285 41.949018, -87.774592 41.952123, -87.773851 41.953123, -87.779285 41.957309, -87.780285 41.956968, -87.784676 41.953123, -87.779285 41.949018))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.586005 41.740507, -87.590292 41.744107, -87.592005 41.745028, -87.592834 41.746393, -87.591431 41.747393, -87.591005 41.74844, -87.589389 41.749393, -87.588274 41.751393, -87.587005 41.751299, -87.586005 41.752225, -87.585005 41.75151, -87.584005 41.74906, -87.582005 41.748038, -87.579872 41.747526, -87.580337 41.746393, -87.579555 41.745393, -87.580005 41.744463, -87.580848 41.744236, -87.585005 41.740595, -87.586005 41.740507), (-87.582801 41.747393, -87.586005 41.750676, -87.590718 41.746393, -87.590182 41.745393, -87.586005 41.742029, -87.585005 41.742153, -87.584005 41.742903, -87.580925 41.746393, -87.582801 41.747393))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","POLYGON ((-87.67357 41.810891, -87.670526 41.809384, -87.670042 41.808384, -87.67657 41.803204, -87.678889 41.804384, -87.678312 41.805126, -87.678478 41.807476, -87.680151 41.807384, -87.68157 41.805937, -87.68357 41.806948, -87.685109 41.808384, -87.682658 41.810473, -87.68157 41.810673, -87.68077004903618 41.8092982624173, -87.68157 41.809338, -87.682966 41.808384, -87.68157 41.807496, -87.678443 41.807511, -87.677866 41.805088, -87.67657 41.804607, -87.67207 41.808384, -87.672689 41.809384, -87.67457 41.810664, -87.678248 41.811063, -87.678926 41.810741, -87.679416 41.809231, -87.67956754306613 41.80923852790532, -87.679088 41.810903, -87.677973 41.811788, -87.67757 41.81199, -87.67557 41.811175, -87.67457 41.812116, -87.67357 41.810891))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","POLYGON ((-87.668146 41.724613, -87.666446 41.72319, -87.667146 41.722791, -87.667306 41.72203, -87.665146 41.721983, -87.663987 41.72119, -87.666792 41.718836, -87.671418 41.716462, -87.672146 41.715485, -87.675146 41.717447, -87.677146 41.719411, -87.678731 41.72019, -87.679501 41.72119, -87.677789 41.721833, -87.677394 41.72319, -87.676642 41.723686, -87.674929 41.723972, -87.674834 41.72519, -87.674146 41.725592, -87.670146 41.725579, -87.668146 41.724613), (-87.671146 41.718339, -87.667749 41.719792, -87.666074 41.72119, -87.667454 41.721882, -87.668146 41.722991, -87.668584 41.722752, -87.668513 41.72319, -87.670146 41.72392, -87.672146 41.723824, -87.673146 41.724896, -87.677385 41.72119, -87.676146 41.719815, -87.672146 41.717128, -87.671146 41.718339))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","POLYGON ((-87.664953 41.974417, -87.662953 41.974199, -87.661848 41.974551, -87.659953 41.976281, -87.658953 41.975872, -87.655774 41.973551, -87.653979 41.971551, -87.658464 41.967062, -87.660953 41.966004, -87.665228 41.968551, -87.663397 41.968995, -87.662313 41.970551, -87.662529 41.970976, -87.665129 41.971376, -87.666636 41.972551, -87.664953 41.974417), (-87.662982 41.968551, -87.660953 41.967411, -87.658953 41.968312, -87.655651 41.971551, -87.657809 41.973551, -87.659953 41.974799, -87.664693 41.972551, -87.662326 41.971179, -87.662261 41.969859, -87.662961 41.969559, -87.662982 41.968551))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.589877 41.808853, -87.589728 41.807493, -87.588861 41.80687, -87.588485 41.805245, -87.587773 41.804958, -87.587237 41.80383, -87.586237 41.804189, -87.584699 41.802493, -87.587237 41.80007, -87.589237 41.800684, -87.595859 41.805493, -87.595898 41.806493, -87.594421 41.807493, -87.593237 41.810022, -87.592237 41.810453, -87.591237 41.81029, -87.589877 41.808853), (-87.594 41.805493, -87.592237 41.804286, -87.591237 41.804383, -87.58947 41.80226, -87.588237 41.801582, -87.586783 41.802493, -87.587569 41.803161, -87.587709 41.804493, -87.588622 41.805109, -87.588985 41.806745, -87.589947 41.807493, -87.590237 41.808823, -87.591709 41.808965, -87.593935 41.806493, -87.594 41.805493))",41.80549277198318,-87.58923748614112
