,Branch,Average Walking Time (Minutes)
0,Albany Park,13.139007467215864
1,Altgeld,18.831049518854336
2,Archer Heights,15.490422384574439
3,Austin,15.193524721181824
4,Austin-Irving,13.413431937305774
5,Avalon,16.166890823171887
6,Back of the Yards,12.704905307041932
7,Beverly,14.96666505393524
8,Bezazian,11.698197463107508
9,Blackstone,15.18484969311368
10,Brainerd,14.846837467596679
11,Brighton Park,13.056116514844327
12,Bucktown-Wicker Park,12.110117614021302
13,Budlong Woods,13.1720804476513
14,Canaryville,12.971192903894048
15,Chicago Bee,10.471100628529207
16,Chicago Lawn,13.783888575634919
17,Chinatown,12.960793879274066
18,Clearing,16.852679443466364
19,Coleman,13.92175569568766
20,"Daley, Richard J. - Bridgeport",12.226339047654974
21,"Daley, Richard M. - W. Humboldt",14.884410147167445
22,Douglass,13.965268780989376
23,Dunning,15.353889634680657
24,Edgebrook,17.107076814750574
25,Edgewater,10.972877978823647
26,Gage Park,11.593166361052283
27,Galewood-Mont Clare,16.019254290680994
28,Garfield Ridge,17.01203059934574
29,Greater Grand Crossing,15.116504227724104
30,Hall,14.204604910186406
31,Harold Washington Library Center,13.813691186591544
32,Hegewisch,18.34253997697722
33,Humboldt Park,11.502408533410742
34,Independence,15.0472458606817
35,Jefferson Park,15.090850978458516
36,Jeffery Manor,16.254319152305644
37,Kelly,17.012628440241333
38,King,14.378501196696643
39,Legler Regional,15.007881156426551
40,Lincoln Belmont,12.821858837064253
41,Lincoln Park,13.182805409702269
42,Little Italy,9.9706721749417
43,Little Village,13.48972440235091
44,Logan Square,16.157651718241738
45,Lozano,13.045601001813381
46,Manning,14.69845355697001
47,Mayfair,13.900427979177199
48,McKinley Park,14.394350590756131
49,Merlo,12.009620412750527
50,Mount Greenwood,17.24485058839735
51,Near North,12.870403642201389
52,North Austin,15.114752685468998
53,North Pulaski,15.272356391213622
54,Northtown,15.571973010945445
55,Oriole Park,17.206427614351842
56,Portage-Cragin,16.55496827362657
57,Pullman,15.609754497832485
58,Roden,18.996993423897408
59,Rogers Park,14.56086074215914
60,Scottsdale,17.706853064353442
61,Sherman Park,13.247372564005602
62,South Chicago,16.34572652833703
63,South Shore,14.577801097344079
64,Sulzer Regional,13.99344035538395
65,Thurgood Marshall,16.130537501081342
66,Toman,15.069197982662637
67,Uptown,12.34557592180965
68,Vodak-East Side,15.678157454111865
69,Walker,18.833812167614663
70,Water Works,11.813795133796365
71,West Belmont,13.88382837998299
72,West Chicago Avenue,12.835825391038922
73,West Englewood,15.7810389555825
74,West Lawn,15.020767600656018
75,West Loop,11.577211091929188
76,West Pullman,19.5275997689113
77,West Town,11.76907128437319
78,"Whitney M. Young, Jr.",14.991330857799184
79,Woodson Regional Library,16.837319349750757
80,Wrightwood-Ashburn,15.091953746310864
