,Branch,Average Walking Time (Minutes)
0,Albany Park,13.142419651342975
1,Altgeld,18.829924600249402
2,Archer Heights,15.48467199664016
3,Austin,15.213130734603748
4,Austin-Irving,13.32995688591564
5,Avalon,16.173583707235984
6,Back of the Yards,12.735317776940926
7,Beverly,14.967220869512886
8,Bezazian,11.800967853397468
9,Blackstone,15.207993645702947
10,Brainerd,14.930979858784585
11,Brighton Park,13.110092146872887
12,Bucktown-Wicker Park,12.234723590183842
13,Budlong Woods,13.14729949860732
14,Canaryville,12.97938486010578
15,Chicago Bee,10.506975394096832
16,Chicago Lawn,13.734381405413357
17,Chinatown,12.681316764869226
18,Clearing,16.88444558400303
19,Coleman,13.836609048489086
20,"Daley, Richard J. - Bridgeport",12.211097265692604
21,"Daley, Richard M. - W. Humboldt",14.165376468904661
22,Douglass,14.232459814574412
23,Dunning,15.429029447088297
24,Edgebrook,17.054101859057745
25,Edgewater,10.90604124038634
26,Gage Park,11.603985512965552
27,Galewood-Mont Clare,16.042817029270232
28,Garfield Ridge,17.00644753904488
29,Greater Grand Crossing,15.327112773577475
30,Hall,14.07348457523591
31,Harold Washington Library Center,12.571874067342998
32,Hegewisch,18.34222566267018
33,Humboldt Park,11.469881520233086
34,Independence,15.055809729137367
35,Jefferson Park,15.089471175899952
36,Jeffery Manor,16.44272293576414
37,Kelly,17.01959234935767
38,King,14.444979052238727
39,Legler Regional,15.079274890039082
40,Lincoln Belmont,12.70416755891652
41,Lincoln Park,13.274033657476526
42,Little Italy,8.41078281751128
43,Little Village,13.730833568922023
44,Logan Square,15.84499918063939
45,Lozano,12.887585988149148
46,Manning,14.65513704351973
47,Mayfair,13.142816780948827
48,McKinley Park,14.437010016315666
49,Merlo,11.822825667097591
50,Mount Greenwood,17.257018532479766
51,Near North,12.492343089238178
52,North Austin,14.685257415051058
53,North Pulaski,15.301943115062233
54,Northtown,15.646002334300272
55,Oriole Park,17.246187715707393
56,Portage-Cragin,16.565122029232146
57,Pullman,15.65571842321949
58,Roden,19.061631195142176
59,Rogers Park,14.658367511787713
60,Scottsdale,17.70740636670173
61,Sherman Park,13.44967673301808
62,South Chicago,16.365666787246493
63,South Shore,14.559796853299845
64,Sulzer Regional,13.878711930260662
65,Thurgood Marshall,16.26862535081541
66,Toman,15.13591892668924
67,Uptown,12.410360290073527
68,Vodak-East Side,15.682740306870931
69,Walker,18.728473182973236
70,Water Works,11.669201233473375
71,West Belmont,13.79121109784651
72,West Chicago Avenue,12.883460276997779
73,West Englewood,15.736118283253418
74,West Lawn,15.126602333719077
75,West Loop,11.60757855242996
76,West Pullman,19.571256567682095
77,West Town,11.441155938784659
78,"Whitney M. Young, Jr.",15.071007565264955
79,Woodson Regional Library,16.81969613793991
80,Wrightwood-Ashburn,14.955607721666254
