,Branch,Average Walking Time (Minutes)
0,Albany Park,13.65191626316269
1,Altgeld,19.556909836734604
2,Archer Heights,17.037707869324823
3,Austin,17.169103965909617
4,Austin-Irving,13.819421609497658
5,Avalon,15.792219559615894
6,Back of the Yards,13.619696331116996
7,Beverly,14.616732986788938
8,Bezazian,12.12984965754063
9,Blackstone,15.197201900954912
10,Brainerd,15.415823949914392
11,Brighton Park,11.832881063071468
12,Bucktown-Wicker Park,10.97225024526899
13,Budlong Woods,13.584592935962439
14,Canaryville,13.03275529376176
15,Chicago Bee,10.081584523871799
16,Chicago Lawn,15.322622755672107
17,Chinatown,14.224279878354228
18,Clearing,15.00507452735212
19,Coleman,16.925484223513042
20,"Daley, Richard J. - Bridgeport",11.288604270701388
21,"Daley, Richard M. - W. Humboldt",13.72224574398471
22,Douglass,14.782287934787554
23,Dunning,14.411556009330798
24,Edgebrook,16.6431461023621
25,Edgewater,11.204814468789134
26,Gage Park,11.634858188692371
27,Galewood-Mont Clare,18.21712409491796
28,Garfield Ridge,15.495563854399144
29,Greater Grand Crossing,16.769208198684666
30,Hall,14.81619443630971
31,Harold Washington Library Center,13.303778735194498
32,Hegewisch,18.469264076904885
33,Humboldt Park,11.436453218458293
34,Independence,14.968521393589524
35,Jefferson Park,14.6747556782371
36,Jeffery Manor,16.98569889128823
37,Kelly,19.387598049529387
38,King,15.753670905003734
39,Legler Regional,15.895166039314118
40,Lincoln Belmont,12.102625902746631
41,Lincoln Park,13.21237660167495
42,Little Italy,9.88395571145609
43,Little Village,14.899914447035211
44,Logan Square,14.525160937262749
45,Lozano,12.498336065438025
46,Manning,15.49725779979846
47,Mayfair,14.321513340805474
48,McKinley Park,12.556781533496272
49,Merlo,12.042499759776721
50,Mount Greenwood,17.449650074316537
51,Near North,13.045839016335963
52,North Austin,12.943123613480546
53,North Pulaski,14.219993115474278
54,Northtown,16.059102789484186
55,Oriole Park,17.335117420394717
56,Portage-Cragin,16.954958172812898
57,Pullman,16.054700378972008
58,Roden,19.623768886504365
59,Rogers Park,15.55108650429461
60,Scottsdale,17.99370176011103
61,Sherman Park,12.728387663748784
62,South Chicago,17.97300675281684
63,South Shore,14.395249017257003
64,Sulzer Regional,13.652899940923959
65,Thurgood Marshall,16.881891184145164
66,Toman,14.742923048478769
67,Uptown,12.962181321412325
68,Vodak-East Side,17.738863733770867
69,Walker,17.51059694966372
70,Water Works,11.768854700221278
71,West Belmont,13.288499790792478
72,West Chicago Avenue,13.882239513469615
73,West Englewood,17.328014534431407
74,West Lawn,14.61633950162088
75,West Loop,12.092526847311548
76,West Pullman,20.448190307185108
77,West Town,11.582401902784095
78,"Whitney M. Young, Jr.",14.443834518238585
79,Woodson Regional Library,16.113057144606557
80,Wrightwood-Ashburn,14.40766776609383
