Branch,Avg Cycling White,Avg Cycling Black or African American,Avg Cycling: High School or More,Avg Cycling: Bachelors or More,Avg Cycling: Masters or More,Avg Cycling At or Above Poverty,Avg Cycling In Poverty,"Avg Cycling Income: $150,000 to $199,999",Avg Cycling Employed,Avg Cycling Unemployed,Avg Cycling Has Internet Access,Avg Cycling Has No Internet Access
Albany Park,4.595251937228718,4.060460514538342,4.494347520858359,4.564481636206083,4.613487675484587,4.450554625245053,4.347336933477843,4.417020688972478,4.448001891839781,4.257889193854655,4.394028106895212,4.877895877824518
Altgeld,15.52112271334664,13.851118518452006,14.220209307935178,14.674222109985529,13.851244515457466,14.529185566083722,12.944194939294787,14.455859315276722,14.144523461821008,13.67107624703135,14.222822927559776,12.93241747680244
Archer Heights,5.615593505117644,9.448146462372074,5.86572379237207,6.175375802828737,6.513980330437268,5.679142135664722,6.818695259661786,5.275270088637358,5.790324592675609,5.708038964797622,5.796019175790444,5.7190174520444135
Austin,8.677754431019375,5.53466446476332,7.299369541615087,7.834246378713798,7.478808309597372,7.847468129499763,6.309505344080915,8.55328048319348,7.766216503343204,5.693150259793811,7.7471986224544445,6.507259763598055
Austin-Irving,4.276270624325249,4.283738028057629,4.211601948242319,4.253714930497914,4.321359426119071,4.205329672356525,4.41763124276892,4.076546957311508,4.210153792140473,4.38904582410919,4.182463431476858,4.440667037884766
Avalon,6.251015708307646,5.594209916114309,5.591320223761432,5.446223141553968,5.379630062457673,5.602520027955614,5.612334607946517,4.870745638883007,5.581784785305427,5.759850622490858,5.63752687702467,5.452939644604175
Back of the Yards,3.774056441133167,4.503859806332514,3.8896556396653046,3.9634188468706175,4.120001584140306,3.735884790598712,3.9861242359870994,4.160704678877538,3.7694893092164152,3.992208140329993,3.851509354204398,3.579526975493375
Beverly,4.9392460365439295,4.346933146735026,4.696531514653257,4.6094270140582685,4.6019382434993545,4.729960346010715,4.39058152286324,4.697071706710494,4.744116959310266,4.236112372785661,4.696531054996338,4.694255218645291
Bezazian,3.8955333162557344,3.321703240953155,3.8291302251693575,3.86574407383174,3.886235053865095,3.868754280965091,3.3768348299237267,3.905022019217273,3.783302781763645,3.926175677987017,3.8199220974082575,3.5189849573090077
Blackstone,5.57228064175895,5.958959025076836,5.729627114988644,5.591281178944065,5.632649251183365,5.740358955410971,5.697501381362175,5.58872397386403,5.655968916095849,6.521719618940386,5.710216501086938,5.984859703132894
