,Branch,WT: All,WT: White,WT: Black or African American,WT: Degree: Less than High School,WT: Degree: High School or More,WT: Degree: Some College or More,WT: Degree: Bachelors or More,WT: Degree: Masters or More,WT: In Poverty,WT: At or Above Poverty,"WT: Income: $10,000 to $14,999","WT: Income: $150,000 to $199,999",WT: Unemployed,WT: Employed,WT: Has No Internet Access,WT: Has Internet Access,WT: Has No Computer,WT: Has Computer,"WT: Transportation: Car, Truck, or Van"
0,Albany Park,13.23356732979644,13.51214830091871,12.330002131708444,12.862312054059693,13.529191343904042,13.647220714987107,13.703531810786822,13.81657689691508,12.827638408002635,13.311758610832277,13.743454527765127,13.439790181045538,13.124751863900341,13.135965369689844,14.404086230080528,13.375155098817443,15.33574207974347,13.376897999573535,13.394252615954025
1,Altgeld,18.91703464968557,21.03991826026446,18.64270069318865,19.401587995559176,19.277932902808516,19.573096303971848,20.77559033380244,20.044176006783992,18.35368265864578,19.604867662422883,18.713677546818452,20.69863189115034,18.28784164522159,19.41307709837729,19.062587557871705,19.045765311255952,19.044390884050863,19.04846191238294,19.727853924772766
2,Archer Heights,15.446260093811073,15.11394840581088,20.25384328763596,15.589829425332056,15.535583580853187,15.97113354148137,16.55901846191806,17.16244107770379,16.884652729845246,15.345675697241207,14.058599524310033,14.469812017496617,15.025948328607798,15.574834697324262,15.187293534516954,15.554997552445453,15.101321284092556,15.56262670069415,15.799052858493397
3,Austin,14.831673368148753,17.02794938551029,13.96516945234348,13.322457288994844,14.732874641406713,15.41984959477269,16.80614659835074,16.9756598609281,12.756276683284858,15.383536626422366,12.63131921968783,19.24322699773463,13.468406787912533,15.411427688513701,12.730908482615675,14.884238680072077,12.164467318012532,14.862000716937931,15.238796438751496
4,Austin-Irving,13.433403990367362,13.616476286831452,13.565468908071512,13.699508838308038,13.507632097556067,13.567823100177183,13.678198585712167,13.92769852355571,13.979473894190713,13.335336313968595,13.291966562226841,13.27497316674498,13.772180687767461,13.290526973723729,14.42964414268201,13.570293057540905,14.012221037761853,13.666344740883408,13.235743447585328
5,Avalon,16.08422376124586,17.002925385400687,16.116427875833477,15.916325694282232,16.187580571627535,16.302248243889494,16.201984058269154,15.899344581449878,16.13492296867876,16.29379179490764,17.343233598390643,14.551187458555201,15.640289364103815,16.155748769848543,15.787690811475827,16.301431748805886,15.607832617496218,16.30103392951102,16.043566593946565
6,Back of the Yards,12.57634357090684,12.537095094959412,14.393448961125538,12.168619168134589,12.906893810697301,13.290182509864609,13.283312882836938,13.72600552599409,13.221106994384078,12.462997954433146,13.99995955352819,14.034691529763082,13.046269710252842,12.633725386191548,12.05789779983589,12.976879141442033,12.086836151812639,12.942605193374684,12.465293108209352
7,Beverly,14.969575608773257,15.581006331108238,14.22642956961995,14.632890564409616,14.854757217032082,14.792865208648879,14.612989338428118,14.55885920404316,14.075399163870639,15.038850705328045,14.767106598487523,14.905409482231253,13.512531948537994,15.093746047240915,14.676509722912169,14.917622434195417,14.547245686220828,14.916183650093405,15.421732587721328
8,Bezazian,11.703399173734521,12.042381950536855,10.203379468608576,10.50803275903197,11.891452097708067,11.94770420649287,12.062028863421855,12.175932337955787,10.300294343864989,11.857195275777414,9.65914803151089,12.093882261534585,12.306183558538837,11.664001974256967,10.877453414283229,11.814322371256283,10.457048313097502,11.720899349402107,11.865328166014868
9,Blackstone,15.313179325438522,15.274082596077298,15.340534066071855,15.72029908789763,15.04437588670742,14.894730016683155,14.82783662019886,14.923937866135812,15.470868833251703,14.84404414770877,15.495854385813171,14.330251016170841,16.97886126045167,14.910418460340903,16.114467906551877,14.97711107405242,15.957406443340226,14.961321068126217,15.327055446780811
10,Brainerd,14.932938020468796,14.811109136570488,14.772917063290144,15.175958915557171,14.708069917453576,14.750000227415724,15.11328381571164,15.235275266690158,14.508759737775055,14.859854057161506,15.164686306665391,17.0272847330968,14.430295145583312,15.04567999707129,14.671418006156348,14.739282680241944,15.173995580175502,14.660303101610431,15.241154906769655
11,Brighton Park,12.843870757607434,13.022217207071288,16.504077161728848,12.781617450122285,12.748289832728922,13.07208661770351,12.310261105626239,11.767555675057727,12.359042849464329,12.921550033496565,12.661362974128854,13.362655437404976,13.139816973476888,12.643199606580762,11.325211335864138,12.94873749252826,10.985112694952967,12.897066320232137,12.829407118498063
12,Bucktown-Wicker Park,11.331655454237577,11.235226144996751,12.225463051020531,11.87401538904149,11.319077425882492,11.222917097454184,11.090214408667324,10.980783637949335,12.245688021440449,11.282311726280623,12.53339296981925,10.801098589038675,11.845420198814034,11.29170007469413,11.932222602333356,12.247213192140608,11.932868501817826,12.172895033334651,11.4990530946543
13,Budlong Woods,13.229680766231196,13.60895715127789,11.82814926656975,13.478161927194279,13.02144608361075,13.183624222197228,13.270058352878591,13.518253363778596,12.323312721941756,12.921481224576143,12.542639063960886,14.095289440135794,12.39594219654812,12.798609805896207,13.535025527451808,12.995360541836009,13.871052693303788,13.003214293420665,13.166087147369604
14,Canaryville,13.002784178469684,12.305898001236102,14.0989499309183,13.63444603486722,12.801873397702764,12.793529802780307,12.760346506266925,13.042708258672533,13.508535252931402,12.86555297859598,13.10859555610887,12.731797317882933,13.25241254720446,12.860460228580017,13.151868600551916,12.970557891134687,13.256461093819214,12.96122515832928,12.768907849032235
15,Chicago Bee,10.623133613834552,10.526788992125685,10.577300191520848,11.958973507966638,10.50114108463692,10.24169666553363,10.43296502104239,10.363171846771658,10.599948315686758,10.699920082904413,10.826201677564638,10.082681293669996,10.755734576353266,10.608855272594832,11.097257914020728,10.592859447236254,11.508855508564658,10.537125101173427,11.422329870077512
16,Chicago Lawn,13.52124746223554,12.232683926645317,17.019421574151508,12.103910456909432,13.860963894602952,15.168488252424847,13.412511838022073,15.33423802724825,13.815934902040254,13.465728346658938,12.938660472707706,12.66867670944566,13.160882198786535,13.578333399512443,12.719808085990255,13.674724566241656,12.409404839825413,13.724155759971662,13.70667226643325
17,Chinatown,13.33581004053575,14.016433175788697,13.786386143739572,11.34196070117157,13.63322427417585,13.748467204774533,13.725231385590552,14.24965244155982,13.370459420605949,13.328777256352318,12.253912523131001,13.737752315451335,14.390395286078041,13.413870623808151,11.689687259209046,12.790806438947113,11.455225338273712,12.931672336781014,13.539233159999247
18,Clearing,16.961836852944067,16.530807284160353,20.86372573813552,19.190246744814033,16.420038112057203,15.869090957192439,15.654206594352582,14.993988235045006,17.972150779083936,16.55955430065428,16.454185349844742,13.594827764346991,16.856159142313714,16.588908885969637,17.009809180771985,16.670122254448376,17.27807858784686,16.632287282726146,16.592194882175235
