,Branch,Average Cycling Time (Minutes)
0,Albany Park,4.437810709885564
1,Altgeld,14.056106343511075
2,Archer Heights,5.780902575848169
3,Austin,7.555355166397666
4,Austin-Irving,4.218487711690861
5,Avalon,5.604140204865785
6,Back of the Yards,3.8020450009292253
7,Beverly,4.69640155141401
8,Bezazian,3.7892950098043188
9,Blackstone,5.729478592980883
10,Brainerd,4.537141848360886
11,Brighton Park,4.335449210862047
12,Bucktown-Wicker Park,3.736647045918714
13,Budlong Woods,4.0137227838824465
14,Canaryville,4.135192424983975
15,Chicago Bee,3.687780539685393
16,Chicago Lawn,4.748332532067689
17,Chinatown,4.502364541402348
18,Clearing,5.509623832282269
19,Coleman,4.8076601925865345
20,"Daley, Richard J. - Bridgeport",4.268925770748502
21,"Daley, Richard M. - W. Humboldt",4.436581106330984
22,Douglass,4.550160978391556
23,Dunning,9.274675025477745
24,Edgebrook,6.676773110715862
25,Edgewater,3.8183944790285658
26,Gage Park,3.938215127611821
27,Galewood-Mont Clare,5.489347965254606
28,Garfield Ridge,5.864356310974986
29,Greater Grand Crossing,5.066660009803691
30,Hall,5.423041832930527
31,Harold Washington Library Center,5.750439985158152
32,Hegewisch,14.240008547806944
33,Humboldt Park,3.91874135513317
34,Independence,4.829516724126392
35,Jefferson Park,4.776652634383358
36,Jeffery Manor,11.141015737698769
37,Kelly,5.458486271135783
38,King,5.814870913828055
39,Legler Regional,5.867595758629983
40,Lincoln Belmont,4.08586492972023
41,Lincoln Park,4.149769095503149
42,Little Italy,3.21259301648466
43,Little Village,4.71395108660319
44,Logan Square,5.3563241788892215
45,Lozano,4.511307631327354
46,Manning,5.2240691199157485
47,Mayfair,4.68013691982826
48,McKinley Park,5.596977057689236
49,Merlo,4.093734792396627
50,Mount Greenwood,8.170897494955799
51,Near North,4.214512395223525
52,North Austin,4.6389084114584005
53,North Pulaski,5.132897744980328
54,Northtown,5.79188915408249
55,Oriole Park,9.775590398423248
56,Portage-Cragin,5.5945836964223155
57,Pullman,5.108956564641287
58,Roden,7.507747853809582
59,Rogers Park,4.813684348724255
60,Scottsdale,6.517308504542179
61,Sherman Park,4.47077087169004
62,South Chicago,6.6733782938927995
63,South Shore,5.899670045357948
64,Sulzer Regional,4.822318126360968
65,Thurgood Marshall,5.5174672818091
66,Toman,6.449806134247727
67,Uptown,4.593848170831458
68,Vodak-East Side,6.120202205238411
69,Walker,5.8167952378300445
70,Water Works,4.939335158252716
71,West Belmont,4.662367246903817
72,West Chicago Avenue,4.871866921246936
73,West Englewood,5.793878756657831
74,West Lawn,5.668163789109403
75,West Loop,4.750791326462783
76,West Pullman,6.5695918119296515
77,West Town,4.21835501593593
78,"Whitney M. Young, Jr.",5.393937140895283
79,Woodson Regional Library,6.357643135270079
80,Wrightwood-Ashburn,6.915018022219985
