,Branch,Average Walking Time (Minutes)
0,Albany Park,13.228100841044302
1,Altgeld,18.833803066445157
2,Archer Heights,15.424347466717318
3,Austin,14.815993093097235
4,Austin-Irving,13.433196743054214
5,Avalon,16.06768989542214
6,Back of the Yards,12.5757544563906
7,Beverly,14.955513131234301
8,Bezazian,11.703381535903235
9,Blackstone,15.306677835978446
10,Brainerd,14.913877727009412
11,Brighton Park,12.841280390691264
12,Bucktown-Wicker Park,11.331655454237577
13,Budlong Woods,13.225298493158844
14,Canaryville,12.996757279546033
15,Chicago Bee,10.623133613834552
16,Chicago Lawn,13.491774443507401
17,Chinatown,13.329863530978235
18,Clearing,16.9333425129939
19,Coleman,14.097642054749882
20,"Daley, Richard J. - Bridgeport",12.260073814638272
21,"Daley, Richard M. - W. Humboldt",14.240372929840953
22,Douglass,14.02775831576795
23,Dunning,15.314922472309085
24,Edgebrook,17.10329071305101
25,Edgewater,10.976248896282366
26,Gage Park,11.720909288219445
27,Galewood-Mont Clare,15.916683476183199
28,Garfield Ridge,16.97032610449729
29,Greater Grand Crossing,15.12709643653748
30,Hall,14.265404275290594
31,Harold Washington Library Center,13.06269423005517
32,Hegewisch,18.346039789696782
33,Humboldt Park,11.472524705579385
34,Independence,15.115433495728432
35,Jefferson Park,15.064436763613255
36,Jeffery Manor,16.31085497607897
37,Kelly,16.624483277987082
38,King,14.355220651085364
39,Legler Regional,14.875196345390503
40,Lincoln Belmont,12.484410682160556
41,Lincoln Park,12.980014852296918
42,Little Italy,9.877276063668488
43,Little Village,13.390022009607868
44,Logan Square,15.87498327225983
45,Lozano,13.037864890306983
46,Manning,14.57039899189665
47,Mayfair,13.140148691056801
48,McKinley Park,14.412316883777867
49,Merlo,11.838437658440144
50,Mount Greenwood,17.154811117386153
51,Near North,12.825447218757596
52,North Austin,14.73895442286473
53,North Pulaski,15.229869734136683
54,Northtown,15.640333616718111
55,Oriole Park,17.112081512831846
56,Portage-Cragin,16.549424874497326
57,Pullman,15.407911762862637
58,Roden,18.666054663695967
59,Rogers Park,14.635677595971458
60,Scottsdale,17.69446057880087
61,Sherman Park,13.195839250895409
62,South Chicago,16.175659075448788
63,South Shore,14.65960638533448
64,Sulzer Regional,13.869330896533182
65,Thurgood Marshall,16.205231251215483
66,Toman,14.819137547616219
67,Uptown,12.37206557001262
68,Vodak-East Side,15.584611778902447
69,Walker,18.806466930807925
70,Water Works,11.544491191874641
71,West Belmont,14.062661440850713
72,West Chicago Avenue,12.754787613650336
73,West Englewood,15.739352393690638
74,West Lawn,14.973094117202317
75,West Loop,11.938743562304595
76,West Pullman,19.417139367255576
77,West Town,11.655752180692064
78,"Whitney M. Young, Jr.",15.007914261025356
79,Woodson Regional Library,16.768074136501934
80,Wrightwood-Ashburn,15.063057485610495
