,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE,list of dict
0,Albany Park,"(41.97557881655979, -87.71361314512697)","POLYGON ((-87.713613 41.990993, -87.714753 41.990718, -87.719054 41.987579, -87.719562 41.986579, -87.719009 41.985579, -87.719507 41.983472, -87.720613 41.9843, -87.721613 41.984267, -87.722875 41.98284, -87.724664 41.982579, -87.721211 41.981981, -87.721285 41.976907, -87.719613 41.976829, -87.719472 41.976438, -87.723256 41.976579, -87.728613 41.980068, -87.729613 41.978122, -87.733993 41.976579, -87.734216 41.975579, -87.733558 41.974634, -87.731481 41.973711, -87.729613 41.973931, -87.729327 41.973293, -87.72998 41.972579, -87.729585 41.971607, -87.727613 41.969899, -87.723893 41.967299, -87.721135 41.966057, -87.71865 41.963542, -87.713359 41.960325, -87.712613 41.96039, -87.704613 41.966282, -87.699391 41.968357, -87.699731 41.969697, -87.692978 41.975579, -87.693347 41.976579, -87.694817 41.977374, -87.698613 41.980681, -87.699613 41.980749, -87.701613 41.982143, -87.702613 41.981971, -87.703588 41.982579, -87.702613 41.983647, -87.705613 41.984943, -87.710613 41.988822, -87.71208 41.989112, -87.712613 41.990328, -87.713613 41.990993))",41.97557881655979,-87.71361314512697,"[{17031140800: 0.24265316937897238, 17031040700: 0.01594923646403043, 17031160501: 0.03937628691877938, 17031140702: 0.8367370123081231, 17031140601: 0.018991158810237725, 17031140602: 0.37657336837495076, 17031140701: 1.0, 17031140301: 0.8475181445133716, 17031140200: 1.0, 17031140100: 1.0, 17031140302: 0.9992520391141115, 17031040300: 0.9076775441084435, 17031831800: 0.8300433232231164, 17031130300: 0.8552926672655922, 17031020701: 0.12997209405183635, 17031130100: 0.035350934502232596, 17031140400: 0.015349310174501293, 17031130200: 0.10664063284855878, 17031040201: 0.276187577315336, 17031040202: 0.1656237101996963}]"
1,Altgeld,"(41.65719847558056, -87.59883829075173)","POLYGON ((-87.599838 41.666689, -87.60132 41.666198, -87.59967 41.664367, -87.599492 41.662545, -87.598745 41.662292, -87.598786 41.660147, -87.605734 41.660094, -87.606838 41.659711, -87.607838 41.661531, -87.608838 41.660032, -87.611056 41.659981, -87.611838 41.660873, -87.612557 41.659917, -87.613978 41.659338, -87.611657 41.658198, -87.612188 41.657548, -87.612095 41.653198, -87.612852 41.652198, -87.610838 41.650582, -87.608838 41.651399, -87.608486 41.650551, -87.604838 41.650623, -87.60371 41.650327, -87.603393 41.649644, -87.601838 41.649413, -87.601268 41.649628, -87.600934 41.651294, -87.598114 41.651474, -87.598114 41.652922, -87.598886 41.653246, -87.593996 41.653356, -87.593838 41.654275, -87.591838 41.654286, -87.591625 41.653412, -87.590708 41.653198, -87.591463 41.652823, -87.592564 41.651198, -87.592306 41.649731, -87.588838 41.649786, -87.588426 41.650198, -87.589064 41.650973, -87.588838 41.654318, -87.585686 41.65435, -87.583838 41.652592, -87.582848 41.653208, -87.583427 41.65461, -87.584838 41.655959, -87.589906 41.65613, -87.59009 41.657947, -87.591919 41.658118, -87.591953 41.659198, -87.588132 41.659492, -87.585623 41.660198, -87.588132 41.660905, -87.590945 41.661092, -87.590062 41.662198, -87.590286 41.662751, -87.591356 41.66368, -87.592183 41.663853, -87.592838 41.664741, -87.59338 41.664198, -87.592493 41.663544, -87.59264 41.662198, -87.593529 41.661889, -87.593752 41.661112, -87.594838 41.661099, -87.595111 41.662926, -87.595938 41.663099, -87.59619 41.663847, -87.596954 41.664082, -87.599838 41.666689))",41.65719847558056,-87.59883829075173,"[{17031540101: 0.2852409919978611, 17031550200: 0.006462013886188789, 17031540102: 0.23548056303373108, 17031838800: 0.0012776283041793645}]"
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.723484 41.815393, -87.724484 41.815145, -87.725484 41.815695, -87.728604 41.815228, -87.730484 41.81245, -87.731484 41.813329, -87.732103 41.811728, -87.733484 41.81109, -87.734484 41.809676, -87.737484 41.808724, -87.738236 41.808108, -87.736306 41.807286, -87.736484 41.806914, -87.737935 41.80656, -87.738056 41.806108, -87.737941 41.805651, -87.7364 41.805025, -87.738262 41.804886, -87.738484 41.804496, -87.739484 41.804953, -87.740039 41.804664, -87.744008 41.801632, -87.746597 41.798108, -87.74405 41.796542, -87.743484 41.795717, -87.739156 41.795781, -87.738484 41.796339, -87.738111 41.795481, -87.737181 41.795108, -87.737303 41.793108, -87.736484 41.792166, -87.729484 41.787634, -87.727484 41.786779, -87.725081 41.788705, -87.724484 41.788884, -87.723484 41.788013, -87.721484 41.788843, -87.713484 41.795413, -87.712484 41.799643, -87.711484 41.798482, -87.709484 41.799328, -87.708197 41.801108, -87.711865 41.802727, -87.712484 41.802785, -87.713594 41.801999, -87.71388 41.804108, -87.714701 41.804891, -87.715611 41.805108, -87.715563 41.806187, -87.714484 41.806258, -87.713484 41.807305, -87.712484 41.807108, -87.711484 41.806105, -87.70896 41.808108, -87.71002 41.809108, -87.710159 41.810433, -87.712484 41.811416, -87.712914 41.809539, -87.71484 41.808753, -87.718484 41.813549, -87.719306 41.81193, -87.720484 41.811881, -87.721122 41.813471, -87.723484 41.815393))",41.80110836194246,-87.72648385568911,"[{17031835200: 0.31115577131892175, 17031560300: 0.03140733527444522, 17031560400: 0.4962080827775829, 17031620300: 0.5325258092085559, 17031620400: 0.27400203623181263, 17031620200: 0.976449458352773, 17031570500: 0.999807796092996, 17031630300: 0.15847842328588643, 17031620100: 0.9595871370148478, 17031570300: 0.9773769173063052, 17031570400: 0.9526493591519314, 17031580400: 0.06969720744369642, 17031842800: 0.029872450874956522, 17031560100: 2.7241846612980995e-06, 17031570200: 0.36048250801271187, 17031570100: 0.26498556049644273}]"
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.76582 41.904379, -87.76782 41.903617, -87.77082 41.90152, -87.782848 41.892201, -87.784305 41.890173, -87.78391 41.889173, -87.784676 41.888173, -87.78182 41.885367, -87.77782 41.882945, -87.77682 41.881624, -87.770076 41.876917, -87.76882 41.87645, -87.768487 41.876839, -87.767333 41.87666, -87.76682 41.875497, -87.765797 41.875196, -87.76482 41.873971, -87.76382 41.874278, -87.758039 41.879173, -87.753881 41.881233, -87.752435 41.883173, -87.74982 41.884468, -87.747575 41.886173, -87.746232 41.889173, -87.748523 41.892173, -87.751528 41.894173, -87.7536 41.896173, -87.75882 41.899307, -87.75982 41.900454, -87.76582 41.904379))",41.88917312206642,-87.7658203582574,"[{17031252101: 0.3298402493506001, 17031813000: 0.0031781028316458814, 17031252102: 0.38116673973710524, 17031812600: 1.0, 17031252000: 1.0, 17031251900: 0.9988876520276546, 17031251800: 0.31540823240216237, 17031251400: 1.0, 17031251500: 1.0, 17031251600: 0.8717709228548444, 17031251700: 0.0825797733002823, 17031812500: 1.0, 17031251300: 0.8549440799654505, 17031251200: 0.7690908125668092, 17031251100: 0.08347079189373344, 17031812100: 0.019117524225853437, 17031250600: 0.08081166916004862, 17031250700: 0.04843777720090381}]"
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.776285 41.966283, -87.777285 41.966878, -87.779426 41.965981, -87.782285 41.966849, -87.78508 41.964918, -87.786285 41.96344, -87.787285 41.963147, -87.79153 41.960123, -87.790757 41.959123, -87.79176 41.958123, -87.791227 41.957123, -87.792888 41.956123, -87.793197 41.954035, -87.795441 41.953966, -87.795661 41.955123, -87.796622 41.95546, -87.797168 41.955123, -87.79668 41.954728, -87.796924 41.953762, -87.799753 41.953123, -87.798111 41.951123, -87.794917 41.949491, -87.794364 41.948043, -87.793285 41.94849, -87.792285 41.947568, -87.790626 41.947123, -87.790285 41.94553, -87.787285 41.943144, -87.779285 41.9382, -87.778285 41.938009, -87.765276 41.948114, -87.761975 41.950123, -87.758511 41.953123, -87.759285 41.95458, -87.761285 41.956556, -87.765285 41.958428, -87.776285 41.966283))",41.95312267684315,-87.77928489355646,"[{17031190401: 0.006380952378444438, 17031151200: 0.36191836863343274, 17031150600: 0.9894379846606407, 17031150700: 0.3960071798187208, 17031171000: 0.043807798872178484, 17031171100: 0.8019987324457672, 17031170300: 0.39661893047541086, 17031170200: 1.0, 17031170100: 0.44528921134089383, 17031150502: 1.0, 17031150402: 0.9957526146032486, 17031150300: 0.22807991196102492, 17031150401: 0.3585326629570355, 17031810600: 0.7590051050742376, 17031150501: 0.6728497584763818}]"
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.585005 41.761491, -87.586005 41.762122, -87.588005 41.76094, -87.596005 41.758599, -87.59681 41.757393, -87.596784 41.756393, -87.595626 41.755393, -87.597005 41.753487, -87.598005 41.754213, -87.599262 41.753649, -87.601599 41.751393, -87.60062 41.750393, -87.605383 41.746393, -87.605702 41.745393, -87.603328 41.74307, -87.601005 41.741839, -87.600005 41.741523, -87.59922 41.742608, -87.598714 41.742684, -87.598542 41.741857, -87.597722 41.741393, -87.597659 41.740393, -87.595834 41.739393, -87.596015 41.738383, -87.595332 41.736393, -87.592804 41.735594, -87.590005 41.733885, -87.586005 41.730525, -87.583387 41.731774, -87.580005 41.734838, -87.578005 41.735087, -87.575005 41.736818, -87.573625 41.737012, -87.572005 41.738219, -87.571005 41.737826, -87.570005 41.738378, -87.570098 41.739486, -87.569168 41.740393, -87.569722 41.741393, -87.569536 41.742393, -87.5692 41.743393, -87.56806 41.744393, -87.568551 41.745393, -87.567701 41.746393, -87.567521 41.748393, -87.57149 41.751393, -87.572155 41.752393, -87.585005 41.761491))",41.746393038286826,-87.5860053710736,"[{17031480300: 0.12471905933779646, 17031480400: 0.030370211734797283, 17031470100: 0.0005172848048245179, 17031480200: 0.762911778033359, 17031480100: 0.37091232010798436, 17031440202: 0.005014189439277196, 17031440102: 0.3096391454602004, 17031450300: 0.9363340784057964, 17031460500: 0.7315092353276988, 17031834300: 0.9922867252598889, 17031440201: 0.004593348406084176, 17031440101: 0.694800884683704, 17031691500: 0.24883982778792227, 17031834200: 0.9104102396171726, 17031431200: 0.1188667209468362, 17031430900: 0.2397842498356134, 17031430400: 0.22633343291232028, 17031841800: 2.0041329397699153e-05}]"
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","POLYGON ((-87.67057 41.81853, -87.67157 41.819006, -87.673011 41.818826, -87.67357 41.8162, -87.67457 41.817115, -87.676033 41.816847, -87.67657 41.815986, -87.677623 41.816438, -87.678132 41.815384, -87.67657 41.814447, -87.67557 41.814676, -87.67481 41.813384, -87.675436 41.813251, -87.67557 41.812309, -87.67757 41.81232, -87.678378 41.811192, -87.679398 41.811213, -87.67957 41.809333, -87.680632 41.809384, -87.680621 41.810436, -87.679744 41.810558, -87.679657 41.811384, -87.679744 41.812211, -87.680662 41.812384, -87.680791 41.813606, -87.680145 41.81496, -87.679152 41.815384, -87.682377 41.817384, -87.68357 41.819303, -87.68457 41.819296, -87.698549 41.808384, -87.695365 41.806589, -87.69457 41.805022, -87.69257 41.805729, -87.690527 41.805427, -87.69031 41.804644, -87.689521 41.804384, -87.690717 41.803384, -87.69093 41.802384, -87.68657 41.799478, -87.68457 41.797636, -87.68357 41.797357, -87.681859 41.798384, -87.681712 41.799527, -87.67957 41.799534, -87.678995 41.799384, -87.67757 41.797336, -87.67457 41.795075, -87.67157 41.796913, -87.66957 41.798847, -87.66457 41.802239, -87.66257 41.804248, -87.65957 41.806011, -87.656799 41.808384, -87.65857 41.809034, -87.65976 41.810194, -87.660311 41.812644, -87.663758 41.813196, -87.66457 41.81484, -87.669033 41.817384, -87.669774 41.818384, -87.67057 41.81853))",41.808384423666354,-87.67756963874196,"[{17031630500: 0.11949999411207483, 17031611600: 0.5784312996539335, 17031630600: 0.40530000283572337, 17031611500: 1.0, 17031842800: 0.39210656275598443, 17031580800: 1.0, 17031580600: 0.1482827713388276, 17031580700: 0.5009865553225183, 17031611700: 0.6056825090801855, 17031611800: 0.12697526670361106, 17031611400: 1.0, 17031611300: 0.9873314815403784, 17031611200: 0.6197355221875239, 17031612200: 0.055505000442954686, 17031610400: 1.0, 17031842600: 0.06271765050593388, 17031610300: 0.48936686976583166}]"
7,Beverly,"(41.72118978926962, -87.67214620967468)","POLYGON ((-87.665146 41.733368, -87.666146 41.734179, -87.671146 41.733275, -87.669931 41.731405, -87.669978 41.73019, -87.672146 41.730072, -87.672841 41.733495, -87.674146 41.733953, -87.675146 41.733526, -87.676146 41.733903, -87.677571 41.732614, -87.677986 41.731029, -87.679914 41.73119, -87.68528 41.72719, -87.685749 41.72619, -87.685247 41.72419, -87.686928 41.72319, -87.687425 41.72219, -87.688146 41.721793, -87.68951 41.721826, -87.692146 41.72239, -87.693755 41.72119, -87.693323 41.72019, -87.691146 41.718992, -87.689146 41.718696, -87.687996 41.71934, -87.687146 41.716112, -87.686146 41.715653, -87.685146 41.716694, -87.684864 41.715908, -87.685573 41.71519, -87.683771 41.71419, -87.682146 41.712446, -87.679146 41.711009, -87.677106 41.70923, -87.673146 41.706988, -87.671146 41.708935, -87.670146 41.707687, -87.667146 41.708559, -87.664146 41.711014, -87.662146 41.710338, -87.66029 41.711334, -87.658028 41.71319, -87.657159 41.715203, -87.654707 41.71719, -87.653142 41.71919, -87.650022 41.72119, -87.650526 41.72219, -87.659497 41.72819, -87.662747 41.731589, -87.665146 41.733368))",41.72118978926962,-87.67214620967468,"[{17031720400: 0.015516018576621163, 17031821900: 0.006476977248304262, 17031720300: 0.7949803603770235, 17031720200: 0.7337164663192557, 17031730600: 0.01754640513056672, 17031730202: 0.043596419659977334, 17031730400: 0.4112104975216992, 17031730300: 0.9965900264762171, 17031730201: 0.5463008594586636, 17031720100: 0.8033304266780736, 17031711300: 0.45130630392912313}]"
8,Bezazian,"(41.97155143669217, -87.66095347964183)","POLYGON ((-87.659953 41.986223, -87.662538 41.985136, -87.663953 41.9836, -87.664953 41.984031, -87.669044 41.981642, -87.67562 41.976551, -87.676953 41.974664, -87.678931 41.973551, -87.678439 41.972551, -87.676354 41.971551, -87.676424 41.970551, -87.678047 41.969645, -87.678642 41.968551, -87.676722 41.967783, -87.672953 41.964413, -87.665953 41.960015, -87.664953 41.95994, -87.664841 41.960551, -87.663953 41.96098, -87.658953 41.961123, -87.657251 41.960254, -87.656868 41.958637, -87.654953 41.957666, -87.653953 41.958096, -87.652953 41.957883, -87.652173 41.958551, -87.652019 41.959616, -87.64955 41.961551, -87.649251 41.963849, -87.648515 41.96399, -87.647951 41.963549, -87.646397 41.965551, -87.64699 41.966514, -87.646121 41.968719, -87.645704 41.968801, -87.644953 41.967946, -87.643681 41.969551, -87.645632 41.971873, -87.647085 41.97242, -87.646185 41.973551, -87.647452 41.974551, -87.646427 41.975551, -87.647633 41.977872, -87.649218 41.978287, -87.65028 41.979225, -87.650856 41.980649, -87.653169 41.980336, -87.654953 41.982796, -87.655953 41.983117, -87.659953 41.986223))",41.97155143669217,-87.66095347964183,"[{17031031400: 0.13575988046763368, 17031060100: 0.0721596033686932, 17031032100: 0.4021424733346928, 17031830700: 0.4801508464099325, 17031031900: 0.6423318241747143, 17031031502: 1.0, 17031031700: 1.0, 17031031800: 0.9986313656515226, 17031031501: 1.0, 17031031300: 0.9530796893606837, 17031030706: 0.670003456250602, 17031830800: 0.1866103545134319, 17031031000: 1.0, 17031031100: 1.0, 17031031200: 1.0, 17031030703: 1.0, 17031030900: 0.5020059272786247, 17031030800: 0.9637611080152927, 17031030702: 0.987098790748471, 17031030701: 0.9687583857269849, 17031030603: 0.3688913571129349, 17031040402: 0.34963645182988046, 17031040100: 0.005390885362964395, 17031030500: 0.09758908709886471}]"
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.598237 41.818588, -87.600283 41.818493, -87.600173 41.817428, -87.602233 41.815493, -87.602007 41.814723, -87.601185 41.814493, -87.602102 41.814357, -87.603237 41.812188, -87.606008 41.810264, -87.606996 41.807493, -87.608564 41.806493, -87.608963 41.805493, -87.607077 41.804493, -87.604237 41.801319, -87.597091 41.796639, -87.595237 41.794888, -87.591237 41.792984, -87.589237 41.790873, -87.587657 41.790912, -87.583962 41.792218, -87.582075 41.79333, -87.581237 41.794518, -87.580237 41.794099, -87.578111 41.795493, -87.580358 41.799372, -87.580362 41.802493, -87.579513 41.802768, -87.579513 41.804218, -87.580319 41.804412, -87.580499 41.805231, -87.581333 41.805397, -87.58157 41.80616, -87.583484 41.806493, -87.585408 41.808323, -87.586968 41.808223, -87.587306 41.807425, -87.587528 41.808203, -87.58833 41.808493, -87.58833 41.809493, -87.587567 41.809822, -87.587427 41.810683, -87.586616 41.810871, -87.586507 41.812223, -87.588339 41.812391, -87.588743 41.813987, -87.590237 41.815076, -87.591237 41.815223, -87.59166 41.814493, -87.592328 41.814402, -87.594599 41.816493, -87.59463 41.817493, -87.598237 41.818588))",41.80549277198318,-87.58923748614112,"[{17031411200: 0.08294828943465729, 17031411000: 0.2541601115155073, 17031411100: 0.3755134142676311, 17031410800: 1.0, 17031410500: 0.05597431465446464, 17031410600: 0.5219718493790163, 17031410900: 0.8589204840665056, 17031410700: 0.9788444350883333, 17031410100: 1.0, 17031836300: 0.7469137985928567, 17031410200: 1.0, 17031390400: 0.9682217649147787, 17031390500: 1.0, 17031390600: 1.0, 17031843600: 0.1261554550193573, 17031390700: 0.9429000271591859, 17031390300: 0.3082124695618243, 17031390200: 0.9808144131023465, 17031390100: 0.901040241018307, 17031836400: 0.08376972191015812}]"
