,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","POLYGON ((-87.712613 41.977754, -87.713613 41.978275, -87.716815 41.975579, -87.715613 41.974911, -87.714257 41.974935, -87.713613 41.972724, -87.712314 41.973579, -87.71203 41.974995, -87.709656 41.975579, -87.710394 41.976579, -87.712613 41.977754))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","POLYGON ((-87.597838 41.658986, -87.599838 41.658627, -87.600838 41.657486, -87.602176 41.657198, -87.600177 41.65586, -87.598231 41.655591, -87.597796 41.65624, -87.596838 41.655368, -87.596162 41.656198, -87.596515 41.657522, -87.597838 41.658986))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.727484 41.803379, -87.728449 41.802074, -87.730081 41.801108, -87.729792 41.8008, -87.727887 41.799705, -87.726484 41.799611, -87.72451 41.800108, -87.723484 41.802456, -87.727484 41.803379))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.76482 41.891441, -87.76582 41.890909, -87.76682 41.8915, -87.767138 41.890491, -87.76788 41.890173, -87.768118 41.888875, -87.767782 41.888211, -87.76482 41.886984, -87.763158 41.889173, -87.76482 41.891441))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.778285 41.954489, -87.77871 41.953548, -87.779285 41.95343, -87.780156 41.954123, -87.780285 41.955048, -87.782754 41.953123, -87.779285 41.950734, -87.776632 41.952123, -87.775927 41.953123, -87.778285 41.954489))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.585005 41.748035, -87.586005 41.747046, -87.587005 41.748097, -87.588866 41.746393, -87.588005 41.744828, -87.587401 41.745788, -87.586739 41.745659, -87.586759 41.744393, -87.586005 41.743346, -87.584005 41.744795, -87.583117 41.746393, -87.585005 41.748035))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","POLYGON ((-87.67657 41.810414, -87.67757 41.810765, -87.677617 41.810432, -87.678717 41.810384, -87.67916 41.808974, -87.681521 41.808384, -87.678196 41.807758, -87.67757 41.805953, -87.67657 41.80612, -87.67557 41.807355, -87.67457 41.807612, -87.673812 41.808384, -87.674652 41.809384, -87.67657 41.810414))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","POLYGON ((-87.672146 41.723242, -87.673146 41.723568, -87.673699 41.72319, -87.673853 41.721897, -87.676057 41.72119, -87.672146 41.718547, -87.670636 41.720679, -87.669087 41.72119, -87.671146 41.721783, -87.672146 41.723242))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","POLYGON ((-87.660953 41.973667, -87.662951 41.972551, -87.662058 41.971447, -87.661953 41.969434, -87.660953 41.968661, -87.659748 41.969345, -87.657791 41.971551, -87.660953 41.973667))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.589237 41.805836, -87.589314 41.803416, -87.588237 41.802801, -87.588013 41.804493, -87.588817 41.804913, -87.589237 41.805836))",41.80549277198318,-87.58923748614112
10,Brainerd,"(41.73244482025524, -87.65772892721816)","POLYGON ((-87.657729 41.734846, -87.658906 41.734445, -87.661046 41.732445, -87.658465 41.731708, -87.658293 41.731009, -87.658878 41.730445, -87.657729 41.729985, -87.655721 41.732445, -87.656729 41.73412, -87.657729 41.734846))",41.73244482025524,-87.65772892721816
11,Brighton Park,"(41.81516027827089, -87.70273371160454)","POLYGON ((-87.699734 41.817164, -87.701734 41.817034, -87.70442 41.815847, -87.705513 41.81416, -87.70551 41.813384, -87.702734 41.812773, -87.699968 41.81616, -87.699734 41.817164))",41.81516027827089,-87.70273371160454
12,Bucktown-Wicker Park,"(41.91235487836141, -87.68029967133904)","POLYGON ((-87.6813 41.914363, -87.682968 41.913355, -87.683357 41.912355, -87.6803 41.910659, -87.6773 41.910293, -87.678116 41.910539, -87.678079 41.911355, -87.677911 41.911967, -87.677091 41.912355, -87.680937 41.912718, -87.6813 41.914363))",41.91235487836141,-87.68029967133904
13,Budlong Woods,"(41.98369797603738, -87.69631576617253)","POLYGON ((-87.695316 41.985958, -87.697316 41.985435, -87.698316 41.985956, -87.699149 41.985531, -87.699139 41.984698, -87.697564 41.982698, -87.694316 41.981568, -87.692762 41.982698, -87.693389 41.983698, -87.694761 41.984253, -87.695316 41.985958))",41.98369797603738,-87.69631576617253
14,Canaryville,"(41.81634394084193, -87.64256827550598)","POLYGON ((-87.640568 41.817716, -87.641568 41.81718, -87.643568 41.817949, -87.645568 41.816742, -87.645568 41.815915, -87.643568 41.81432, -87.642568 41.815032, -87.641568 41.814676, -87.63882 41.816344, -87.640568 41.817716))",41.81634394084193,-87.64256827550598
15,Chicago Bee,"(41.82824306445502, -87.6263495444489)","POLYGON ((-87.62535 41.830379, -87.62635 41.8311, -87.627183 41.828076, -87.628424 41.827243, -87.626632 41.825961, -87.62635 41.825221, -87.623896 41.828243, -87.623847 41.829243, -87.625002 41.829591, -87.62535 41.830379))",41.82824306445502,-87.6263495444489
16,Chicago Lawn,"(41.7819767986214, -87.7033680880769)","POLYGON ((-87.702368 41.784333, -87.703368 41.784906, -87.704061 41.783977, -87.704082 41.78269, -87.706706 41.781977, -87.706181 41.780977, -87.703368 41.778911, -87.702368 41.779382, -87.702198 41.780977, -87.700545 41.782977, -87.702368 41.784333))",41.7819767986214,-87.7033680880769
17,Chinatown,"(41.85412074173438, -87.63195792246246)","POLYGON ((-87.631958 41.856503, -87.635425 41.853121, -87.634958 41.852619, -87.631958 41.852106, -87.630317 41.85348, -87.62967 41.854832, -87.629022 41.855121, -87.629958 41.85611, -87.630958 41.855654, -87.631958 41.856503))",41.85412074173438,-87.63195792246246
18,Clearing,"(41.776652677565934, -87.78218757614671)","POLYGON ((-87.782188 41.777692, -87.784188 41.7783, -87.785449 41.777653, -87.786112 41.776653, -87.781846 41.776311, -87.781519 41.777322, -87.782188 41.777692))",41.776652677565934,-87.78218757614671
19,Coleman,"(41.78028267185317, -87.60712228979007)","POLYGON ((-87.606122 41.782303, -87.607122 41.782784, -87.610285 41.780283, -87.608122 41.779038, -87.607514 41.779674, -87.60676 41.779645, -87.606122 41.778172, -87.603835 41.780283, -87.605544 41.780861, -87.606122 41.782303))",41.78028267185317,-87.60712228979007
20,"Daley, Richard J. - Bridgeport","(41.8327976771251, -87.64629980794813)","POLYGON ((-87.6473 41.835016, -87.649601 41.832798, -87.6483 41.831358, -87.6463 41.830714, -87.645744 41.833798, -87.6463 41.834607, -87.6473 41.835016))",41.8327976771251,-87.64629980794813
21,"Daley, Richard M. - W. Humboldt","(41.894726658545295, -87.7063841773407)","POLYGON ((-87.706384 41.89764, -87.709012 41.895727, -87.708411 41.894727, -87.709055 41.893727, -87.706384 41.89189, -87.705192 41.892727, -87.703969 41.895727, -87.705844 41.896267, -87.706384 41.89764))",41.894726658545295,-87.7063841773407
22,Douglass,"(41.86441239309047, -87.71017465670012)","POLYGON ((-87.708175 41.865676, -87.710538 41.865775, -87.711793 41.863412, -87.710175 41.862698, -87.707573 41.863412, -87.706769 41.864412, -87.708175 41.865676))",41.86441239309047,-87.71017465670012
