,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","MULTIPOLYGON (((-87.727421 41.983387, -87.727584 41.984579, -87.725407 41.984785, -87.725227 41.983579, -87.724613 41.983075, -87.722613 41.983117, -87.721613 41.984457, -87.719846 41.984346, -87.71957123855421 41.98356876385541, -87.719917 41.984275, -87.721613 41.984418, -87.722613 41.982964, -87.724613 41.982879, -87.725156 41.983036, -87.725613 41.9842, -87.728613 41.982321, -87.729613 41.981147, -87.730846 41.980812, -87.732916 41.978882, -87.733253 41.978579, -87.73181215354238 41.97804658966261, -87.73193092572156 41.977401722309395, -87.73323121198338 41.977261263135055, -87.733969 41.977836, -87.734969 41.977722, -87.736969 41.978431, -87.73732096488129 41.97838996604555, -87.736831 41.978797, -87.735583 41.978549, -87.734207 41.979172, -87.731944 41.98191, -87.730613 41.982713, -87.729613 41.982771, -87.728613 41.984062, -87.727874 41.983317, -87.727421 41.983387)), ((-87.719265 41.990698, -87.71876270905994 41.989804243878886, -87.721596 41.987579, -87.722084 41.986579, -87.719547 41.985645, -87.71954438926632 41.98471470856076, -87.720218 41.985579, -87.720815 41.985781, -87.721613 41.985069, -87.724206 41.986579, -87.723976 41.986942, -87.722613 41.987147, -87.721864 41.98783, -87.721613 41.989721, -87.71670625408974 41.99301482843319, -87.716733 41.992698, -87.7175 41.991698, -87.719265 41.990698)), ((-87.719541 41.983507, -87.71955357257885 41.983532680161034, -87.7195420328152 41.983875026482316, -87.719541 41.983507)))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","MULTIPOLYGON (((-87.595907 41.66313, -87.59595877891218 41.66339950762984, -87.595 41.663036, -87.594919 41.662198, -87.593981 41.662056, -87.5938392569998 41.66113516610358, -87.594838 41.661122, -87.595032 41.663005, -87.595907 41.66313)), ((-87.593627 41.661987, -87.593776 41.661136, -87.59383640865607 41.661135203652364, -87.593664 41.662024, -87.592739 41.662198, -87.59273854739084 41.662224624068145, -87.592714 41.662198, -87.593627 41.661987)), ((-87.595838 41.668242, -87.59334 41.666697, -87.592265 41.664772, -87.591515 41.664522, -87.591319 41.663198, -87.59068653146979 41.66261828549018, -87.59123 41.662807, -87.593838 41.666687, -87.594838 41.666686, -87.594958 41.666318, -87.59487370781572 41.6658712514233, -87.595336 41.666701, -87.596001 41.667036, -87.595838 41.668242)), ((-87.581077 41.659198, -87.583838 41.657943, -87.584838 41.658984, -87.58667 41.659366, -87.59184605148768 41.659200081921405, -87.591838 41.659301, -87.586396 41.659641, -87.583523 41.658883, -87.583067 41.659198, -87.583505 41.660532, -87.59091 41.661127, -87.59051355337819 41.662459735452046, -87.590228 41.662198, -87.590234 41.661594, -87.590897 41.661139, -87.584838 41.661044, -87.582402 41.660635, -87.581077 41.659198)), ((-87.583195 41.654842, -87.583942 41.655095, -87.584117 41.65592, -87.589838 41.656118, -87.590021 41.658016, -87.591926 41.658198, -87.59184721048058 41.659185554999006, -87.591014 41.659023, -87.590892 41.658144, -87.589993 41.658044, -87.589838 41.656129, -87.584056 41.655981, -87.583917 41.65512, -87.583101 41.654936, -87.58303868010617 41.65462062356761, -87.583195 41.654842)), ((-87.5825980438064 41.65399660515486, -87.582172 41.653865, -87.58198259534505 41.6531250220098, -87.5825980438064 41.65399660515486)), ((-87.585838 41.654294, -87.588887 41.654247, -87.588909 41.652128, -87.588124 41.651913, -87.587981 41.651198, -87.58806340272669 41.65021031976532, -87.588948 41.651089, -87.588895 41.654255, -87.585838 41.654317, -87.585534 41.653503, -87.584637 41.653198, -87.584165 41.650872, -87.583838 41.650573, -87.582569 41.651468, -87.581838 41.650537, -87.581328 41.652198, -87.58185833588698 41.652949048786915, -87.580244 41.651198, -87.580838 41.649283, -87.582038 41.650398, -87.583024 41.649384, -87.583871 41.649166, -87.584522 41.650515, -87.584695 41.653198, -87.585605 41.653432, -87.585838 41.654294)), ((-87.592537 41.651898, -87.592524 41.649513, -87.588838 41.649411, -87.5880656530872 41.6501833469128, -87.588124 41.649484, -87.588838 41.649341, -87.592599 41.649438, -87.592607 41.651967, -87.59187481873013 41.65207744606931, -87.592537 41.651898)), ((-87.591751 41.652111, -87.59183701831817 41.6520876896924, -87.591645 41.653005, -87.590759 41.653198, -87.591699 41.653338, -87.591838 41.65426, -87.593838 41.654254, -87.593951 41.653311, -87.59885979416475 41.65323320927573, -87.598877 41.653238, -87.593966 41.653326, -87.593838 41.654261, -87.591838 41.654268, -87.591676 41.65336, -87.590745 41.653198, -87.591598 41.652958, -87.591751 41.652111)), ((-87.598033 41.653003, -87.59879696454901 41.653215715247654, -87.598002 41.653035, -87.598002 41.651362, -87.600894 41.651254, -87.601045 41.649406, -87.60140657406401 41.64940558102658, -87.6011 41.64946, -87.600905 41.651265, -87.598033 41.651394, -87.598033 41.653003)), ((-87.60345409544135 41.64940320846414, -87.603634 41.649403, -87.6036369637922 41.64941160548026, -87.60345409544135 41.64940320846414)), ((-87.609154 41.650514, -87.609982 41.650342, -87.611575 41.650461, -87.61170551981014 41.650892261273825, -87.611482 41.650555, -87.610039 41.6504, -87.608838 41.651324, -87.608608 41.650429, -87.604838 41.650385, -87.60482034992218 41.650320880576665, -87.608651 41.650386, -87.608838 41.651299, -87.609154 41.650514)), ((-87.611743 41.658198, -87.613838 41.658764, -87.615838 41.656688, -87.616838 41.656372, -87.617281 41.658198, -87.619035 41.659198, -87.617547 41.659907, -87.616838 41.661633, -87.61505939177164 41.66008676301541, -87.615838 41.660091, -87.617057 41.659198, -87.615838 41.657703, -87.613838 41.65893, -87.612346 41.658691, -87.611721 41.658198, -87.612359 41.657198, -87.612741 41.653101, -87.613838 41.653292, -87.615861 41.652198, -87.615131 41.650905, -87.612046 41.651406, -87.6119489934336 41.6512596301631, -87.612838 41.650696, -87.614141 41.650501, -87.617133 41.650904, -87.617926 41.652198, -87.614838 41.654113, -87.613534 41.653894, -87.612838 41.654288, -87.612501 41.657198, -87.611743 41.658198)), ((-87.612187 41.662547, -87.612714 41.660074, -87.6128363262755 41.660074665667956, -87.612594 41.662198, -87.611838 41.662954, -87.61143902739725 41.66236511643835, -87.611838 41.662721, -87.612187 41.662547)), ((-87.610838 41.660061, -87.610838 41.660568, -87.609027 41.661198, -87.61001317383665 41.6615416088851, -87.607285 41.661752, -87.60717959840359 41.6612448975826, -87.607838 41.661628, -87.608812 41.661198, -87.608838 41.660088, -87.610838 41.660061)), ((-87.60688407012579 41.660161230989885, -87.60643605121328 41.65994984591976, -87.606838 41.659939, -87.60688407012579 41.660161230989885)), ((-87.598796 41.660156, -87.59910890204604 41.6601475568585, -87.598801 41.660161, -87.598783 41.662253, -87.599653 41.662384, -87.59968003102794 41.662839424551215, -87.59961 41.662426, -87.598773 41.662264, -87.598796 41.660156)), ((-87.600729 41.667308, -87.601552 41.667485, -87.601838 41.668113, -87.602838 41.668279, -87.60404 41.666198, -87.600715 41.665321, -87.60066887664249 41.66484026283379, -87.600747 41.66529, -87.604469 41.665568, -87.606084 41.666198, -87.604677 41.669037, -87.602838 41.669376, -87.597453 41.664584, -87.59741340518349 41.664480653240645, -87.598241 41.664796, -87.600729 41.667308)))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","MULTIPOLYGON (((-87.708457 41.804437, -87.7084107588785 41.804315091588784, -87.708484 41.804294, -87.70891759228694 41.80451057934732, -87.708457 41.804437)), ((-87.749484 41.796134, -87.751681 41.797108, -87.749567 41.801108, -87.743451 41.806108, -87.742808 41.807108, -87.743414 41.808108, -87.739484 41.810663, -87.738484 41.810273, -87.737484 41.812508, -87.734484 41.814473, -87.732318 41.814943, -87.732658 41.816108, -87.731484 41.817035, -87.729197 41.816108, -87.728489 41.817113, -87.727033 41.817658, -87.726484 41.818654, -87.725484 41.819172, -87.724484 41.818838, -87.723484 41.819152, -87.721088 41.817108, -87.720484 41.815674, -87.719484 41.8157, -87.718484 41.817215, -87.717342 41.81625, -87.716713 41.814108, -87.717636 41.813108, -87.71707336235409 41.81267933867447, -87.71726658033056 41.81271676450941, -87.717702 41.813108, -87.716906 41.814108, -87.717062 41.81453, -87.718484 41.815883, -87.719484 41.814486, -87.721484 41.815359, -87.723484 41.817647, -87.725484 41.817679, -87.726598 41.817108, -87.72707 41.816108, -87.729484 41.815597, -87.730484 41.815991, -87.731484 41.815573, -87.734399 41.813108, -87.734286 41.81191, -87.737484 41.810994, -87.738484 41.80884, -87.739484 41.809184, -87.741441 41.808108, -87.74082 41.807108, -87.741187 41.806108, -87.747431 41.801108, -87.748441 41.799108, -87.749766 41.798108, -87.748484 41.796798, -87.747781 41.797405, -87.745359 41.797233, -87.745011 41.796108, -87.745631 41.795108, -87.743777 41.794815, -87.742484 41.793339, -87.741813 41.795438, -87.738977 41.795601, -87.738484 41.796245, -87.738245 41.795348, -87.737325 41.795108, -87.737484 41.794708, -87.738484 41.793732, -87.740383 41.793108, -87.73566578113177 41.78941675024654, -87.73665168394196 41.78868754067712, -87.737484 41.789329, -87.738484 41.790642, -87.743611 41.792981, -87.744015 41.794577, -87.747706 41.795108, -87.745303 41.795927, -87.745393 41.797199, -87.747641 41.797265, -87.74801 41.796635, -87.749484 41.796134)), ((-87.712484 41.799314, -87.71245258923895 41.798159131018835, -87.71264090557611 41.79807037802642, -87.712484 41.799314)), ((-87.715734 41.81118, -87.7160685098301 41.81191376349828, -87.715847 41.811745, -87.71572856042445 41.81152358837968, -87.715734 41.81118)), ((-87.711347 41.802972, -87.710814 41.803438, -87.708484 41.803979, -87.70824723282173 41.80388397743912, -87.708182 41.803712, -87.707423 41.803471, -87.70733 41.802757, -87.70737262291118 41.80272733771614, -87.70760293366573 41.8026621597726, -87.708484 41.803309, -87.71016 41.802785, -87.713156 41.80278, -87.713484 41.801999, -87.71350592283741 41.80227742969287, -87.713237 41.802861, -87.711347 41.802972)), ((-87.714851 41.80616, -87.71479279809681 41.80617199197789, -87.71367395565646 41.80612503694768, -87.71348734959588 41.80441021262613, -87.71355220837766 41.80286527644406, -87.713711 41.804882, -87.714907649523 41.80502700954005, -87.714851 41.80616)), ((-87.711484 41.803734, -87.71144607227802 41.803807693516816, -87.71134661262164 41.80364799773053, -87.711484 41.803386, -87.71244360896335 41.80432545717512, -87.71219324442458 41.80430589075081, -87.711484 41.803734)))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.789877 41.888173, -87.788484 41.889837, -87.78761 41.892173, -87.78382 41.8954, -87.78182 41.896731, -87.78057 41.896923, -87.77970813278455 41.89807170949244, -87.77895557513548 41.897503275143386, -87.77982 41.896504, -87.783082 41.894435, -87.78682 41.891093, -87.787764 41.888173, -87.786155 41.886173, -87.77782 41.880493, -87.773738 41.877173, -87.769673 41.876321, -87.770156 41.874837, -87.76882 41.874381, -87.768285 41.875173, -87.768437 41.876173, -87.767547 41.876446, -87.767246 41.873747, -87.765802 41.873191, -87.76482 41.871792, -87.75302707191632 41.879965209579346, -87.75165459415436 41.87953049237088, -87.752435 41.879173, -87.761792 41.872145, -87.763692 41.871173, -87.764019 41.870371, -87.76482 41.870215, -87.766173 41.871173, -87.766224 41.872173, -87.76726 41.872734, -87.76782 41.873627, -87.76882 41.873549, -87.770354 41.87464, -87.770698 41.876296, -87.772016 41.876369, -87.77282 41.875756, -87.774479 41.876173, -87.77582 41.877578, -87.78454 41.883173, -87.789877 41.888173))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","MULTIPOLYGON (((-87.792071 41.958336, -87.791855 41.957123, -87.793142 41.95698, -87.793399 41.956237, -87.793982 41.956426, -87.795285 41.955846, -87.796285 41.95722, -87.797285 41.957733, -87.798338 41.957176, -87.799285 41.955709, -87.798996 41.954123, -87.8015016942805 41.95345588224694, -87.801952 41.953519, -87.80233992563998 41.953766893945556, -87.802285 41.95383, -87.801285 41.953724, -87.799786 41.954624, -87.79966 41.956498, -87.797961 41.958799, -87.796577 41.959415, -87.795724 41.961561, -87.792285 41.9619, -87.791285 41.962899, -87.789158 41.962996, -87.788637 41.966475, -87.788285 41.966815, -87.787594 41.965123, -87.78714 41.964978, -87.78650510531874 41.9664505101204, -87.78576083475181 41.965903478958374, -87.786698 41.965536, -87.787031 41.964869, -87.787652 41.964755, -87.788407 41.965244, -87.78908 41.962917, -87.790687 41.962525, -87.791285 41.961799, -87.79274 41.961577, -87.794472 41.96031, -87.793917 41.959491, -87.792071 41.958336)), ((-87.795219 41.947457, -87.79569131562103 41.9481217622343, -87.795285 41.948433, -87.794856 41.947552, -87.79474915685842 41.94747543086795, -87.795219 41.947457)))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","MULTIPOLYGON (((-87.592344 41.733054, -87.590309 41.73209, -87.589005 41.730629, -87.586005 41.728503, -87.585005 41.728327, -87.579005 41.732741, -87.574754 41.734141, -87.574712 41.734686, -87.575305 41.735093, -87.575005 41.73658, -87.573829 41.736569, -87.573005 41.735042, -87.572005 41.736029, -87.571005 41.735827, -87.57090111436935 41.735886245666585, -87.57136248080037 41.73442622531529, -87.572005 41.734583, -87.573728 41.733116, -87.577153 41.731541, -87.579005 41.731283, -87.585005 41.726842, -87.586522 41.727393, -87.592005 41.731437, -87.59341 41.732988, -87.59362509720337 41.73392363953788, -87.593005 41.733799, -87.592344 41.733054)), ((-87.566642 41.742393, -87.56528 41.744393, -87.56567280271214 41.74526395945044, -87.564685 41.745733, -87.564144 41.744541, -87.56344317741349 41.74420026857672, -87.564692 41.742393, -87.56459421291943 41.74196410929578, -87.56651031841395 41.74139917670905, -87.566642 41.742393)), ((-87.598375 41.736393, -87.597005 41.73536, -87.594843 41.735555, -87.5947282167353 41.735342007187825, -87.594896 41.735502, -87.597005 41.734416, -87.598005 41.735689, -87.599005 41.735636, -87.600471 41.736393, -87.599362 41.73775, -87.598005 41.73792, -87.5971004462798 41.73904439462436, -87.596892 41.738393, -87.597579 41.736967, -87.598375 41.736393)), ((-87.597852 41.741393, -87.59729406428886 41.73964945090269, -87.597589 41.739809, -87.5979236294609 41.7414152214123, -87.597852 41.741393)), ((-87.598791 41.741608, -87.59888053099758 41.74245108356049, -87.59885 41.742549, -87.598732 41.741666, -87.59825877241236 41.74151919189611, -87.598791 41.741608)), ((-87.601005 41.738348, -87.6036393139664 41.739716965157875, -87.60261339070381 41.74051247689322, -87.602005 41.740026, -87.601005 41.739764, -87.599637 41.740025, -87.5989164900847 41.742335758610146, -87.599351 41.739739, -87.601005 41.738348)))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","MULTIPOLYGON (((-87.663128 41.817384, -87.66382 41.816634, -87.66357 41.816106, -87.66257 41.816736, -87.66184729464813 41.815885610412764, -87.661876 41.815344, -87.659568 41.814348, -87.65933898701006 41.81412585739976, -87.660135 41.813384, -87.65996676811041 41.81299185107321, -87.661703 41.813384, -87.661159 41.814384, -87.662822 41.815132, -87.66457 41.817069, -87.66492942173225 41.8171439896445, -87.66379765905447 41.81795009874299, -87.663128 41.817384)), ((-87.67657 41.816251, -87.676328 41.817143, -87.675452 41.817267, -87.673799 41.817155, -87.67357 41.816288, -87.673318 41.819133, -87.670681 41.819384, -87.66957 41.819968, -87.667158 41.819384, -87.66664541979617 41.81922931486121, -87.6672318978262 41.81849713255157, -87.668394 41.819384, -87.673234 41.819049, -87.67357 41.816266, -87.673868 41.817087, -87.675416 41.81723, -87.676251 41.817066, -87.67657 41.816203, -87.67757 41.81714, -87.67902 41.816835, -87.67916480090713 41.81658592670051, -87.67936017227673 41.81663397719089, -87.679177 41.816991, -87.67757 41.81722, -87.676898 41.817056, -87.67657 41.816251)), ((-87.68192740860825 41.81862921649482, -87.68190071004598 41.818813344510446, -87.68184749684409 41.81836779370776, -87.68191060659609 41.818456888164995, -87.68192740860825 41.81862921649482)), ((-87.68199218247278 41.81957923740414, -87.68225477714029 41.82002974020738, -87.682033 41.819921, -87.68199218247278 41.81957923740414)), ((-87.68099495465529 41.81716422720377, -87.680837 41.817117, -87.68079718086008 41.81698740137607, -87.680885 41.817009, -87.68099495465529 41.81716422720377)), ((-87.659758 41.812384, -87.65995040835337 41.81295371644143, -87.659706 41.812384, -87.659878 41.810076, -87.65928417478334 41.809704178247365, -87.65983249296401 41.80992421427404, -87.65996671379197 41.81006205906436, -87.659758 41.812384)), ((-87.679359 41.799384, -87.67905930080427 41.79709038370607, -87.67914472519045 41.79704672872944, -87.67949941781085 41.79938931839336, -87.679359 41.799384)))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","MULTIPOLYGON (((-87.686009 41.727327, -87.686384 41.727428, -87.687146 41.726674, -87.687846 41.72749, -87.68898891801088 41.72797516834907, -87.68854717033653 41.72837927548438, -87.687537 41.728581, -87.687146 41.729624, -87.686391 41.728945, -87.683048 41.729092, -87.682826 41.731869, -87.682146 41.733113, -87.681001 41.73219, -87.678486 41.73185, -87.678146 41.731076, -87.677792 41.733835, -87.67628891737714 41.73479291839088, -87.67545950755817 41.73493545768312, -87.67446312540983 41.73472906688482, -87.676443 41.734486, -87.677871 41.73319, -87.678146 41.731042, -87.679146 41.731683, -87.682495 41.731539, -87.683007 41.729051, -87.687081 41.72819, -87.685913 41.727423, -87.685574 41.72419, -87.688112 41.722156, -87.690908 41.72319, -87.692146 41.724577, -87.693128 41.724172, -87.693715 41.722758, -87.695313 41.722357, -87.6968 41.72119, -87.696555 41.72019, -87.692146 41.717255, -87.691146 41.71743, -87.690146 41.718255, -87.689146 41.71778, -87.688146 41.717872, -87.687146 41.713992, -87.684146 41.711624, -87.679146 41.708809, -87.6789602119613 41.70864402022164, -87.67971710974186 41.707594959897776, -87.682146 41.708728, -87.683255 41.710081, -87.685146 41.710924, -87.686684 41.712652, -87.68839 41.71319, -87.687719 41.71519, -87.688146 41.717299, -87.689146 41.716559, -87.690146 41.716777, -87.692146 41.715711, -87.697672 41.719664, -87.6986572460821 41.720863908636304, -87.69611335547494 41.722969378052184, -87.694014 41.723058, -87.69377 41.724814, -87.69317178372424 41.72531570601452, -87.692106 41.725847, -87.69204996076742 41.72595578203971, -87.691146 41.723883, -87.689146 41.723717, -87.688146 41.722962, -87.687146 41.723053, -87.686873 41.723917, -87.685792 41.72419, -87.686009 41.727327)), ((-87.662146 41.706445, -87.663146 41.707043, -87.663826 41.70687, -87.66526682943744 41.706013314063405, -87.664796 41.707097, -87.66557763022566 41.707564942373615, -87.664146 41.708684, -87.663146 41.708687, -87.662146 41.708126, -87.659146 41.709568, -87.65771366404581 41.71064374454764, -87.65653616676052 41.70947485069651, -87.657146 41.708954, -87.659146 41.707755, -87.660146 41.707969, -87.662146 41.706445)), ((-87.6733493877784 41.73423463786259, -87.67391973910289 41.73461650973608, -87.673729 41.734577, -87.6733493877784 41.73423463786259)))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","MULTIPOLYGON (((-87.644245 41.97126, -87.6440935123967 41.97063462809917, -87.645085 41.97142, -87.6458364779661 41.97336682711864, -87.645333 41.973172, -87.645048 41.971457, -87.644245 41.97126)), ((-87.643267 41.970238, -87.64312450757902 41.96964976205698, -87.643411 41.970094, -87.64376812 41.97037688, -87.643267 41.970238)), ((-87.64209323169925 41.968728788886196, -87.64255899190998 41.96877286794334, -87.64295093564287 41.96938061971941, -87.642374 41.969131, -87.64209323169925 41.968728788886196)), ((-87.64171064773315 41.96818072301583, -87.64096746931675 41.96711609208062, -87.641414 41.967156, -87.64171064773315 41.96818072301583)), ((-87.67286702071895 41.98092192728274, -87.674953 41.979296, -87.675953 41.977959, -87.67644851368766 41.977712549431274, -87.67678470535661 41.97910464743936, -87.675953 41.979676, -87.674141 41.981551, -87.6739068106934 41.98169791926387, -87.67286702071895 41.98092192728274)), ((-87.64908611745767 41.978548839496646, -87.647243 41.978262, -87.6471467144057 41.97785151930848, -87.647359 41.978145, -87.649074 41.978431, -87.64908611745767 41.978548839496646)), ((-87.646289 41.977216, -87.64629308708298 41.97667139619276, -87.6468015413468 41.97737432429037, -87.646289 41.977216)), ((-87.646309 41.974551, -87.6462563598775 41.974323924961716, -87.646983 41.974551, -87.64630652030564 41.97488141927268, -87.646309 41.974551)))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.601237 41.820588, -87.603146 41.818493, -87.604013 41.816493, -87.603883 41.815139, -87.60476351511882 41.81409406280782, -87.60529387771604 41.81447410711028, -87.605159 41.814493, -87.604973 41.815493, -87.605849 41.816493, -87.605051 41.818493, -87.60464279548496 41.81878520079816, -87.604472 41.81877, -87.60390087096798 41.81931628491913, -87.603654 41.819493, -87.60364011461034 41.819565698375214, -87.602472 41.820683, -87.601376 41.820655, -87.60091659199469 41.82176706191123, -87.600237 41.821702, -87.598237 41.821338, -87.597889 41.820493, -87.596417 41.819313, -87.593608 41.818122, -87.593237 41.817228, -87.592237 41.817246, -87.590587 41.816144, -87.590338 41.815392, -87.589508 41.815223, -87.589317 41.814413, -87.588463 41.814267, -87.588295 41.812435, -87.586398 41.812332, -87.586376 41.809354, -87.584519 41.808211, -87.584237 41.807382, -87.583458 41.807272, -87.58329 41.806441, -87.581419 41.806311, -87.581293 41.805437, -87.580396 41.805335, -87.580288 41.804442, -87.5794 41.80433, -87.5794 41.802656, -87.580314 41.802493, -87.580301 41.799429, -87.579513 41.799217, -87.578237 41.797306, -87.575237 41.797063, -87.574667 41.796493, -87.57482 41.795075, -87.577237 41.794697, -87.578385 41.79364, -87.579237 41.79125, -87.580237 41.790653, -87.583401 41.790656, -87.586237 41.787356, -87.58883 41.787085, -87.58976515640762 41.787360085662804, -87.590653 41.788283, -87.59119966450221 41.788519446584004, -87.592237 41.789603, -87.59448247571754 41.790745198648324, -87.596122 41.792325, -87.60069026484764 41.795101169548126, -87.601945 41.796493, -87.60393555187804 41.79739738522401, -87.605122 41.798414, -87.606122 41.799002, -87.60614803702055 41.79898892394935, -87.60675913076707 41.79944553377292, -87.606327 41.800068, -87.60594827929134 41.800327931413875, -87.604237 41.799082, -87.602347 41.798383, -87.601828 41.797493, -87.598642 41.795493, -87.595237 41.792494, -87.592237 41.791298, -87.589237 41.788485, -87.586237 41.789068, -87.584655 41.790493, -87.582237 41.791101, -87.579443 41.792698, -87.577457 41.794712, -87.575487 41.795493, -87.576152 41.796578, -87.578237 41.797194, -87.579618 41.799112, -87.580316 41.799414, -87.580328 41.802493, -87.579432 41.802688, -87.579432 41.804298, -87.580297 41.804433, -87.580425 41.805305, -87.581304 41.805426, -87.581459 41.806271, -87.583308 41.806423, -87.583521 41.807209, -87.584237 41.807351, -87.58463 41.808101, -87.586474 41.809256, -87.587258 41.810472, -87.586415 41.81067, -87.586429 41.812301, -87.588307 41.812423, -87.588475 41.813255, -87.589386 41.813493, -87.589608 41.815122, -87.590382 41.815348, -87.59075 41.815981, -87.592237 41.817007, -87.593237 41.816929, -87.593767 41.817963, -87.595461 41.81827, -87.597237 41.819641, -87.601237 41.820588))",41.80549277198318,-87.58923748614112
