,Branch,CIRCULATION_2019,COMPUTER SESSIONS_2019,VISITORS_2019,AVG COMPUTER SESSIONS PER VISITOR_2019,AVG CIRCULATION PER VISITOR_2019,CIRCULATION_2021,COMPUTER SESSIONS_2021,VISITORS_2021,AVG COMPUTER SESSIONS PER VISITOR_2021,AVG CIRCULATION PER VISITOR_2021,AVG CYCLING TIME (MIN),Percent of People with Internet Access,Percent of People without Internet Access,Percent of People with Computers,Percent of People without Computers,Percent of People with Computers and Internet,Percent Population in Labor Force 16+: Employed,Percent Population in Labor Force 16+: Unemployed,"Percent Households: Less Than $10,000","Percent Households: $10,000 to $14,999","Percent Households: $15,000 to $19,999","Percent Households: $20,000 to $24,999","Percent Households: $25,000 to $29,999","Percent Households: $30,000 to $34,999","Percent Households: $35,000 to $39,999","Percent Households: $40,000 to $44,999","Percent Households: $45,000 to $49,999","Percent Households: $50,000 to $59,999","Percent Households: $60,000 to $74,999","Percent Households: $75,000 to $99,999","Percent Households: $100,000 to $124,999","Percent Households: $125,000 to $149,999","Percent Households: $150,000 to $199,999","Percent Households: $200,000 or more",Percent Ages 18-64: Living in Poverty,Percent Ages 18-64: At or Above Poverty Level,Percent Households: With Public Assistance Income,Percent Households: No Public Assistance Income,Percent Owner and Renter Occupied Housing: No Vehicles,Percent Owner and Renter Occupied Housing: 1 Vehicle,Percent Owner and Renter Occupied Housing: 2 Vehicles,Percent Owner and Renter Occupied Housing: 3 Vehicles,Percent Owner and Renter Occupied Housing: 4 Vehicles,Percent Owner and Renter Occupied Housing: 5 or More Vehicles,Percent Renter-Occupied Housing: No Vehicles,Percent Renter-Occupied Housing: 1 Vehicle,Percent Renter-Occupied Housing: 2 Vehicles,Percent Renter-Occupied Housing: 3 Vehicles,Percent Renter-Occupied Housing: 4 Vehicles,Percent Renter-Occupied Housing: 5 or More Vehicles,"Percent Workers 16+: Car, Truck, or Van ",Percent Workers 16+: Drove Alone,Percent Workers 16+: Carpooled,Percent Workers 16+: Public Transportation (Includes Taxi),Percent Workers 16+: Motorcycle,Percent Workers 16+: Bicycle,Percent Workers 16+: Walked,Percent Workers 16+: Other Means,Percent: White Alone,Percent: Black or African American Alone,Percent: American Indian and Alaska Native Alone,Percent: Asian Alone,Percent: Native Hawaiian and Other Pacific Islander Alone,Percent: Some Other Race Alone,Percent: Two or More Races,Percent: under 5 years,Percent: 5 to 9 years,Percent: 10 to 14 years,Percent: 15 to 19 years,Percent: 20 to 24 years,Percent: 25 to 29 years,Percent: 30 to 34 years,Percent: 35 to 39 years,Percent: 50 to 54 years,Percent: 55 to 59 years,Percent: 60 to 64 years,Percent: 65 to 69 years,Percent: 70 to 74 years,Percent: 75 to 79 years,Percent: 80 to 84 years,Percent: 85 years and over,Percent: 25+ Less Than High School,Percent: 25+ High School or More,Percent: 25+ Some College or More,Percent: 25+ Bachelor's Degree or More,Percent: 25+ Master's Degree or More,Percent: 25+ Professional School Degree or More,Percent: 25+ Doctorate Degree
0,Albany Park,93009.0,23279.0,130255.0,0.1787186672296649,0.7140532033319258,61634.0,8838.0,62840.0,0.1406429026098026,0.980808402291534,4.437810709885564,0.9099398457858088,0.0900601542141912,0.9524622755518592,0.0475377244481407,0.8530408987244823,0.9453555063652604,0.0546444936347396,0.0575081127904857,0.0261059818930202,0.0371787330675482,0.030053744834928,0.0420120763420334,0.0319515415916279,0.0565380345628064,0.040459703205546,0.0378748366941147,0.084068265872465,0.0951429759125857,0.1286606802859668,0.1095445540810784,0.0759509286610373,0.0774981716049604,0.0694516585997945,0.1202678077318855,0.8797321922681145,0.0310842697270049,0.968915730272995,0.1897360831071644,0.4846763257004384,0.2605761911330262,0.0466995531710381,0.0115515736315761,0.0067602732567564,0.26373227082741,0.4786032081651721,0.2217347673432959,0.0287353079891592,0.0048250907204678,0.0023693549544947,0.5539930044841872,0.4655270764623781,0.0884659280218089,0.2364115046348278,9.182325077088125e-08,0.0084511297478833,0.0693961013380594,0.0104535454711438,0.5015695127227984,0.0442618285878058,0.0047537373496777,0.191553934913305,0.0,0.1390490682630223,0.1188119181633904,0.0635109511656196,0.0572924333584853,0.0484221094305299,0.0794834870472959,0.0843316102937116,0.079660927805141,0.0917762076684,0.0849945979929962,0.0624224901860647,0.054169578976067,0.0552755252135918,0.0442157430419967,0.027366351334873,0.0201436142785543,0.0138522661212925,0.0168766129000641,0.19700183865363,0.8029981613463699,0.6126902735581967,0.4261109353149088,0.1563802781541332,0.0397134750609517,0.0167723502810336
1,Altgeld,4014.0,5226.0,28196.0,0.1853454390693715,0.1423606185274507,1934.0,6719.0,10760.0,0.6244423791821562,0.1797397769516728,14.056106343511075,0.8704951361249993,0.1295048638750006,0.9264509628970996,0.0735490371029003,0.8461871404190999,0.8181771401222862,0.1818228598777137,0.1934716704368141,0.0529446037966593,0.0629738929078961,0.0598429327650064,0.0694808709596131,0.0537241168852194,0.0276792494887708,0.0624085675085859,0.0614190334954105,0.0525082684222788,0.0595878348437864,0.1080225589946919,0.0667007686931148,0.0248994465733095,0.0344846135058156,0.009851570723026,0.2938835558410437,0.7061164441589564,0.0647513496078862,0.9352486503921136,0.2156659665915953,0.4611044284547662,0.2355409108942476,0.0725589734296387,0.0100027023205045,0.0051270183092475,0.3219259864333612,0.51274433058175,0.1371957557408312,0.0219717634683438,0.0047273025977495,0.001434861177964,0.7274616132280524,0.6632980271936598,0.0641635860343925,0.1468568284453888,0.0,0.0017790516451682,0.0226983081692477,0.0303768348338117,0.0765949905595107,0.8731728132679241,0.000650554090012,0.001787685745745,0.0,0.0232080929162838,0.0245858634205242,0.0708293305356312,0.0717195442463651,0.0963817477027198,0.0921058788170604,0.0876488872169672,0.0761662872112394,0.0773783440250278,0.0540817684391125,0.0466553446472723,0.0625042885773504,0.0547025302854076,0.0347579250377374,0.029798157220635,0.0180157744751233,0.0126407637157613,0.0129531308524641,0.1101755676633498,0.88982443233665,0.5705675515844193,0.1328520296638347,0.0425766746028652,0.0047154559542948,0.0012897563699233
2,Archer Heights,58025.0,17466.0,86593.0,0.2017022161144665,0.6700888062545471,26320.0,7223.0,34665.0,0.2083657868166738,0.7592672724650223,5.780902575848169,0.8037131266991113,0.1962868733008888,0.8340624180853184,0.1659375819146817,0.7702636690613678,0.8876833915835338,0.1123166084164659,0.0401063391092829,0.0396256663768564,0.0260354272703317,0.1097166797511633,0.0580356810382416,0.0470469075470344,0.0417059009581541,0.0458681751766711,0.0321359857140329,0.0746774151193677,0.1099298813747941,0.1124806532125191,0.0817731981594923,0.0563333168044815,0.0812706697817766,0.0432581026057991,0.086403383040447,0.9135966169595529,0.0399018793313347,0.9600981206686652,0.1603050925077817,0.3438093624646157,0.3141471350303926,0.1267168220827974,0.042338513989538,0.0126830739248744,0.3158729837367735,0.4921425372611693,0.1289139240113473,0.0507402882219455,0.0123107556505396,1.9511118224726e-05,0.787611906760139,0.6156523839891777,0.1719595227709615,0.1430962080157266,0.0002394303661782,0.0015615790693656,0.0334990491252641,0.0050015209257176,0.5291863783487235,0.0462177357130331,0.013308619515821,0.0446482304559111,0.0012989026999703,0.244653807517032,0.1206863257495086,0.0667110799716657,0.0563729153273043,0.0680949013181563,0.0707549717700314,0.0691299148742369,0.0779429136030886,0.0769104866382472,0.0695596667860108,0.0621588976637685,0.0586042360972352,0.0518668808014256,0.0389631156349458,0.0394184613221801,0.0302695206812238,0.0128277485510065,0.023844100344787,0.2578346028844929,0.7421653971155069,0.3602090004038596,0.1451429909417667,0.0408950589965733,0.0056483449592513,0.0026775656693694
3,Austin,11328.0,16288.0,77480.0,0.2102219927723283,0.146205472379969,7108.0,8554.0,35321.0,0.2421788737578211,0.2012400554910676,7.555355166397666,0.8380276489524331,0.161972351047567,0.8776641674237992,0.1217838232447551,0.7763124594885628,0.9041359711067894,0.0958640288932107,0.1184768684139076,0.0706396538456448,0.0700814447705732,0.0433685737369756,0.0484285014340384,0.0441554850494522,0.0413993566481648,0.0290105351155834,0.0406079494488243,0.0791286927194351,0.0925851856566989,0.0838489421310499,0.0703531762846876,0.0527426753785546,0.0520276584481062,0.0631453009183018,0.1892335783828092,0.8107664216171905,0.055234805191308,0.9447651948086916,0.2688108300949235,0.4087539557191526,0.2322020493836936,0.0602113509115111,0.0214733898403277,0.0085484240503911,0.4197567332936815,0.4282608667561089,0.1212339400663668,0.020118046337204,0.0065736620953919,0.0040567514512465,0.6800014625376131,0.5842530821959305,0.0957483803416824,0.1976302270851843,0.0,0.0047488213627858,0.0397710953670278,0.0048811245581094,0.2450397014012286,0.486438974049715,0.0020040741333191,0.020642471033354,5.958108800404436e-05,0.1797294384490297,0.0660857598453492,0.0654720205191098,0.0843129959963613,0.0698625703720038,0.0604289460233123,0.0696610303088143,0.0731223855664933,0.0655192022508756,0.0622930315964127,0.0664176160701915,0.0496817910518375,0.0539247676092219,0.0507079195175073,0.0371884323494154,0.0271615486773359,0.0165948940392197,0.0072942145797304,0.1684200979757977,0.8315799020242024,0.5419130137409831,0.2693808188511948,0.1188965028832695,0.0306507409454345,0.0111313190119759
4,Austin-Irving,119100.0,16115.0,109080.0,0.1477356068940227,1.0918591859185918,62934.0,5423.0,48720.0,0.1113095238095238,1.2917487684729063,4.218487711690861,0.8529430707169172,0.1470569292830829,0.9217673629221822,0.0782326370778179,0.8221889305620144,0.9531501878356408,0.046849812164359,0.0440792823995705,0.0274264569962605,0.0347238207775568,0.0359676527101909,0.0386300619411884,0.0396264003934769,0.0342049041123365,0.0380508028961302,0.029872536356687,0.0747565717501498,0.0949057742328029,0.1340943801830206,0.0947388910375882,0.0916943326768973,0.1002166792511569,0.0870114522849853,0.0615102764328818,0.9384897235671182,0.0200631949038559,0.979936805096144,0.0731427928159305,0.3995524590477762,0.3755558764339685,0.1023363281867501,0.0301914951068534,0.0192210484087211,0.1389710364061263,0.5379344051378935,0.2845663627385356,0.0250365739854205,0.0061386409460336,0.0073529807859902,0.7958190932094105,0.7010036494520443,0.0948154437573659,0.0974065552837339,0.0006703767853676,0.0077580385917224,0.0219082793684085,0.0119569580245885,0.670439421231867,0.0191731724858468,0.0065179535435944,0.0817139901370838,0.0001197241122737,0.1496585115034895,0.0723772269858445,0.0603024805262066,0.0394702870218047,0.0751190224521642,0.0688250403583157,0.0426199560785292,0.0486236472978973,0.0733459056550114,0.0931546988761821,0.0591595784133244,0.0649432231747113,0.0773748113885499,0.0525123382751587,0.0435358836866863,0.0334316530468895,0.0157450330758225,0.0215858797181594,0.1044222374959297,0.89557776250407,0.6003044023715349,0.2968789581067702,0.1012835467509855,0.0268874969784413,0.0140005927444944
5,Avalon,36480.0,34603.0,104662.0,0.3306166516978464,0.348550572318511,16003.0,12882.0,46853.0,0.2749450408725161,0.341557637717969,5.604140204865785,0.8163019099573295,0.1836980900426702,0.857494820170104,0.1425051798298958,0.7752944055016875,0.8760248262442052,0.1239751737557945,0.1149979965325132,0.0394514461078281,0.0490389024246364,0.036809138930396,0.0580267833758522,0.0521343219751623,0.0324177908076347,0.0443641562592315,0.0478041527056063,0.0878453442812691,0.0901819276092165,0.1243175523008139,0.0898243996821822,0.0729992568713952,0.0393989935608844,0.0203878365753765,0.1662152549034197,0.8337847450965801,0.0415772825970219,0.958422717402978,0.2355300817977415,0.4840520027726476,0.2144232062617095,0.0462156340185264,0.0191920193233421,0.0005870558260327,0.3726788016971602,0.4825802700290148,0.1272229555387636,0.0131779597285144,0.0043399326517893,8.035475735053197e-08,0.6235455212962138,0.5711508266780496,0.052394694618164,0.2540613848658448,0.0,2.7107339037147696e-06,0.0199177098438338,0.0075661038650852,0.0216971772128033,0.9449312331402612,0.000114665396918,0.0046508744264567,0.0,0.0092482188504572,0.0193578309731034,0.048911584813421,0.0409245149320502,0.0612104395557494,0.0564912763644775,0.0581015797272681,0.0806975723400775,0.0477107965817222,0.0558584870331176,0.0699343041493149,0.0842477185186272,0.0633534834540416,0.0447732195095737,0.0505710248911201,0.0470181026755754,0.0258193329964654,0.0356110917283621,0.090415372973217,0.9095846270267824,0.645676427791503,0.2952719200577443,0.1096758497218192,0.018195346142649,0.0068449177544548
6,Back of the Yards,24465.0,13715.0,44989.0,0.3048522972282113,0.5437995954566672,12416.0,4957.0,25385.0,0.1952727988969864,0.4891077407918062,3.802045000929225,0.8220056475190695,0.1779943524809305,0.8507064160115079,0.1492935839884921,0.7596833012013869,0.853761816217387,0.1462381837826129,0.0936118616205514,0.0885047915097164,0.0667203764572705,0.080216680872306,0.0840839571553318,0.0617367464213184,0.0550868765669688,0.0667161913868692,0.0540430303485353,0.0711048324413115,0.0749161876425701,0.099585631508644,0.0419404284026219,0.0256212729077659,0.0216282481501733,0.0144828866080441,0.2651028564908814,0.7348971435091185,0.0551128839303794,0.9448871160696204,0.2202573338279203,0.442471561535436,0.2315324002552145,0.0654120246427999,0.0310852677871008,0.0092414119515281,0.2818189028989052,0.4719890907835528,0.189426874609831,0.0369160078012617,0.0198491239064488,0.0,0.6777172342826575,0.5113145034323456,0.1664027308503117,0.2056260342546848,0.0003917001544623,0.0066987564148553,0.0499288749016972,0.0054631672980591,0.3495740601955264,0.1010015260624114,0.0087468161157831,0.0152949151996529,0.0018788391156515,0.4034029104362983,0.120100932874676,0.0730858888793634,0.0698831409017252,0.1046827728235898,0.0781009057453984,0.075034916924574,0.0792645388391142,0.0615402015442599,0.0622816739286481,0.0670982871384027,0.0487057257587194,0.0310630963818242,0.0334719934200385,0.0284006896221221,0.0263664705796343,0.0066643760229568,0.0079177772359005,0.3868792408364874,0.6131207591635126,0.2545560034060491,0.0785350959818806,0.023686276639555,0.0024829971802345,0.0016518885509232
7,Beverly,49151.0,14373.0,76336.0,0.188285998742402,0.6438770697966884,35849.0,6503.0,23456.0,0.2772424965893588,1.5283509549795362,4.69640155141401,0.9424375571459096,0.0575624428540902,0.9652298134671174,0.0347701865328825,0.9229832630574706,0.9076713723264548,0.0923286276735448,0.0373064489541912,0.0192388713736425,0.023650655516367,0.0105761461279345,0.0195529692907451,0.0300809390196024,0.0302280534079097,0.0115293997286947,0.010932549793976,0.0495679873416234,0.0497763884592429,0.145734066450064,0.1358009431161262,0.0792181521581999,0.1438007127469518,0.2030057165147273,0.0973982349873272,0.9026017650126728,0.0328033199474812,0.9671966800525188,0.0569739061204382,0.3502831465501428,0.4510024564466954,0.114848920269743,0.0188139023441242,0.008077668268856,0.266833141632474,0.4978845572755108,0.2007235459435343,0.0315157621584676,0.0,0.0030429929900132,0.6624360129243927,0.6174715708256003,0.0449644420987924,0.1862592691715727,0.0,0.0042732033794557,0.0285146163941056,0.0147339777476634,0.5279582906367599,0.3837617654604447,0.0013526648746625,0.0126102839784612,0.0009155889412192,0.0194680511323525,0.0539333549760994,0.0643780097910062,0.045835803831455,0.0734991187190749,0.0562340715945675,0.0489596421960237,0.0387378036832762,0.0620264037710853,0.0588344780714481,0.0838384563454405,0.0933508297598147,0.0744331102416149,0.0638113275362952,0.0523547479349181,0.032740951660257,0.0244114130122376,0.0197185983617484,0.0389354724031136,0.9610645275968864,0.8101035840049663,0.5539304919735917,0.2714121139244509,0.0722130894315732,0.0226693948782377
8,Bezazian,98356.0,28234.0,121571.0,0.2322428868726916,0.8090416299939953,55646.0,8997.0,43661.0,0.2060649091866883,1.2745012711573258,3.789295009804319,0.8979293778700577,0.1020706221299418,0.8868229007885615,0.059196926131179,0.8459812135127259,0.958533203227499,0.0414667967725006,0.0912407903473143,0.0617656336681297,0.0399120673405896,0.0382541803816123,0.0418554306884562,0.0342927685409037,0.0334890797033659,0.0339216792454029,0.0369802894632348,0.0723103640486691,0.0990964081322778,0.1351660585914235,0.0702137672877736,0.0628485330044794,0.0652813928151734,0.0833715567411921,0.1584837736509389,0.8415162263490608,0.0289496863166745,0.9710503136833252,0.3752332086829715,0.483005904648528,0.1238253856472982,0.0110108412105022,0.005586560753219,0.0013380990574806,0.4839649831055567,0.4436082423447716,0.0642886618744117,0.0063581972945677,0.0017799153806919,0.0,0.3676949616548248,0.3327833104780096,0.0349116511768152,0.3743491723971714,0.0014205966197578,0.0251582952375745,0.041616643308249,0.0086318017955248,0.6315922299808329,0.1520703563844805,0.0019814889390254,0.1140883672256647,2.4568672637206505e-05,0.0398050749480423,0.0604379138493166,0.0390029100898587,0.0272843506980337,0.0268799490684948,0.0202650618487169,0.0679703385950088,0.1248923512707489,0.1160615929455446,0.0897332679026002,0.0702376994513613,0.0805688819057717,0.0499792912312254,0.0368334030812531,0.0320516716349788,0.0190552330064224,0.025625730369754,0.0271330855920308,0.0882666860847277,0.9117333139152723,0.794888961116665,0.5971177373185357,0.2625778479318704,0.0730519565597133,0.0271787666610955
9,Blackstone,99833.0,18008.0,94358.0,0.1908476228830623,1.0580236969838277,80757.0,8963.0,61010.0,0.1469103425667923,1.323668251106376,5.729478592980883,0.9336967403345304,0.066191308468335,0.91755599219559,0.0498352362705458,0.8825215820694626,0.9176582468197934,0.0823417531802066,0.1241651996538768,0.0525637534996547,0.0435496082392602,0.0303911128935943,0.0387726863813158,0.0448774454457809,0.043284499932601,0.0459794209223144,0.0203946052918652,0.0650965642078859,0.0745806548111083,0.1024614420921834,0.0772618768140282,0.0512714072572448,0.0695611894950305,0.1157885330622543,0.2589473136597063,0.7410526863402934,0.0142877553798541,0.985712244620146,0.3671892022186133,0.5021349462806225,0.1130967979491078,0.0141942805078237,0.0025328222478317,0.0008519507960009,0.5128704456667107,0.4293983467041535,0.0517192636267625,0.0044477607835834,0.0005746836840811,0.0009894995347086,0.3069499843770805,0.2706232304152823,0.0363267539617981,0.246546452831013,0.0,0.0555297228319675,0.1763715573185562,0.0104255928678143,0.4037584009047798,0.3957841587707315,0.0031117566250374,0.1145635679418453,0.0001859975592449,0.0179613127156812,0.0646348054826796,0.0400588487615155,0.0329594656146449,0.0417861012747658,0.0539176191124512,0.1320947885893295,0.1249405112376916,0.0830463966513919,0.0695958056156507,0.0440437098160764,0.0614658953303411,0.0536464775121475,0.060188340675919,0.0411192180777709,0.0248596073453612,0.0174069486287296,0.0187503759338859,0.0383419974621683,0.9616580025378316,0.8816418044645216,0.7261314613266726,0.4745993904984663,0.2088636902813183,0.1387448581424904
