,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","MULTIPOLYGON (((-87.716613 41.985401, -87.713613 41.987167, -87.70897362016152 41.9841078035333, -87.709558 41.983698, -87.70969979719568 41.983236119883756, -87.713613 41.985631, -87.716613 41.984029, -87.717613 41.98252, -87.719392 41.981579, -87.721053 41.980018, -87.72106470194073 41.979957209051555, -87.721072 41.981579, -87.719474 41.982579, -87.716613 41.985401)), ((-87.708458964469 41.9818014397219, -87.70776848909475 41.981361157253986, -87.70771072487223 41.97962778279388, -87.708114 41.980078, -87.708458964469 41.9818014397219)), ((-87.721054 41.977579, -87.72105560142349 41.97793487188611, -87.720904 41.977579, -87.72077521363745 41.97747760898211, -87.721054 41.977579)), ((-87.69898648808743 41.97519373054007, -87.699843 41.974808, -87.700289 41.973579, -87.703426 41.970392, -87.704613 41.97037, -87.708613 41.966886, -87.713613 41.964035, -87.714389 41.964803, -87.714499 41.965693, -87.715613 41.965491, -87.718613 41.967294, -87.725613 41.97225, -87.727059 41.974133, -87.728472 41.97472, -87.729052 41.975579, -87.72827 41.976236, -87.7200355242022 41.97625618029047, -87.720613 41.975972, -87.727188 41.975579, -87.723613 41.972236, -87.721613 41.971341, -87.713613 41.965514, -87.712613 41.966048, -87.711613 41.967458, -87.710613 41.967106, -87.709613 41.967708, -87.706613 41.97052, -87.703994 41.971959, -87.70017 41.975579, -87.70054511099747 41.97618304347419, -87.699316 41.975303, -87.69898648808743 41.97519373054007)), ((-87.70120727783431 41.97665715492937, -87.701803 41.976769, -87.702613 41.976357, -87.702768 41.977424, -87.704613 41.9786, -87.705226 41.978191, -87.705206 41.977579, -87.705728 41.977464, -87.705701 41.978579, -87.707169 41.979023, -87.70751742822752 41.97941198601062, -87.706613 41.979057, -87.705613 41.980048, -87.70501886044906 41.97994502213853, -87.704316 41.978883, -87.70120727783431 41.97665715492937)))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","MULTIPOLYGON (((-87.592544 41.659493, -87.59396372440791 41.660966995218615, -87.593593 41.660953, -87.592838 41.661517, -87.591748 41.661289, -87.591014 41.660198, -87.591838 41.65976, -87.592074 41.658963, -87.590397 41.65764, -87.589978 41.656059, -87.587356 41.655681, -87.586624 41.655413, -87.586624 41.654984, -87.589014 41.654374, -87.589838 41.652005, -87.590465 41.653198, -87.591838 41.654355, -87.593838 41.654323, -87.594098 41.653458, -87.594838 41.653328, -87.59886874487309 41.653272594572194, -87.598838 41.653324, -87.594838 41.653374, -87.594189 41.653549, -87.593838 41.654364, -87.591838 41.654427, -87.590838 41.653623, -87.589838 41.65352, -87.588458 41.655198, -87.590078 41.655959, -87.590838 41.657171, -87.592313 41.657198, -87.592544 41.659493)), ((-87.608684 41.658045, -87.608847 41.659207, -87.607838 41.660159, -87.606838 41.659833, -87.59956296509692 41.66005034166773, -87.605454 41.659814, -87.606582 41.659198, -87.605753 41.658113, -87.607121 41.657916, -87.607838 41.658604, -87.608278 41.657638, -87.609066 41.657198, -87.608547 41.656198, -87.60917 41.655198, -87.607342 41.653695, -87.605838 41.653552, -87.605828 41.652198, -87.603838 41.65167, -87.602445 41.651806, -87.601838 41.65235, -87.599838 41.651652, -87.59889079244601 41.65323573103028, -87.598284 41.652198, -87.599148 41.651508, -87.602589 41.651448, -87.603838 41.650966, -87.604838 41.651702, -87.60724 41.651797, -87.61003 41.654198, -87.610945 41.657305, -87.608684 41.658045)), ((-87.598724 41.660084, -87.59883761433422 41.66007944192121, -87.598676 41.663198, -87.597838 41.663615, -87.595456 41.66258, -87.5950745817003 41.66160485289076, -87.597157 41.661879, -87.597838 41.662594, -87.598724 41.660084)))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.737971 41.802108, -87.737484 41.802734, -87.736272 41.803108, -87.737484 41.803774, -87.737484 41.804442, -87.736259 41.804883, -87.733332 41.807956, -87.728223 41.811848, -87.726484 41.812317, -87.723484 41.811475, -87.720484 41.809528, -87.718484 41.809756, -87.717484 41.808583, -87.71483293889658 41.8082198933033, -87.714866 41.80816, -87.714225 41.807669, -87.71416387263761 41.80766217031693, -87.714484 41.806697, -87.715676 41.806301, -87.715334 41.803959, -87.716137 41.803108, -87.715581 41.802011, -87.713325 41.801108, -87.717476 41.796101, -87.721484 41.792749, -87.723484 41.791807, -87.724484 41.792727, -87.725484 41.792435, -87.727484 41.790945, -87.728484 41.790699, -87.731484 41.792547, -87.732484 41.793649, -87.733769 41.793823, -87.73454 41.795108, -87.736714 41.795878, -87.738114 41.797478, -87.739484 41.797365, -87.740927 41.798108, -87.741581 41.799108, -87.739484 41.801153, -87.738484 41.800492, -87.738269 41.800893, -87.737362 41.800986, -87.737971 41.802108), (-87.716168 41.799792, -87.715496 41.801108, -87.717484 41.802215, -87.718484 41.801837, -87.719627 41.802108, -87.719484 41.80328, -87.717748 41.803373, -87.716196 41.804108, -87.716528 41.805108, -87.715757 41.807108, -87.719232 41.80836, -87.720484 41.807898, -87.723484 41.809931, -87.724484 41.810195, -87.726484 41.810867, -87.727484 41.810769, -87.729484 41.809542, -87.733522 41.806108, -87.734254 41.804879, -87.735881 41.804505, -87.736237 41.802861, -87.737145 41.802108, -87.737141 41.801108, -87.73816 41.799785, -87.739703 41.799108, -87.737525 41.798067, -87.733484 41.795173, -87.732726 41.796351, -87.73229 41.796302, -87.73247 41.795108, -87.728484 41.792159, -87.724484 41.794317, -87.723484 41.79326, -87.722169 41.793793, -87.716168 41.799792))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.76522240287409 41.9001973534906, -87.76051008265746 41.89735349470414, -87.76168933351896 41.896391358057066, -87.76482 41.898603, -87.76582 41.899041, -87.76682 41.898801, -87.77348 41.894173, -87.775759 41.892173, -87.775644 41.890997, -87.776943 41.891173, -87.777517 41.890173, -87.777062 41.889173, -87.777843 41.888173, -87.77682 41.887047, -87.775477 41.886516, -87.774521 41.885173, -87.76682 41.879746, -87.76582 41.879868, -87.76482 41.879311, -87.76282 41.880556, -87.76082 41.882526, -87.75982 41.882797, -87.75482 41.886362, -87.75387760670105 41.88792395021423, -87.75219450350198 41.887141776655156, -87.754244 41.885173, -87.76482 41.877889, -87.76582 41.878508, -87.76682 41.878292, -87.771007 41.881173, -87.774304 41.88369, -87.77582 41.885827, -87.77682 41.885461, -87.779753 41.888173, -87.779215 41.889173, -87.779512 41.890173, -87.77882 41.891338, -87.76946720213753 41.89858216707165, -87.768983 41.898365, -87.767983 41.898336, -87.766983 41.898833, -87.76522240287409 41.9001973534906))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.77903543867535 41.9433235205728, -87.776285 41.944762, -87.765702 41.953123, -87.766364 41.954123, -87.779285 41.963142, -87.782939 41.961123, -87.784037 41.960123, -87.783881 41.959719, -87.784285 41.959856, -87.786036 41.958123, -87.788073 41.957123, -87.788222 41.956059, -87.792587 41.953123, -87.791285 41.951466, -87.788914 41.950494, -87.788218 41.94919, -87.787394 41.949014, -87.78630375901737 41.94804298768706, -87.786338 41.947966, -87.78752186614419 41.94775454723022, -87.789481 41.948123, -87.790588 41.950123, -87.793285 41.951279, -87.79438 41.952123, -87.794772 41.953123, -87.793026 41.953864, -87.792285 41.955562, -87.789941 41.956123, -87.787285 41.959228, -87.78109 41.963928, -87.779285 41.964727, -87.772285 41.959826, -87.771038 41.958123, -87.769285 41.957611, -87.764233 41.954174, -87.763681 41.953123, -87.776285 41.943178, -87.777285 41.943478, -87.77791 41.943123, -87.77793738178936 41.942552546055, -87.778158 41.942652, -87.77903543867535 41.9433235205728))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.575234 41.744393, -87.574558 41.748393, -87.578875 41.751393, -87.579489 41.752393, -87.586005 41.756756, -87.588005 41.755663, -87.58941827580263 41.75530494123973, -87.589421 41.755395, -87.58793674866307 41.75738550246347, -87.586005 41.758296, -87.585005 41.757655, -87.577703 41.752696, -87.574789 41.74961, -87.572486 41.748393, -87.573005 41.745167, -87.57431 41.742698, -87.573755 41.741393, -87.574128 41.740516, -87.576005 41.739708, -87.577005 41.739715, -87.578005 41.738792, -87.579276 41.738663, -87.584005 41.735746, -87.585005 41.734423, -87.586005 41.734349, -87.590005 41.737458, -87.591005 41.739286, -87.592305 41.739093, -87.594131 41.740393, -87.593823 41.741575, -87.595005 41.741565, -87.595841 41.742557, -87.597005 41.742753, -87.598324 41.744074, -87.600704 41.745393, -87.600005 41.746933, -87.599005 41.747393, -87.598498 41.746393, -87.597843 41.746231, -87.597181 41.749569, -87.596193 41.750393, -87.59636 41.751393, -87.5941825870486 41.753446517692154, -87.593512 41.753472, -87.59283608166065 41.754231893577625, -87.592187 41.754575, -87.5921541776353 41.755102963165506, -87.592005 41.754902, -87.59079182647055 41.75435655577356, -87.59083 41.754218, -87.594005 41.75194, -87.594508 41.750393, -87.597 41.748393, -87.597298 41.746685, -87.598802 41.745393, -87.592005 41.740492, -87.591005 41.740176, -87.588005 41.737327, -87.586005 41.73604, -87.585005 41.736114, -87.582844 41.737393, -87.580005 41.739966, -87.578005 41.740509, -87.577054 41.741442, -87.575317 41.741705, -87.575015 41.742393, -87.576121 41.743509, -87.575234 41.744393))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","MULTIPOLYGON (((-87.675565 41.79938, -87.67257 41.801782, -87.672208 41.803023, -87.670178 41.803384, -87.66857 41.805082, -87.663807 41.808384, -87.664459 41.809495, -87.66557 41.809935, -87.67157 41.814459, -87.67257 41.814851, -87.672981 41.813796, -87.676079 41.811894, -87.6764656581278 41.81193787609961, -87.67557 41.812263, -87.675168 41.812983, -87.674254 41.813069, -87.673258 41.814073, -87.673248 41.815384, -87.67257 41.81632, -87.67157 41.815798, -87.666521 41.812433, -87.66557 41.811366, -87.662912 41.810042, -87.662008 41.808384, -87.66457 41.806032, -87.667765 41.804384, -87.66957 41.802445, -87.67012 41.802834, -87.671927 41.802742, -87.67185 41.800665, -87.67457 41.798813, -87.67757 41.798996, -87.67857 41.799965, -87.680952 41.800002, -87.682361 41.801593, -87.683408 41.801223, -87.68457 41.801535, -87.687161 41.804793, -87.68959 41.805364, -87.689902 41.806052, -87.693012 41.807942, -87.693294 41.808384, -87.691893 41.809708, -87.686003 41.814384, -87.68357 41.81556, -87.682175 41.813779, -87.680864 41.81309, -87.68068779418694 41.81236348987846, -87.68357 41.814175, -87.686568 41.812383, -87.691299 41.808384, -87.690575 41.807379, -87.687687 41.805384, -87.686711 41.805243, -87.68457 41.803108, -87.68357 41.80287, -87.680389 41.804565, -87.680007 41.800947, -87.677952 41.800002, -87.67757 41.799278, -87.675565 41.79938)), ((-87.679877 41.812077, -87.679877 41.81159688288288, -87.680014 41.81194, -87.68048887737264 41.81223846764001, -87.679877 41.812077)), ((-87.679654 41.8093, -87.680682 41.809384, -87.680682 41.810496, -87.679877 41.81129919101124, -87.679877 41.810692, -87.680653 41.810468, -87.680661 41.809384, -87.67965196077267 41.809313694028326, -87.679654 41.8093)), ((-87.678335 41.81215, -87.678503 41.811318, -87.679373 41.811187, -87.6795912276532 41.809721535296795, -87.679405 41.81122, -87.678514 41.811329, -87.67838 41.812195, -87.6775742026118 41.812063668381484, -87.678335 41.81215)))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","MULTIPOLYGON (((-87.66857597835428 41.729099217856756, -87.669146 41.729419, -87.672146 41.729528, -87.673146 41.72858, -87.674146 41.729555, -87.675146 41.728636, -87.677146 41.727996, -87.678826 41.725869, -87.680146 41.725644, -87.682432 41.723476, -87.683378 41.72319, -87.685921 41.72119, -87.682146 41.717927, -87.678744 41.71619, -87.678221 41.71519, -87.676146 41.713762, -87.674864 41.713472, -87.672146 41.71108, -87.668146 41.713163, -87.666377 41.71542, -87.665807 41.715529, -87.665146 41.714809, -87.663146 41.716717, -87.662146 41.716659, -87.661034 41.71819, -87.661327 41.71937, -87.66001 41.719053, -87.65766111216091 41.72098732497578, -87.656774712159 41.72144855719376, -87.655647 41.721096, -87.65562512445916 41.720928194333695, -87.658036 41.71919, -87.659146 41.717603, -87.660146 41.717686, -87.661037 41.71608, -87.663146 41.714224, -87.664146 41.714311, -87.666146 41.713537, -87.667883 41.711927, -87.672349 41.709987, -87.673102 41.71019, -87.67575 41.712586, -87.676146 41.712285, -87.678247 41.71419, -87.682555 41.716781, -87.684486 41.71885, -87.686082 41.71919, -87.687624 41.72019, -87.688299 41.72119, -87.686146 41.721561, -87.684897 41.72319, -87.682814 41.723857, -87.682244 41.725287, -87.680146 41.727176, -87.679584 41.72619, -87.678983 41.726026, -87.678573 41.727617, -87.676754 41.728797, -87.675146 41.731148, -87.672456 41.72988, -87.66895722493678 41.73019693235507, -87.66857597835428 41.729099217856756)), ((-87.664146 41.724597, -87.665503 41.725833, -87.66570838312477 41.72621939028524, -87.66370727150414 41.72489840647666, -87.664146 41.724597)))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","MULTIPOLYGON (((-87.654953 41.979052, -87.653942 41.977562, -87.652953 41.977718, -87.649437 41.974068, -87.648461 41.973551, -87.64826 41.972551, -87.649135 41.971369, -87.648099 41.969551, -87.648953 41.968305, -87.650953 41.967189, -87.65100191038178 41.96701670923578, -87.651389 41.967182, -87.65208687159878 41.96779465214883, -87.649736 41.969551, -87.649411 41.972009, -87.648799 41.972551, -87.655953 41.978408, -87.658418 41.979551, -87.65878770593515 41.9798720540792, -87.65755135971223 41.98077211412949, -87.654953 41.979052)), ((-87.660953 41.960861, -87.66117679430104 41.96092103812897, -87.66082369234344 41.96089106403016, -87.660953 41.960861)), ((-87.66462202752952 41.96252858174812, -87.665867 41.963638, -87.668953 41.965685, -87.669953 41.965943, -87.673346 41.968551, -87.671953 41.969115, -87.67163 41.969875, -87.673883 41.971551, -87.673206 41.972551, -87.673885 41.973551, -87.669953 41.977116, -87.666953 41.978525, -87.664953 41.980384, -87.663953 41.979956, -87.662953 41.980116, -87.66206930814845 41.98077759063286, -87.66118353666147 41.97999678306709, -87.662953 41.978721, -87.663953 41.978551, -87.664953 41.978892, -87.667953 41.976533, -87.668748 41.976346, -87.671781 41.973551, -87.67089 41.972551, -87.671824 41.971551, -87.67041 41.970551, -87.671299 41.968551, -87.66377156135457 41.963323409949005, -87.66462202752952 41.96252858174812)))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","MULTIPOLYGON (((-87.593804 41.798493, -87.597971 41.800493, -87.5997 41.80203, -87.600044 41.803687, -87.601237 41.803595, -87.604018 41.805493, -87.603886 41.806493, -87.601893 41.808148, -87.600044 41.808299, -87.600237 41.808975, -87.601237 41.808867, -87.601416 41.809493, -87.597902 41.812493, -87.597693 41.814949, -87.596237 41.815224, -87.594375 41.814355, -87.593237 41.814539, -87.592237 41.814192, -87.590426 41.812304, -87.589472 41.812258, -87.589237 41.811454, -87.588842 41.812097, -87.586846 41.811884, -87.58665 41.811493, -87.58752376886514 41.81108200501529, -87.587528 41.811202, -87.588237 41.811808, -87.588922 41.811177, -87.589464 41.811267, -87.592237 41.813735, -87.593237 41.813263, -87.594547 41.813802, -87.596543 41.813798, -87.596895 41.812151, -87.59945 41.809493, -87.600174 41.807493, -87.601803 41.806493, -87.602063 41.805493, -87.600158 41.804493, -87.597237 41.801666, -87.593237 41.799375, -87.592237 41.798238, -87.591237 41.798303, -87.589237 41.796304, -87.587237 41.79569, -87.586237 41.797894, -87.585237 41.796596, -87.581833 41.799089, -87.581504 41.799493, -87.582434 41.801296, -87.582414 41.802493, -87.581986 41.802744, -87.581219 41.802474, -87.580538 41.803493, -87.581237 41.804318, -87.582351 41.804379, -87.58291586477246 41.80546920176176, -87.582237 41.805505, -87.580823 41.804907, -87.579678 41.803493, -87.58156 41.800815, -87.580619 41.799493, -87.581237 41.797898, -87.585237 41.795154, -87.586237 41.795218, -87.587237 41.794217, -87.588237 41.794169, -87.592237 41.796773, -87.593804 41.798493)), ((-87.588497 41.809493, -87.58833468602869 41.80965629373372, -87.588409 41.809493, -87.58839734746329 41.809016910643024, -87.588497 41.809493)), ((-87.588106 41.807625, -87.58822884063866 41.80821187036579, -87.587237 41.807318, -87.585932 41.807798, -87.58381304937954 41.805921945679934, -87.584237 41.805799, -87.586135 41.807595, -87.587237 41.807225, -87.588106 41.807625)))",41.80549277198318,-87.58923748614112
