lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Albany Park,40055.0,19457.0,20598.0,2695.0,31804.0,5611.0,19584.0,1829.0,192.0,9025.0,0.0,4959.0,4466.0,12722.0,14971.0,13757.0,37876.0,11115.0,10684.0,11475.0,23756.0,16299.0,15375.0,11092.0,13757.0,13033.0,11793.0,2229.0,3035.0,1995.0,13757.0,5874.0,2521.0,1255.0,439.0,36.91111111111111,29.755555555555556,2.7777777777777777,3.361111111111111,5.711111111111111,68241.33333333333,86009.88888888889,31343.88888888889,11.377777777777778,14.322222222222223,2391.0,856.3333333333334,1142.888888888889,0.485757084009487,0.5142429159905131
Altgeld,7934.0,2967.0,4967.0,862.0,4911.0,425.0,169.0,7597.0,0.0,0.0,0.0,29.0,139.0,214.0,3204.0,2905.0,7898.0,3787.0,2758.0,260.0,7880.0,54.0,6909.0,17.0,2905.0,2668.0,2450.0,27.0,287.0,1867.0,2905.0,255.0,1269.0,93.0,27.0,24.95,48.900000000000006,2.7199999999999998,3.545,25.55,20471.0,31342.5,12614.5,48.0,50.6,1130.0,495.5,444.0,0.3739601714141669,0.6260398285858331
Archer Heights,28538.0,15120.0,13418.0,1849.0,21799.0,4250.0,14949.0,1534.0,308.0,1423.0,42.0,6971.0,3311.0,20857.0,9542.0,8989.0,28272.0,9857.0,6757.0,2653.0,17936.0,10602.0,6187.0,9638.0,8989.0,7491.0,6942.0,345.0,3370.0,1424.0,8989.0,6571.0,1513.0,959.0,561.0,37.76363636363636,33.52727272727273,3.1063636363636364,4.029090909090909,12.69090909090909,56645.7,74246.45454545454,24822.18181818182,7.909090909090909,9.563636363636364,1621.5454545454545,570.8181818181819,1002.3,0.5298198892704464,0.47018011072955357
Austin,34219.0,15824.0,18395.0,2242.0,25636.0,5437.0,2288.0,29130.0,0.0,241.0,7.0,1427.0,1126.0,2674.0,15370.0,13419.0,33727.0,10443.0,7931.0,2915.0,32715.0,1504.0,29462.0,1101.0,13419.0,11119.0,9582.0,499.0,4162.0,5372.0,13419.0,4192.0,5457.0,915.0,441.0,39.0875,29.599999999999998,2.515,3.48625,15.775,32820.857142857145,48525.375,20388.625,25.5875,29.175,1779.857142857143,660.625,973.0,0.4624331511733248,0.5375668488266753
Austin-Irving,27517.0,13541.0,13976.0,1487.0,22151.0,4943.0,18474.0,499.0,107.0,2035.0,0.0,4463.0,1939.0,9560.0,10797.0,10091.0,27281.0,8397.0,6314.0,5795.0,18558.0,8959.0,12313.0,4939.0,10091.0,9270.0,8358.0,743.0,3261.0,703.0,10091.0,7353.0,672.0,1255.0,490.0,43.18571428571429,29.3,2.6799999999999997,3.2600000000000002,4.585714285714286,80737.57142857143,95349.0,36398.857142857145,4.3428571428571425,7.471428571428571,2037.857142857143,718.2857142857143,1227.0,0.4920957953265254,0.5079042046734745
Avalon,31503.0,14008.0,17495.0,1545.0,25398.0,6187.0,749.0,29777.0,0.0,124.0,0.0,265.0,588.0,294.0,16453.0,13897.0,31477.0,8713.0,6763.0,6661.0,30432.0,1071.0,28306.0,558.0,13897.0,11938.0,11028.0,1250.0,4463.0,3675.0,13897.0,7239.0,3303.0,964.0,474.0,43.84444444444445,25.0,2.26,3.223333333333333,11.822222222222223,52808.444444444445,64306.666666666664,29706.333333333332,14.344444444444443,18.177777777777777,1563.111111111111,589.4444444444445,974.7777777777778,0.44465606450179346,0.5553439354982065
Back of the Yards,29302.0,15507.0,13795.0,2107.0,20889.0,2811.0,9357.0,2974.0,298.0,566.0,99.0,12562.0,3446.0,24685.0,10212.0,9003.0,29119.0,11435.0,8604.0,1285.0,18500.0,10802.0,5471.0,11987.0,9003.0,7851.0,7016.0,711.0,1780.0,2877.0,9003.0,3107.0,2017.0,728.0,208.0,31.811111111111114,45.544444444444444,3.285555555555556,4.024444444444445,17.066666666666666,36856.77777777778,49642.333333333336,16094.333333333334,28.755555555555556,31.188888888888886,1641.888888888889,594.4444444444445,870.8888888888889,0.5292130230018429,0.47078697699815714
Beverly,13213.0,6094.0,7119.0,843.0,10280.0,2565.0,7784.0,4231.0,14.0,149.0,14.0,298.0,723.0,1048.0,5150.0,4891.0,13189.0,3888.0,2946.0,5644.0,12610.0,603.0,11452.0,99.0,4891.0,4765.0,4628.0,654.0,1504.0,227.0,4891.0,4407.0,190.0,413.0,242.0,45.175,29.75,2.735,3.205,8.675,118991.25,158002.25,58368.0,5.275,7.375,2291.25,863.5,1233.0,0.46121244229168246,0.5387875577083175
Bezazian,52633.0,27368.0,25265.0,2047.0,46804.0,7940.0,33262.0,7905.0,117.0,6374.0,0.0,1998.0,2977.0,7126.0,31621.0,29047.0,50915.0,7189.0,8334.0,26352.0,40466.0,12167.0,35117.0,6215.0,29047.0,27413.0,24819.0,6273.0,5393.0,3510.0,29047.0,10353.0,10629.0,1199.0,830.0,40.223076923076924,11.53076923076923,1.7876923076923075,2.710769230769231,5.623076923076923,69527.07692307692,94422.92307692308,52762.230769230766,10.992307692307692,16.923076923076923,2232.846153846154,1027.8461538461538,1253.076923076923,0.519977960595064,0.48002203940493604
Blackstone,49536.0,21874.0,27662.0,2315.0,41720.0,7881.0,16723.0,24277.0,235.0,4614.0,7.0,748.0,2932.0,2588.0,28685.0,25967.0,48161.0,9740.0,15850.0,22636.0,42584.0,6952.0,38279.0,2444.0,25967.0,24226.0,22291.0,4708.0,5696.0,4101.0,25967.0,8595.0,9981.0,1195.0,555.0,35.32105263157895,18.3,1.933684210526316,2.9342105263157894,10.789473684210526,54170.47368421053,91684.05263157895,46976.84210526316,15.347368421052632,26.36315789473684,2466.4736842105262,1086.7857142857142,1180.1052631578948,0.441577842377261,0.5584221576227391
