lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Albany Park,43167.0,21080.0,22087.0,2794.0,34259.0,5743.0,22114.0,1654.0,192.0,8458.0,0.0,5572.0,5177.0,14468.0,16693.0,15111.0,41090.0,11845.0,11306.0,12794.0,26688.0,16479.0,17265.0,11935.0,15111.0,14254.0,12822.0,2770.0,3246.0,2100.0,15111.0,6299.0,3091.0,1387.0,367.0,36.08888888888889,29.477777777777778,2.7655555555555558,3.413333333333333,5.766666666666667,67559.44444444444,87467.0,32094.11111111111,10.833333333333334,13.944444444444445,2449.4444444444443,890.7777777777778,1141.4444444444443,0.48833599740542544,0.5116640025945746
Altgeld,7934.0,2967.0,4967.0,862.0,4911.0,425.0,169.0,7597.0,0.0,0.0,0.0,29.0,139.0,214.0,3204.0,2905.0,7898.0,3787.0,2758.0,260.0,7880.0,54.0,6909.0,17.0,2905.0,2668.0,2450.0,27.0,287.0,1867.0,2905.0,255.0,1269.0,93.0,27.0,24.95,48.900000000000006,2.7199999999999998,3.545,25.55,20471.0,31342.5,12614.5,48.0,50.6,1130.0,495.5,444.0,0.3739601714141669,0.6260398285858331
Archer Heights,35456.0,18529.0,16927.0,2397.0,26920.0,5317.0,18271.0,1650.0,667.0,1540.0,42.0,8290.0,4996.0,26311.0,11885.0,11199.0,35182.0,12219.0,8394.0,3711.0,22775.0,12681.0,8158.0,11328.0,11199.0,9221.0,8603.0,430.0,4120.0,1671.0,11199.0,8090.0,1860.0,1140.0,710.0,37.75833333333333,34.25,3.108333333333333,4.0175,12.441666666666668,56770.36363636364,75362.33333333333,25240.916666666668,8.108333333333333,9.566666666666666,1622.4166666666667,572.5833333333334,992.0909090909091,0.522591380866426,0.477408619133574
Austin,41086.0,19227.0,21859.0,2582.0,31322.0,6705.0,2789.0,34619.0,9.0,248.0,7.0,2001.0,1413.0,3992.0,17936.0,15662.0,40216.0,12294.0,9326.0,3377.0,39015.0,2071.0,34858.0,1565.0,15662.0,12994.0,11317.0,580.0,5092.0,6075.0,15662.0,5276.0,6034.0,1117.0,449.0,40.06,28.810000000000002,2.581,3.5479999999999996,16.740000000000002,34663.333333333336,50944.5,20812.4,23.509999999999998,27.35,1648.5555555555557,659.7,1010.5,0.4679696246896753,0.5320303753103247
Austin-Irving,26178.0,12854.0,13324.0,1399.0,21339.0,4589.0,17378.0,497.0,336.0,2072.0,0.0,4138.0,1757.0,9328.0,10178.0,9552.0,25947.0,7641.0,5708.0,5696.0,17216.0,8962.0,11355.0,5181.0,9552.0,8765.0,7998.0,813.0,2979.0,733.0,9552.0,7129.0,754.0,1215.0,446.0,43.471428571428575,28.085714285714285,2.7028571428571433,3.281428571428571,4.814285714285715,81022.42857142857,93236.42857142857,35354.857142857145,4.728571428571429,8.285714285714286,2039.7142857142858,731.0,1198.3333333333333,0.49102299640919855,0.5089770035908014
Avalon,33156.0,14728.0,18428.0,1652.0,26802.0,6568.0,758.0,31393.0,0.0,126.0,26.0,265.0,588.0,294.0,17430.0,14737.0,33114.0,9118.0,7059.0,6993.0,32015.0,1141.0,29773.0,575.0,14737.0,12693.0,11699.0,1295.0,4725.0,3947.0,14737.0,7503.0,3580.0,1002.0,474.0,44.67,23.77,2.229,3.2,11.809999999999999,51710.9,63044.5,29552.7,14.3,18.54,1569.3,581.8,964.1,0.4442031608155387,0.5557968391844613
Back of the Yards,29302.0,15507.0,13795.0,2107.0,20889.0,2811.0,9357.0,2974.0,298.0,566.0,99.0,12562.0,3446.0,24685.0,10212.0,9003.0,29119.0,11435.0,8604.0,1285.0,18500.0,10802.0,5471.0,11987.0,9003.0,7851.0,7016.0,711.0,1780.0,2877.0,9003.0,3107.0,2017.0,728.0,208.0,31.811111111111114,45.544444444444444,3.285555555555556,4.024444444444445,17.066666666666666,36856.77777777778,49642.333333333336,16094.333333333334,28.755555555555556,31.188888888888886,1641.888888888889,594.4444444444445,870.8888888888889,0.5292130230018429,0.47078697699815714
Beverly,13213.0,6094.0,7119.0,843.0,10280.0,2565.0,7784.0,4231.0,14.0,149.0,14.0,298.0,723.0,1048.0,5150.0,4891.0,13189.0,3888.0,2946.0,5644.0,12610.0,603.0,11452.0,99.0,4891.0,4765.0,4628.0,654.0,1504.0,227.0,4891.0,4407.0,190.0,413.0,242.0,45.175,29.75,2.735,3.205,8.675,118991.25,158002.25,58368.0,5.275,7.375,2291.25,863.5,1233.0,0.46121244229168246,0.5387875577083175
Bezazian,47949.0,25227.0,22722.0,1699.0,43055.0,7194.0,31661.0,6190.0,107.0,5547.0,0.0,1633.0,2811.0,6472.0,29541.0,27086.0,46750.0,6075.0,7191.0,24863.0,37500.0,10449.0,32964.0,5172.0,27086.0,25639.0,23230.0,6016.0,4971.0,2960.0,27086.0,9947.0,10031.0,1110.0,778.0,40.708333333333336,10.799999999999999,1.76,2.6816666666666666,5.533333333333332,71703.0,97931.66666666667,55265.75,8.566666666666666,14.366666666666667,2232.9166666666665,1020.3333333333334,1294.3333333333333,0.5261215040981042,0.4738784959018958
Blackstone,49615.0,22243.0,27372.0,2356.0,41782.0,8007.0,17756.0,22962.0,235.0,4933.0,7.0,756.0,2966.0,2646.0,28644.0,25870.0,48212.0,9588.0,15912.0,23452.0,42281.0,7334.0,37849.0,2566.0,25870.0,24241.0,22342.0,4799.0,5749.0,3701.0,25870.0,9039.0,9683.0,1226.0,569.0,35.11052631578948,18.568421052631578,1.9494736842105262,2.9210526315789473,10.036842105263156,58429.84210526316,104093.36842105263,51993.36842105263,13.163157894736841,24.826315789473682,2490.9473684210525,1089.8666666666666,1211.157894736842,0.4483120024186234,0.5516879975813767
