lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Albany Park,73235.0,35916.0,37319.0,4490.0,58636.0,9116.0,37289.0,4537.0,313.0,10949.0,13.0,10918.0,9216.0,28808.0,29757.0,26848.0,70829.0,19964.0,18267.0,20732.0,47635.0,25600.0,30394.0,18021.0,26848.0,25300.0,22912.0,4464.0,5389.0,3720.0,26848.0,12081.0,5187.0,2447.0,687.0,36.672222222222224,27.783333333333335,2.6794444444444445,3.3333333333333335,5.377777777777777,69418.72222222222,87916.05555555556,33595.77777777778,12.350000000000001,15.627777777777778,2283.777777777778,867.0,1175.9444444444443,0.49042124667167336,0.5095787533283266
Altgeld,18896.0,8056.0,10840.0,1360.0,13545.0,2391.0,1790.0,15648.0,48.0,0.0,0.0,768.0,642.0,2907.0,7521.0,6501.0,18604.0,8061.0,5536.0,1966.0,18221.0,675.0,15344.0,518.0,6501.0,5862.0,5437.0,305.0,1460.0,2587.0,6501.0,2888.0,1723.0,665.0,128.0,35.11666666666667,39.65,2.8666666666666667,3.518333333333333,14.966666666666667,49001.166666666664,57230.0,21027.0,24.266666666666666,25.099999999999998,1287.4,512.3333333333334,979.1666666666666,0.4263336155800169,0.5736663844199831
Archer Heights,48403.0,25182.0,23221.0,2584.0,37007.0,6643.0,21100.0,7629.0,642.0,1483.0,42.0,11111.0,6396.0,31468.0,16294.0,15352.0,48132.0,16713.0,12379.0,4505.0,33190.0,15213.0,15587.0,13352.0,15352.0,13252.0,12403.0,562.0,5412.0,2768.0,15352.0,11036.0,2311.0,2070.0,740.0,37.46666666666667,34.99333333333333,3.1093333333333333,3.933333333333333,11.82,57884.71428571428,73678.66666666667,24883.666666666668,9.2,10.953333333333335,1621.6,572.5333333333333,1062.142857142857,0.520257008863087,0.479742991136913
Austin,61010.0,28867.0,32143.0,3675.0,46334.0,8143.0,10727.0,39811.0,74.0,791.0,20.0,5009.0,4578.0,13832.0,26883.0,23138.0,60054.0,19064.0,14886.0,7097.0,53931.0,7079.0,44693.0,5746.0,23138.0,20055.0,17558.0,1428.0,6068.0,8039.0,23138.0,7551.0,7905.0,1790.0,642.0,37.44705882352941,30.029411764705884,2.6276470588235297,3.5582352941176474,14.170588235294119,41934.13333333333,57049.82352941176,22833.764705882353,26.211764705882356,30.2764705882353,1890.4375,710.9333333333333,1048.2941176470588,0.4731519423045402,0.5268480576954597
Austin-Irving,58254.0,28760.0,29494.0,3061.0,46865.0,8491.0,36658.0,2021.0,228.0,3863.0,13.0,9385.0,6086.0,23767.0,24033.0,22078.0,57922.0,16747.0,13227.0,13331.0,37556.0,20698.0,23349.0,13583.0,22078.0,20489.0,18634.0,2277.0,5376.0,2147.0,22078.0,13114.0,2256.0,2384.0,852.0,39.71333333333334,27.9,2.652,3.298,4.92,73169.4,90008.06666666667,34792.933333333334,8.76,12.379999999999999,2051.266666666667,769.6666666666666,1216.7857142857142,0.4937000034332406,0.5062999965667594
Avalon,50416.0,22642.0,27774.0,2568.0,39716.0,8867.0,4623.0,41837.0,160.0,220.0,0.0,2209.0,1367.0,5866.0,24858.0,20809.0,50373.0,15210.0,11897.0,9500.0,47166.0,3250.0,41363.0,2272.0,20809.0,18192.0,16851.0,1755.0,6383.0,5855.0,20809.0,10910.0,4827.0,1523.0,746.0,42.23125,27.4,2.426875,3.304375,13.375,49694.4375,62209.8125,27097.875,18.23125,21.45625,1562.3125,595.0666666666667,986.5,0.44910345921929545,0.5508965407807045
Back of the Yards,52794.0,27195.0,25599.0,3230.0,39088.0,6261.0,16065.0,10613.0,657.0,767.0,141.0,17985.0,6566.0,37676.0,18453.0,16654.0,52357.0,19013.0,14838.0,3816.0,36896.0,15898.0,16640.0,16378.0,16654.0,14588.0,13153.0,1072.0,4456.0,4724.0,16654.0,7920.0,3436.0,1774.0,505.0,34.72666666666667,40.46,3.170666666666667,3.9466666666666668,15.526666666666667,42473.46666666667,56468.8,18935.0,22.30666666666667,25.173333333333332,1612.1333333333334,593.4,986.1333333333333,0.515115354017502,0.48488464598249803
Beverly,43264.0,20254.0,23010.0,1983.0,34025.0,7479.0,10142.0,26644.0,321.0,196.0,14.0,2683.0,3264.0,7414.0,16873.0,15062.0,42979.0,13849.0,10470.0,10015.0,39775.0,3489.0,34513.0,2306.0,15062.0,13933.0,12980.0,1373.0,5092.0,3275.0,15062.0,11236.0,1896.0,1720.0,595.0,42.33846153846154,30.95384615384615,2.8,3.4992307692307696,13.2,74549.38461538461,95102.69230769231,35479.53846153846,12.907692307692308,15.8,1677.3846153846155,671.5384615384615,1127.3636363636363,0.46814903846153844,0.5318509615384616
Bezazian,78494.0,40256.0,38238.0,3435.0,68646.0,10454.0,48805.0,10455.0,151.0,7938.0,0.0,5034.0,6111.0,15312.0,44910.0,40820.0,76364.0,12803.0,13438.0,37049.0,60561.0,17933.0,49909.0,9763.0,40820.0,38582.0,35178.0,8709.0,7182.0,4775.0,40820.0,15384.0,14000.0,2001.0,1108.0,38.7,14.794999999999998,1.9685,2.85,5.205,77049.6,107365.0,55016.95,11.03,16.055,2386.4,1064.4,1300.1,0.512854485693174,0.487145514306826
Blackstone,49536.0,21874.0,27662.0,2315.0,41720.0,7881.0,16723.0,24277.0,235.0,4614.0,7.0,748.0,2932.0,2588.0,28685.0,25967.0,48161.0,9740.0,15850.0,22636.0,42584.0,6952.0,38279.0,2444.0,25967.0,24226.0,22291.0,4708.0,5696.0,4101.0,25967.0,8595.0,9981.0,1195.0,555.0,35.32105263157895,18.3,1.933684210526316,2.9342105263157894,10.789473684210526,54170.47368421053,91684.05263157895,46976.84210526316,15.347368421052632,26.36315789473684,2466.4736842105262,1086.7857142857142,1180.1052631578948,0.441577842377261,0.5584221576227391
