,lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
0,Albany Park,42305,20729,21576,2719,33331,5274,22412,1528,149,7648,0,5659,4909,15185,16496,14934,40524,12019,11322,12631,27277,15028,16801,11058,14934,14075,12511,2688,3236,2146,14934,6115,3181,1353,336,35.6625,29.575,2.73375,3.4299999999999997,5.325,67418.875,90456.625,33513.0,9.85,14.0875,2418.625,887.25,1123.125,0.48998936295946105,0.510010637040539
1,Altgeld,9428,3679,5749,883,6080,721,169,9091,0,0,0,29,139,277,3842,3475,9392,4263,3177,568,9374,54,8256,30,3475,3189,2944,149,432,1920,3475,776,1321,258,48,30.099999999999998,43.666666666666664,2.686666666666667,3.3800000000000003,21.866666666666664,35684.333333333336,43789.0,17576.0,35.233333333333334,36.800000000000004,1244.0,489.0,832.3333333333334,0.3902206194314807,0.6097793805685193
2,Archer Heights,29859,15788,14071,1920,22774,4378,15513,1543,328,1543,42,7415,3475,21897,10009,9435,29593,10419,7191,2762,18755,11104,6468,10094,9435,7871,7317,395,3459,1493,9435,6912,1548,1030,575,37.300000000000004,34.175000000000004,3.0941666666666667,4.0125,12.416666666666666,56629.818181818184,73376.25,24649.083333333332,8.549999999999999,10.049999999999999,1619.5,568.4166666666666,1003.7272727272727,0.5287518001272649,0.4712481998727352
3,Austin,39192,18299,20893,2632,29432,5883,2434,33584,0,241,7,1706,1220,2956,17351,15043,38676,12315,9029,3182,37511,1681,33819,1147,15043,12601,10800,632,4598,6189,15043,4530,6180,1109,441,38.455555555555556,30.788888888888884,2.5744444444444445,3.477777777777778,16.200000000000003,32085.75,47244.333333333336,19588.333333333332,27.311111111111114,30.544444444444448,1740.0,644.7777777777778,985.1111111111111,0.4669065115329659,0.5330934884670341
4,Austin-Irving,31892,15439,16453,1691,25324,5553,21335,610,107,2291,9,4942,2598,11644,12365,11482,31656,9891,7533,6750,21518,10374,14250,6106,11482,10563,9543,922,3732,802,11482,8263,698,1437,537,42.3875,30.6125,2.73875,3.2800000000000002,4.5,81839.625,95220.0,35691.5,4.5625,7.3125,2079.125,721.625,1240.7142857142858,0.48410259626238555,0.5158974037376145
5,Avalon,25596,11318,14278,1184,20485,5209,564,24274,0,124,0,265,369,106,12963,11017,25570,7123,5660,5700,24658,938,22990,529,11017,9567,8913,1016,3812,2613,11017,6263,2364,846,463,44.48571428571428,25.485714285714288,2.2885714285714287,3.1785714285714284,10.542857142857143,56112.57142857143,67681.28571428571,31194.0,12.014285714285714,16.7,1592.4285714285713,608.0,1029.5714285714287,0.44217846538521643,0.5578215346147836
6,Back of the Yards,29809,15473,14336,2522,20839,3113,10976,2734,287,475,54,12114,3169,25330,10708,9298,29535,11456,8655,1611,18658,11151,5512,11311,9298,7881,7102,477,1953,2995,9298,3170,1943,842,269,31.299999999999997,46.72222222222222,3.252222222222222,3.986666666666667,15.633333333333333,36528.444444444445,46600.0,15362.444444444445,30.533333333333335,31.455555555555552,1652.0,564.8888888888889,878.8888888888889,0.5190714213828038,0.4809285786171961
7,Beverly,13213,6094,7119,843,10280,2565,7784,4231,14,149,14,298,723,1048,5150,4891,13189,3888,2946,5644,12610,603,11452,99,4891,4765,4628,654,1504,227,4891,4407,190,413,242,45.175,29.75,2.735,3.205,8.675,118991.25,158002.25,58368.0,5.275,7.375,2291.25,863.5,1233.0,0.46121244229168246,0.5387875577083175
8,Bezazian,36359,19312,17047,1679,31947,4166,23843,4817,98,4044,0,1300,2257,5034,21268,19646,35348,5249,5753,18063,29105,7254,25069,3702,19646,18573,16857,4236,2814,2199,19646,7033,6753,1017,303,37.9,13.7125,1.89625,2.86375,3.3,76893.375,106770.875,54726.625,6.5874999999999995,14.0875,2380.875,1016.75,1333.375,0.5311477213344702,0.46885227866552986
9,Blackstone,45724,20821,24903,1940,38993,7506,17609,19589,118,4907,7,729,2765,2367,26644,24005,44321,8258,14905,22332,38730,6994,34885,2460,24005,22590,20823,4425,5245,3016,24005,8348,8960,1027,569,35.08888888888889,18.0,1.9416666666666669,2.9033333333333333,9.3,60200.22222222222,106387.38888888889,53100.833333333336,11.983333333333333,24.322222222222223,2485.6111111111113,1101.357142857143,1249.6666666666667,0.45536261044528037,0.5446373895547196
